Ewe/V;"I/mA"
-8.925987482070923E-001;0.000000000000000E+000
-4.646958112716675E-001;0.000000000000000E+000
-1.000016093254089E+000;-9.655904591083527E+000
-9.985455274581909E-001;-6.505519422572331E+000
-9.954552054405212E-001;-5.396676477239318E+000
-9.923288822174072E-001;-4.941454275170571E+000
-9.893163442611694E-001;-4.625719533673992E+000
-9.858297705650330E-001;-4.348200430440535E+000
-9.828448891639709E-001;-4.130648638652955E+000
-9.796453118324280E-001;-3.939856025530275E+000
-9.765711426734924E-001;-3.768615077791424E+000
-9.735827445983887E-001;-3.606605477716471E+000
-9.704431891441345E-001;-3.462697219274947E+000
-9.673825502395630E-001;-3.332427401168857E+000
-9.642348885536194E-001;-3.200764029881761E+000
-9.612427353858948E-001;-3.085579143024781E+000
-9.582364559173584E-001;-2.977844078675396E+000
-9.550987482070923E-001;-2.875613193637863E+000
-9.520815014839172E-001;-2.784022503751650E+000
-9.489426016807556E-001;-2.691819528135497E+000
-9.458326101303101E-001;-2.612480310882610E+000
-9.428640604019165E-001;-2.538596021628180E+000
-9.396432638168335E-001;-2.463827342476193E+000
-9.366024732589722E-001;-2.397920516328369E+000
-9.335196018218994E-001;-2.339403913581933E+000
-9.304079413414001E-001;-2.285447754563734E+000
-9.273324608802795E-001;-2.229792501536387E+000
-9.241855740547180E-001;-2.177757207149710E+000
-9.212277531623840E-001;-2.133155398288100E+000
-9.181522727012634E-001;-2.087681035496042E+000
-9.149961471557617E-001;-2.044731840231343E+000
-9.120016098022461E-001;-2.002288364621137E+000
-9.087854623794556E-001;-1.961083135814473E+000
-9.058318138122559E-001;-1.922968224690244E+000
-9.027212858200073E-001;-1.894731305438327E+000
-8.995991349220276E-001;-1.857282347255875E+000
-8.965510725975037E-001;-1.819991931955129E+000
-8.934268355369568E-001;-1.786292585714236E+000
-8.904308676719666E-001;-1.756238421067440E+000
-8.872919082641602E-001;-1.722401226057226E+000
-8.841989040374756E-001;-1.694083419078858E+000
-8.812155723571777E-001;-1.664382206044305E+000
-8.780933618545532E-001;-1.635415859394914E+000
-8.750888705253601E-001;-1.607932396578970E+000
-8.718745112419128E-001;-1.581677460838167E+000
-8.688721656799316E-001;-1.558929948483962E+000
-8.658359646797180E-001;-1.539307786487875E+000
-8.626840710639954E-001;-1.512666341538481E+000
-8.596117496490479E-001;-1.485979639009010E+000
-8.564986586570740E-001;-1.461469766693757E+000
-8.534338474273682E-001;-1.439075353528099E+000
-8.503890037536621E-001;-1.417912052600798E+000
-8.472489118576050E-001;-1.398156770964154E+000
-8.442592024803162E-001;-1.382555800497038E+000
-8.411031365394592E-001;-1.359240930980405E+000
-8.380721211433411E-001;-1.337793007219378E+000
-8.350518345832825E-001;-1.320517035478789E+000
-8.319486975669861E-001;-1.306521425876563E+000
-8.288583159446716E-001;-1.285676572792442E+000
-8.257180452346802E-001;-1.265327681858347E+000
-8.226616978645325E-001;-1.248024081256846E+000
-8.195723295211792E-001;-1.228081142091945E+000
-8.164975643157959E-001;-1.211023446547911E+000
-8.135142922401428E-001;-1.191182615161883E+000
-8.103730678558350E-001;-1.171901753937139E+000
-8.073240518569946E-001;-1.154410371169064E+000
-8.041955232620239E-001;-1.142634104148463E+000
-8.010405302047729E-001;-1.122769078127707E+000
-7.980000376701355E-001;-1.104064910875717E+000
-7.949308156967163E-001;-1.085726583402593E+000
-7.919051647186279E-001;-1.068315170633625E+000
-7.887883186340332E-001;-1.050905987705274E+000
-7.857223153114319E-001;-1.033586623865049E+000
-7.826859951019287E-001;-1.016242155700304E+000
-7.795066833496094E-001;-9.990180270217852E-001
-7.764559388160706E-001;-9.816106492425352E-001
-7.734358310699463E-001;-9.637734098443254E-001
-7.702744007110596E-001;-9.471699457984588E-001
-7.672466635704041E-001;-9.309222844438843E-001
-7.641488313674927E-001;-9.140046766968020E-001
-7.611358761787415E-001;-8.979335608708343E-001
-7.580041885375977E-001;-8.819150100264945E-001
-7.549137473106384E-001;-8.662370275294666E-001
-7.518838644027710E-001;-8.509429300237024E-001
-7.487171888351440E-001;-8.361155893946215E-001
-7.456523180007935E-001;-8.210818790028585E-001
-7.426457405090332E-001;-8.061069927181670E-001
-7.394652962684631E-001;-7.916093615202202E-001
-7.363897562026978E-001;-7.772895870265053E-001
-7.333036661148071E-001;-7.629972253332333E-001
-7.302259802818298E-001;-7.495325144224769E-001
-7.272320985794067E-001;-7.364969113964124E-001
-7.241203784942627E-001;-7.213984322939240E-001
-7.211410999298096E-001;-7.086306061258121E-001
-7.179808020591736E-001;-6.964878566700277E-001
-7.149518728256226E-001;-6.897713004274664E-001
-7.118870019912720E-001;-6.773235069132975E-001
-7.087637782096863E-001;-6.647934744916011E-001
-7.056713700294495E-001;-6.523289433425248E-001
-7.024474143981934E-001;-6.421156030928703E-001
-7.008850574493408E-001;-6.376435179619273E-001
-7.003890872001648E-001;-6.245302402160391E-001
