Ewe/V;"I/mA"
-6.752418279647827E-001;0.000000000000000E+000
-3.179660439491272E-001;0.000000000000000E+000
-7.007787227630615E-001;-3.626571748630127E+000
-7.025978565216064E-001;-1.069833552637292E+000
-7.056087255477905E-001;-7.865239445188679E-001
-7.087255716323853E-001;-7.575274323025702E-001
-7.117598056793213E-001;-7.516947177485864E-001
-7.148501276969910E-001;-7.535041703155203E-001
-7.179765105247498E-001;-7.588892767041102E-001
-7.210700511932373E-001;-7.665616018089807E-001
-7.241551280021667E-001;-7.757702699251556E-001
-7.271172404289246E-001;-7.853939452329142E-001
-7.302806973457336E-001;-7.957492093574849E-001
-7.334081530570984E-001;-8.070496487049628E-001
-7.363680601119995E-001;-8.188768961210382E-001
-7.395220994949341E-001;-8.310186078725721E-001
-7.425795197486877E-001;-8.435058216459641E-001
-7.456371188163757E-001;-8.562243548039354E-001
-7.487899661064148E-001;-8.696113926244617E-001
-7.518463730812073E-001;-8.830453356900740E-001
-7.549186348915100E-001;-8.964847578148465E-001
-7.580036520957947E-001;-9.102711992732608E-001
-7.611152529716492E-001;-9.243016960825443E-001
-7.641611099243164E-001;-9.386528885873968E-001
-7.671402096748352E-001;-9.528281915708945E-001
-7.703471183776855E-001;-9.671105532952744E-001
-7.733813524246216E-001;-9.817425882811772E-001
-7.764632701873779E-001;-9.965554278689517E-001
-7.794998288154602E-001;-1.013896421977122E+000
-7.825881242752075E-001;-1.028384853943273E+000
-7.857314348220825E-001;-1.043248701810615E+000
-7.887540459632874E-001;-1.058578887240174E+000
-7.918899059295654E-001;-1.073860066036591E+000
-7.949208617210388E-001;-1.088937308512227E+000
-7.980186343193054E-001;-1.104176380511650E+000
-8.011503815650940E-001;-1.119473770622516E+000
-8.041696548461914E-001;-1.134771730750284E+000
-8.072303533554077E-001;-1.149988309828665E+000
-8.103494048118591E-001;-1.165000277012560E+000
-8.133792877197266E-001;-1.186761300096549E+000
-8.165024518966675E-001;-1.203408739959949E+000
-8.194677233695984E-001;-1.218036478958712E+000
-8.226418495178223E-001;-1.232742046129784E+000
-8.257153034210205E-001;-1.247235885682210E+000
-8.288266062736511E-001;-1.264643648012106E+000
-8.319058418273926E-001;-1.279409365654384E+000
-8.348605632781982E-001;-1.293918112407569E+000
-8.380886316299438E-001;-1.308421179188748E+000
-8.411038517951965E-001;-1.322576620245195E+000
-8.441517353057861E-001;-1.336891484582704E+000
-8.472621440887451E-001;-1.350938071381695E+000
-8.502497673034668E-001;-1.365096093851859E+000
-8.533878326416016E-001;-1.379222910063490E+000
-8.565237522125244E-001;-1.393051419253702E+000
-8.595557808876038E-001;-1.406230969766096E+000
-8.627235293388367E-001;-1.419566072019524E+000
-8.657269477844238E-001;-1.432912505810386E+000
-8.688331842422485E-001;-1.446231486522295E+000
-8.719129562377930E-001;-1.459687909723804E+000
-8.749503493309021E-001;-1.472895470555784E+000
-8.780692815780640E-001;-1.485770120573483E+000
-8.811288475990295E-001;-1.499096761699256E+000
-8.842617273330688E-001;-1.514781526056442E+000
-8.873290419578552E-001;-1.528251308358302E+000
-8.903706073760986E-001;-1.541655826963559E+000
-8.934716582298279E-001;-1.555112885178655E+000
-8.965067863464355E-001;-1.568800711799469E+000
-8.995897173881531E-001;-1.583369843730328E+000
-9.027131199836731E-001;-1.597658518368536E+000
-9.057651162147522E-001;-1.613136695059115E+000
-9.088947176933289E-001;-1.629348114005776E+000
-9.118928909301758E-001;-1.646683568963552E+000
-9.150171875953674E-001;-1.665662964001552E+000
-9.180586934089661E-001;-1.685766840377079E+000
-9.211661219596863E-001;-1.707608442060167E+000
-9.242606163024902E-001;-1.731481906900837E+000
-9.272179603576660E-001;-1.758617321109202E+000
-9.304089546203613E-001;-1.793972234201703E+000
-9.334610700607300E-001;-1.823097198498161E+000
-9.365938901901245E-001;-1.855992887718012E+000
-9.396597743034363E-001;-1.893797149468050E+000
-9.426791667938232E-001;-1.934247994814115E+000
-9.458469152450562E-001;-1.978850948979834E+000
-9.489861726760864E-001;-2.033339560721615E+000
-9.520279765129089E-001;-2.086929107013985E+000
-9.551141262054443E-001;-2.142800048643249E+000
-9.581270217895508E-001;-2.202794615188296E+000
-9.612600207328796E-001;-2.270022074183181E+000
-9.642869234085083E-001;-2.344778573605833E+000
-9.673731923103333E-001;-2.417816908173535E+000
-9.705107212066650E-001;-2.495759292112492E+000
-9.734873771667480E-001;-2.589511656085199E+000
-9.767133593559265E-001;-2.680885393634973E+000
-9.796843528747559E-001;-2.762061253951373E+000
-9.827630519866943E-001;-2.856359340647060E+000
-9.858852028846741E-001;-2.945157227902953E+000
-9.889519214630127E-001;-3.044744647758769E+000
-9.920907020568848E-001;-3.145756014424343E+000
-9.951225519180298E-001;-3.242787032390346E+000
-9.981827735900879E-001;-3.353930515694213E+000
-1.001319766044617E+000;-3.449517531774216E+000
-1.004267096519470E+000;-3.558800955620848E+000
-1.007433176040649E+000;-3.664261509365346E+000
-1.010424852371216E+000;-3.770607168517031E+000
-1.013528347015381E+000;-3.879856013233081E+000
-1.016654491424561E+000;-3.984727331807154E+000
-1.019686222076416E+000;-4.103183236935418E+000
-1.022868633270264E+000;-4.206825715438343E+000
-1.025853633880615E+000;-4.337364584057688E+000
-1.028930187225342E+000;-4.441431315950737E+000
-1.032105207443237E+000;-4.552452596735236E+000
-1.035084605216980E+000;-4.651540332707793E+000
-1.038231611251831E+000;-4.749790201268108E+000
-1.041233897209167E+000;-4.859586595769642E+000
-1.044368624687195E+000;-4.960973542078619E+000
-1.047519683837891E+000;-5.067883006847707E+000
-1.050467014312744E+000;-5.160732124386143E+000
-1.053667664527893E+000;-5.256214795742110E+000
-1.056669592857361E+000;-5.398248368896162E+000
-1.059812545776367E+000;-5.524303617864703E+000
-1.062885522842407E+000;-5.611808740171028E+000
-1.065932512283325E+000;-5.662079250200833E+000
-1.069050908088684E+000;-5.759094881547512E+000
-1.072105169296265E+000;-5.861163607307184E+000
-1.075167894363403E+000;-5.900053879059662E+000
-1.078218936920166E+000;-5.946972497401333E+000
-1.081265211105347E+000;-6.037991917563616E+000
-1.084494471549988E+000;-6.189306370111467E+000
-1.087505340576172E+000;-6.214206693363129E+000
-1.090577721595764E+000;-6.284391514928537E+000
-1.093639731407166E+000;-6.341306082578413E+000
-1.096668958663940E+000;-6.465135426303519E+000
-1.099871873855591E+000;-6.849286433883435E+000
-1.102860569953918E+000;-7.308355067266263E+000
-1.105941295623779E+000;-7.360579434444226E+000
-1.109104752540588E+000;-7.379172167359286E+000
-1.112078666687012E+000;-7.380205373998692E+000
-1.115266442298889E+000;-7.526368300874907E+000
-1.118175864219666E+000;-7.573780147991826E+000
-1.121345162391663E+000;-7.922591845293667E+000
-1.124418497085571E+000;-7.941387878380368E+000
-1.127425074577332E+000;-7.954686461069713E+000
-1.130626201629639E+000;-8.099440364177767E+000
-1.133625745773315E+000;-8.426579754743358E+000
