Ewe/V;"I/mA"
-6.812514662742615E-001;0.000000000000000E+000
-4.644668698310852E-001;0.000000000000000E+000
-7.009365558624268E-001;-3.511059798390033E+000
-7.024959325790405E-001;-1.425606928106113E+000
-7.055906057357788E-001;-1.066366309168497E+000
-7.086589336395264E-001;-1.022041675011822E+000
-7.117588520050049E-001;-1.012466401457297E+000
-7.148364782333374E-001;-1.015437260103237E+000
-7.179279327392578E-001;-1.024977870834913E+000
-7.210437059402466E-001;-1.037658593541583E+000
-7.240767478942871E-001;-1.051810737670270E+000
-7.271290421485901E-001;-1.067884289257105E+000
-7.302596569061279E-001;-1.083909254671408E+000
-7.332746982574463E-001;-1.101765876827049E+000
-7.364668250083923E-001;-1.119664840803633E+000
-7.394487261772156E-001;-1.140167786295894E+000
-7.425345182418823E-001;-1.160273233575470E+000
-7.456089854240417E-001;-1.179544754766589E+000
-7.486686110496521E-001;-1.200606327755954E+000
-7.518531680107117E-001;-1.220946926185423E+000
-7.548450231552124E-001;-1.240283828986943E+000
-7.579640746116638E-001;-1.259960975710957E+000
-7.610670328140259E-001;-1.281031453231375E+000
-7.640645503997803E-001;-1.306419289845035E+000
-7.671666145324707E-001;-1.324102252398017E+000
-7.702780961990356E-001;-1.343848073163997E+000
-7.733122706413269E-001;-1.363387322975260E+000
-7.764069437980652E-001;-1.383364911587290E+000
-7.794346809387207E-001;-1.402915109849546E+000
-7.826214432716370E-001;-1.421771388078037E+000
-7.856037020683289E-001;-1.441403612438041E+000
-7.887159585952759E-001;-1.464019352073752E+000
-7.918992638587952E-001;-1.484580039640558E+000
-7.948518395423889E-001;-1.503192263079153E+000
-7.979517579078674E-001;-1.521475589055488E+000
-8.010580539703369E-001;-1.540542633188746E+000
-8.041473031044006E-001;-1.557932137936798E+000
-8.072217702865601E-001;-1.575032407072811E+000
-8.102485537528992E-001;-1.593332926186587E+000
-8.133642673492432E-001;-1.610120850453423E+000
-8.164711594581604E-001;-1.630097701318757E+000
-8.195029497146606E-001;-1.642365672296963E+000
-8.226166367530823E-001;-1.658054660765263E+000
-8.256402611732483E-001;-1.674247424768001E+000
-8.288249373435974E-001;-1.691092268237293E+000
-8.317636847496033E-001;-1.704889583307686E+000
-8.349144458770752E-001;-1.720084362912107E+000
-8.380504250526428E-001;-1.735320453515564E+000
-8.410040736198425E-001;-1.750587713042966E+000
-8.442109823226929E-001;-1.765242908294415E+000
-8.472078442573547E-001;-1.779670682811499E+000
-8.502606153488159E-001;-1.796252254847508E+000
-8.534844517707825E-001;-1.808275801559311E+000
-8.563682436943054E-001;-1.821966252990602E+000
-8.596397638320923E-001;-1.835374496274511E+000
-8.626390099525452E-001;-1.846311335189721E+000
-8.657612204551697E-001;-1.856535373728818E+000
-8.688185811042786E-001;-1.865662676518376E+000
-8.718411326408386E-001;-1.875961883901361E+000
-8.749876618385315E-001;-1.891890712909674E+000
-8.780250549316406E-001;-1.906417059353117E+000
-8.811641335487366E-001;-1.919171974190014E+000
-8.842173814773560E-001;-1.930999619950398E+000
-8.872461915016174E-001;-1.944843928498006E+000
-8.903497457504272E-001;-1.957169512448438E+000
-8.934072256088257E-001;-1.971162310679767E+000
-8.964911699295044E-001;-1.985795758851204E+000
-8.996250629425049E-001;-1.997938564437632E+000
-9.026506543159485E-001;-2.009601090744040E+000
-9.058280587196350E-001;-2.022467584426581E+000
-9.088007211685181E-001;-2.036142896034612E+000
-9.118624925613403E-001;-2.050156556271240E+000
-9.150121212005615E-001;-2.067950264072890E+000
-9.180738925933838E-001;-2.089159910037036E+000
-9.212054610252380E-001;-2.105083041467829E+000
-9.241979718208313E-001;-2.127110248833610E+000
-9.272615313529968E-001;-2.144059874280829E+000
-9.303752779960632E-001;-2.162915430082464E+000
-9.334348440170288E-001;-2.186796195188154E+000
-9.365496039390564E-001;-2.209706743290351E+000
-9.396240115165710E-001;-2.234043580865194E+000
-9.427012205123901E-001;-2.265756082115040E+000
-9.458316564559937E-001;-2.301384906760758E+000
-9.488986134529114E-001;-2.330958806229269E+000
-9.519804716110229E-001;-2.364963084065961E+000
-9.550752043724060E-001;-2.404343533653005E+000
-9.581750631332397E-001;-2.453948966510227E+000
-9.612181186676025E-001;-2.501795730118097E+000
-9.642565250396729E-001;-2.552410910858079E+000
-9.673242568969727E-001;-2.614720661739987E+000
-9.704397320747375E-001;-2.675282816029991E+000
-9.734942317008972E-001;-2.748850127743532E+000
-9.766260981559753E-001;-2.821516059393895E+000
-9.796718955039978E-001;-2.888119196014378E+000
-9.828147888183594E-001;-2.973161123718235E+000
-9.858803749084473E-001;-3.056916707168821E+000
-9.889066219329834E-001;-3.155423922243077E+000
-9.920916557312012E-001;-3.240403617179233E+000
-9.950516819953918E-001;-3.333358758489702E+000
-9.982112646102905E-001;-3.431298024975626E+000
-1.001173496246338E+000;-3.527930835637122E+000
-1.004335284233093E+000;-3.637782793255319E+000
-1.007384300231934E+000;-3.739082416216128E+000
-1.010415673255920E+000;-3.854081743643405E+000
-1.013599634170532E+000;-3.972426968393123E+000
-1.016608595848084E+000;-4.100308495533284E+000
-1.019768118858337E+000;-4.218973491656655E+000
-1.022827982902527E+000;-4.342039156394630E+000
-1.025873422622681E+000;-4.486268163784104E+000
-1.028964281082153E+000;-4.618977675196263E+000
-1.031991720199585E+000;-4.758848027352300E+000
-1.035142064094543E+000;-4.894716925487842E+000
-1.038158178329468E+000;-5.037851246284447E+000
-1.041235327720642E+000;-5.151563758670463E+000
-1.044299602508545E+000;-5.301587235862314E+000
-1.047367334365845E+000;-5.451302968067807E+000
-1.050519227981567E+000;-5.555525586704874E+000
-1.053620576858521E+000;-5.656793945700741E+000
-1.056611537933350E+000;-5.771739985364080E+000
-1.059825420379639E+000;-5.923698997592545E+000
-1.062812209129334E+000;-6.129699586526868E+000
-1.065919160842896E+000;-6.428005820135269E+000
-1.069013118743896E+000;-6.509564567160751E+000
-1.071982383728027E+000;-6.599616075384702E+000
-1.075129628181458E+000;-6.708642886434504E+000
-1.078174471855164E+000;-6.873279413203235E+000
-1.081275939941406E+000;-7.066073295035267E+000
-1.084434747695923E+000;-7.170591334459720E+000
-1.087360620498657E+000;-7.245608217148629E+000
-1.090551137924194E+000;-7.361342706170959E+000
-1.093571424484253E+000;-7.402930079945634E+000
-1.096668004989624E+000;-7.541787918379356E+000
-1.099790453910828E+000;-7.911310870335001E+000
-1.102791666984558E+000;-8.060141950744679E+000
-1.106038689613342E+000;-8.199604296553645E+000
-1.108938336372375E+000;-8.272516070007725E+000
-1.112056136131287E+000;-8.379733388932834E+000
-1.115175962448120E+000;-8.590315127520427E+000
-1.118186235427856E+000;-9.123298274761964E+000
-1.121304154396057E+000;-9.134623178807800E+000
-1.124377012252808E+000;-9.222741400896069E+000
-1.127432942390442E+000;-9.361037887298295E+000
-1.130621314048767E+000;-9.775849994407309E+000
-1.133558988571167E+000;-1.000177088203098E+001
-1.136741757392883E+000;-1.033132552237089E+001
-1.139809370040894E+000;-1.047446366199277E+001
-1.142869234085083E+000;-1.053447376298570E+001
-1.145949602127075E+000;-1.102597501078375E+001
-1.149021148681641E+000;-1.141911642797797E+001
-1.152121543884277E+000;-1.156419141484901E+001
-1.155233621597290E+000;-1.159666080305290E+001
-1.158272743225098E+000;-1.192309558413920E+001
-1.161384582519531E+000;-1.215650237213595E+001
-1.164451122283936E+000;-1.228483874886830E+001
-1.167550802230835E+000;-1.239864989138184E+001
-1.170607447624207E+000;-1.265581127316998E+001
-1.173699617385864E+000;-1.422890834336731E+001
-1.176755905151367E+000;-1.444435640001046E+001
-1.179857254028320E+000;-1.468093656269841E+001
-1.182922005653381E+000;-1.491554857528263E+001
-1.185982823371887E+000;-1.508275042919882E+001
-1.189129471778870E+000;-1.549583590395522E+001
-1.192126393318176E+000;-1.605161824811438E+001
-1.195282459259033E+000;-1.649474419916470E+001
-1.198399066925049E+000;-1.674040599492801E+001
-1.201407909393311E+000;-1.703544431768739E+001
-1.204547047615051E+000;-1.735438465193795E+001
-1.207610845565796E+000;-1.768648371766500E+001
-1.210601329803467E+000;-1.994674710868873E+001
-1.213747382164001E+000;-2.040584630780631E+001
-1.216761350631714E+000;-2.078499067092096E+001
-1.219965219497681E+000;-2.225900532475504E+001
-1.223085999488831E+000;-2.352268900176057E+001
-1.226104736328125E+000;-2.399069288672968E+001
-1.229251384735107E+000;-2.495453347905914E+001
-1.232255339622498E+000;-2.623202694314472E+001
-1.235371351242065E+000;-2.683348966386376E+001
-1.238433718681335E+000;-2.791289936639035E+001
-1.241495609283447E+000;-2.989016971490327E+001
-1.244646310806274E+000;-3.130308944742853E+001
-1.247687339782715E+000;-3.228324475865446E+001
-1.250767111778259E+000;-3.403225431040721E+001
-1.253816843032837E+000;-3.529025979254646E+001
-1.256844043731689E+000;-3.715248597392156E+001
-1.260015487670898E+000;-3.917269726656605E+001
-1.263027548789978E+000;-4.124258506566395E+001
-1.266163229942322E+000;-4.462333383469098E+001
-1.269186615943909E+000;-4.646225125332478E+001
-1.272212862968445E+000;-4.786807513206520E+001
-1.275454282760620E+000;-5.077347240755131E+001
-1.278442144393921E+000;-5.303162598287565E+001
-1.281585335731506E+000;-5.685682638997451E+001
-1.284576535224915E+000;-6.029851661401767E+001
-1.287622094154358E+000;-6.409085245498670E+001
-1.290798664093018E+000;-6.850760845331547E+001
-1.293820142745972E+000;-7.337264800132425E+001
-1.296897053718567E+000;-7.804055777112427E+001
-1.299934387207031E+000;-8.280510751784360E+001
-1.303047537803650E+000;-8.865660515894388E+001
-1.306184172630310E+000;-9.376355064699817E+001
-1.309179902076721E+000;-1.000527878277699E+002
-1.312299847602844E+000;-1.109075751730486E+002
-1.315390825271606E+000;-1.191133237244503E+002
-1.318426609039307E+000;-1.258439855647432E+002
-1.321536302566528E+000;-1.368368140669513E+002
-1.324588179588318E+000;-1.491842220524406E+002
-1.327708005905151E+000;-1.664888211453485E+002
-1.330738306045532E+000;-2.254028899077396E+002
-1.333743810653687E+000;-2.978489747863437E+002
-1.336851596832275E+000;-4.211486645993600E+002
-1.340367674827576E+000;-7.671921962856857E+002
-1.306945443153381E+000;-6.425655282671742E+002
-8.016227483749390E-001;-1.149994273168857E+003
-1.349471330642700E+000;-9.424616773442244E+001
-1.352628946304321E+000;-7.907627924266461E+001
-1.355640888214111E+000;-7.595123238752478E+001
-1.358728647232056E+000;-8.092981497578171E+001
-1.361808419227600E+000;-8.599695800752988E+001
-1.364897727966309E+000;-9.587371320832563E+001
-1.367980360984802E+000;-1.058309491599279E+002
-1.371085166931152E+000;-1.163083203484434E+002
-1.374154448509216E+000;-1.336012458142206E+002
-1.377268433570862E+000;-1.451515960023165E+002
-1.380340218544006E+000;-1.538128620082875E+002
-1.383431434631348E+000;-1.636464404906596E+002
-1.386452078819275E+000;-1.922955631090754E+002
-1.389520525932312E+000;-2.261648290850151E+002
-1.392650604248047E+000;-2.444685434467006E+002
-1.395716190338135E+000;-2.485113730308462E+002
-1.398771047592163E+000;-2.544867366687479E+002
-1.400296926498413E+000;-2.535002837940388E+002
-1.400790452957153E+000;-2.523635959625244E+002
