Potential (V vs. RHE),Current density (mA/cm²)
-0.0749,-15.6779
-0.0731,-9.7788
-0.0700,-7.4065
-0.0670,-6.6747
-0.0639,-6.2530
-0.0608,-5.9527
-0.0578,-5.6988
-0.0546,-5.4540
-0.0516,-5.2535
-0.0485,-5.0650
-0.0454,-4.8909
-0.0423,-4.7285
-0.0392,-4.5717
-0.0362,-4.4357
-0.0331,-4.3076
-0.0300,-4.1830
-0.0269,-4.0707
-0.0238,-3.9617
-0.0208,-3.8532
-0.0177,-3.7618
-0.0146,-3.6690
-0.0115,-3.5851
-0.0083,-3.5036
-0.0054,-3.4183
-0.0022,-3.3452
0.0008,-3.2782
0.0039,-3.2127
0.0070,-3.1509
0.0100,-3.0935
0.0131,-3.0306
0.0163,-2.9675
0.0192,-2.9081
0.0224,-2.8591
0.0254,-2.8031
0.0285,-2.7500
0.0317,-2.6935
0.0347,-2.6412
0.0378,-2.5918
0.0397,0.0000
0.0408,-2.5458
0.0439,-2.5031
0.0469,-2.4610
0.0500,-2.4164
0.0532,-2.3801
0.0563,-2.3465
0.0594,-2.3059
0.0625,-2.2666
0.0655,-2.2259
0.0686,-2.1837
0.0717,-2.1494
0.0747,-2.1143
0.0778,-2.0782
0.0809,-2.0428
0.0840,-2.0066
0.0870,-1.9710
0.0901,-1.9325
0.0931,-1.9008
0.0963,-1.8681
0.0994,-1.8357
0.1025,-1.8035
0.1055,-1.7713
0.1086,-1.7424
0.1117,-1.7184
0.1148,-1.6853
0.1178,-1.6556
0.1209,-1.6256
0.1239,-1.5983
0.1270,-1.5708
0.1302,-1.5457
0.1332,-1.5261
0.1363,-1.5071
0.1393,-1.4908
0.1424,-1.4597
0.1456,-1.4286
0.1485,-1.4011
0.1517,-1.3741
0.1548,-1.3474
0.1578,-1.3220
0.1609,-1.2977
0.1640,-1.2749
0.1671,-1.2532
0.1701,-1.2353
0.1732,-1.2121
0.1764,-1.1883
0.1794,-1.1682
0.1825,-1.1477
0.1856,-1.1271
0.1886,-1.1075
0.1918,-1.0889
0.1948,-1.0658
0.1979,-1.0272
0.2009,-1.0116
0.2040,-0.9948
0.2072,-0.9780
0.2101,-0.9610
0.2133,-0.9437
0.2164,-0.9285
0.2194,-0.9128
0.2226,-0.8969
0.2243,-0.8883
0.2249,-0.8732
0.4925,0.0000
