Potential (V vs. RHE),Current density (mA/cm²)
-0.4751,-222.3624
-0.4736,-209.4620
-0.4707,-194.6988
-0.4676,-184.1900
-0.4645,-175.0685
-0.4615,-167.6637
-0.4584,-160.4182
-0.4552,-153.2982
-0.4522,-145.4924
-0.4491,-137.0448
-0.4461,-129.8254
-0.4430,-121.5288
-0.4399,-114.4780
-0.4367,-108.6060
-0.4334,-102.5619
-0.4303,-97.2633
-0.4273,-92.5386
-0.4242,-86.4932
-0.4212,-79.1673
-0.4180,-72.9325
-0.4150,-68.0780
-0.4118,-65.2831
-0.4088,-62.1460
-0.4058,-58.4572
-0.4027,-54.8523
-0.3996,-48.4795
-0.3965,-45.0283
-0.3934,-42.2931
-0.3904,-39.1560
-0.3872,-35.9383
-0.3842,-34.1733
-0.3812,-31.4504
-0.3781,-29.4246
-0.3750,-27.8150
-0.3718,-27.0559
-0.3688,-25.0856
-0.3657,-23.7332
-0.3626,-21.7493
-0.3596,-21.3564
-0.3564,-20.5735
-0.3535,-20.2257
-0.3503,-18.8614
-0.3473,-18.2933
-0.3442,-18.3662
-0.3411,-17.7384
-0.3380,-17.2118
-0.3350,-16.9846
-0.3318,-16.5822
-0.3288,-16.6236
-0.3257,-16.2567
-0.3227,-15.9480
-0.3195,-15.5029
-0.3163,-15.2398
-0.3133,-14.8791
-0.3101,-14.7193
-0.3071,-14.5558
-0.3040,-14.4328
-0.3009,-14.3173
-0.2980,-14.0105
-0.2948,-13.6248
-0.2918,-13.1292
-0.2886,-12.9329
-0.2856,-12.8776
-0.2826,-12.6086
-0.2794,-12.3338
-0.2764,-12.4287
-0.2732,-12.3840
-0.2701,-12.1927
-0.2672,-11.8825
-0.2640,-11.8665
-0.2610,-11.7660
-0.2579,-11.7498
-0.2548,-11.2651
-0.2516,-10.9651
-0.2483,-10.6345
-0.2453,-10.6733
-0.2421,-10.5462
-0.2390,-10.3160
-0.2360,-10.2022
-0.2329,-9.8686
-0.2298,-8.9639
-0.2267,-8.7215
-0.2237,-8.6784
-0.2206,-8.6375
-0.2175,-8.5808
-0.2145,-8.5102
-0.2113,-8.5190
-0.2082,-8.4266
-0.2052,-8.0994
-0.2020,-7.9547
-0.1990,-7.9414
-0.1959,-7.9226
-0.1928,-7.5738
-0.1899,-7.5264
-0.1867,-7.3802
-0.1837,-7.3792
-0.1805,-7.3606
-0.1775,-7.3084
-0.1745,-6.8493
-0.1713,-6.4651
-0.1682,-6.3413
-0.1652,-6.2844
-0.1621,-6.2142
-0.1591,-6.1893
-0.1559,-6.0380
-0.1528,-5.9470
-0.1498,-5.9001
-0.1467,-5.8612
-0.1437,-5.7591
-0.1405,-5.6621
-0.1375,-5.6118
-0.1344,-5.5243
-0.1313,-5.3982
-0.1283,-5.2562
-0.1251,-5.1607
-0.1221,-5.0679
-0.1190,-4.9610
-0.1158,-4.8596
-0.1128,-4.7498
-0.1097,-4.6515
-0.1067,-4.5525
-0.1035,-4.4414
-0.1005,-4.3374
-0.0975,-4.2068
-0.0943,-4.1032
-0.0913,-3.9847
-0.0881,-3.8799
-0.0850,-3.7706
-0.0820,-3.6643
-0.0789,-3.5588
-0.0759,-3.4495
-0.0728,-3.3539
-0.0697,-3.2428
-0.0667,-3.1458
-0.0636,-3.0447
-0.0605,-2.9452
-0.0574,-2.8564
-0.0543,-2.7621
-0.0513,-2.6809
-0.0481,-2.5895
-0.0451,-2.4958
-0.0420,-2.4178
-0.0389,-2.3448
-0.0359,-2.2700
-0.0327,-2.2028
-0.0297,-2.1428
-0.0266,-2.0869
-0.0236,-2.0333
-0.0204,-1.9789
-0.0173,-1.9342
-0.0143,-1.8938
-0.0112,-1.8560
-0.0081,-1.8231
-0.0050,-1.7940
-0.0018,-1.7586
0.0011,-1.7315
0.0042,-1.7076
0.0073,-1.6858
0.0104,-1.6657
0.0135,-1.6467
0.0165,-1.6293
0.0196,-1.6131
0.0227,-1.5977
0.0258,-1.5834
0.0289,-1.5688
0.0319,-1.5551
0.0350,-1.5417
0.0381,-1.5283
0.0411,-1.5148
0.0443,-1.4991
0.0473,-1.4858
0.0504,-1.4729
0.0535,-1.4597
0.0566,-1.4462
0.0597,-1.4329
0.0627,-1.4196
0.0658,-1.4062
0.0689,-1.3931
0.0720,-1.3792
0.0752,-1.3651
0.0781,-1.3509
0.0812,-1.3369
0.0843,-1.3226
0.0873,-1.3084
0.0905,-1.2939
0.0935,-1.2794
0.0966,-1.2646
0.0997,-1.2472
0.1028,-1.2327
0.1059,-1.2180
0.1089,-1.2034
0.1120,-1.1868
0.1151,-1.1650
0.1182,-1.1500
0.1212,-1.1348
0.1242,-1.1195
0.1274,-1.1042
0.1305,-1.0889
0.1335,-1.0739
0.1366,-1.0586
0.1397,-1.0432
0.1428,-1.0284
0.1459,-1.0139
0.1489,-0.9966
0.1520,-0.9817
0.1551,-0.9671
0.1583,-0.9528
0.1612,-0.9387
0.1643,-0.9243
0.1674,-0.9103
0.1705,-0.8965
0.1736,-0.8830
0.1766,-0.8696
0.1798,-0.8562
0.1828,-0.8435
0.1859,-0.8310
0.1890,-0.8189
0.1920,-0.8070
0.1951,-0.7957
0.1983,-0.7854
0.2012,-0.7758
0.2043,-0.7666
0.2074,-0.7589
0.2105,-0.7535
0.2136,-0.7517
0.2167,-0.7575
0.2198,-0.7865
0.2228,-1.0698
0.2246,-3.6266
0.2502,0.0000
0.6074,0.0000
