Potential (V vs. RHE),Current density (mA/cm²)
-0.4752,-286.9536
-0.4748,-285.9315
-0.4731,-280.8704
-0.4700,-265.4888
-0.4669,-243.8517
-0.4639,-239.1882
-0.4608,-233.6778
-0.4577,-223.5808
-0.4547,-205.5273
-0.4516,-197.1819
-0.4485,-190.8163
-0.4454,-183.7884
-0.4424,-177.5935
-0.4392,-171.8818
-0.4361,-166.5996
-0.4331,-156.2581
-0.4300,-130.6126
-0.4269,-119.6983
-0.4238,-110.2110
-0.4208,-101.5896
-0.4176,-96.6574
-0.4147,-92.5313
-0.4115,-89.2062
-0.4084,-85.1613
-0.4054,-81.1141
-0.4023,-76.1927
-0.3993,-72.0514
-0.3962,-68.4914
-0.3931,-65.5845
-0.3900,-62.6034
-0.3869,-59.2368
-0.3839,-56.9332
-0.3808,-54.3812
-0.3777,-51.5122
-0.3747,-49.2095
-0.3715,-46.6759
-0.3685,-44.7155
-0.3654,-42.3728
-0.3623,-40.0252
-0.3592,-38.2686
-0.3561,-35.6411
-0.3531,-33.8409
-0.3500,-32.1692
-0.3470,-29.8106
-0.3439,-28.1150
-0.3407,-26.8683
-0.3377,-25.6680
-0.3347,-24.3942
-0.3315,-23.2461
-0.3285,-22.0909
-0.3254,-20.9545
-0.3223,-20.2023
-0.3192,-19.2213
-0.3161,-18.4210
-0.3130,-17.4371
-0.3098,-16.8777
-0.3068,-16.2375
-0.3037,-15.5318
-0.3006,-14.8386
-0.2977,-14.2376
-0.2945,-13.9188
-0.2914,-13.6076
-0.2884,-13.1058
-0.2852,-12.7742
-0.2822,-12.2540
-0.2791,-11.8944
-0.2760,-11.6285
-0.2730,-11.0747
-0.2698,-10.8685
-0.2668,-10.6993
-0.2637,-10.4440
-0.2606,-10.2820
-0.2575,-9.7918
-0.2544,-9.5927
-0.2514,-9.3658
-0.2483,-9.2704
-0.2452,-8.9055
-0.2422,-8.7435
-0.2390,-8.5258
-0.2359,-8.3083
-0.2328,-8.1278
-0.2298,-7.9258
-0.2267,-7.8472
-0.2236,-7.6754
-0.2206,-7.5571
-0.2174,-7.4240
-0.2145,-7.3082
-0.2113,-7.0753
-0.2083,-6.9117
-0.2052,-6.8166
-0.2021,-6.7302
-0.1991,-6.6122
-0.1959,-6.5436
-0.1928,-6.4697
-0.1898,-6.3734
-0.1867,-6.2806
-0.1837,-6.1423
-0.1805,-6.0543
-0.1775,-5.9343
-0.1744,-5.8255
-0.1713,-5.7480
-0.1683,-5.6432
-0.1651,-5.5377
-0.1621,-5.4804
-0.1590,-5.3813
-0.1559,-5.2472
-0.1529,-5.1404
-0.1497,-5.0397
-0.1467,-4.9504
-0.1436,-4.8604
-0.1405,-4.7857
-0.1375,-4.6988
-0.1343,-4.6073
-0.1313,-4.5306
-0.1282,-4.4325
-0.1251,-4.3632
-0.1220,-4.2851
-0.1189,-4.1928
-0.1159,-4.1162
-0.1129,-4.0459
-0.1097,-3.9725
-0.1067,-3.8960
-0.1036,-3.8158
-0.1005,-3.7491
-0.0974,-3.6660
-0.0942,-3.5996
-0.0912,-3.5218
-0.0881,-3.4415
-0.0850,-3.3785
-0.0820,-3.3169
-0.0789,-3.2542
-0.0759,-3.1844
-0.0728,-3.1232
-0.0697,-3.0641
-0.0666,-3.0018
-0.0635,-2.9315
-0.0605,-2.8753
-0.0573,-2.8205
-0.0543,-2.7607
-0.0512,-2.6984
-0.0480,-2.6476
-0.0451,-2.5982
-0.0419,-2.5474
-0.0389,-2.4948
-0.0359,-2.4408
-0.0327,-2.3966
-0.0297,-2.3566
-0.0266,-2.3219
-0.0235,-2.2862
-0.0204,-2.2532
-0.0173,-2.2134
-0.0142,-2.1852
-0.0111,-2.1581
-0.0080,-2.1363
-0.0050,-2.1097
-0.0019,-2.0854
0.0011,-2.0662
0.0042,-2.0453
0.0073,-2.0276
0.0103,-2.0083
0.0135,-1.9843
0.0165,-1.9693
0.0197,-1.9579
0.0227,-1.9474
0.0259,-1.9405
0.0289,-1.9310
0.0320,-1.9206
0.0350,-1.9055
0.0381,-1.8861
0.0412,-1.8679
0.0443,-1.8512
0.0473,-1.8376
0.0504,-1.8257
0.0535,-1.8126
0.0565,-1.8001
0.0596,-1.7881
0.0627,-1.7775
0.0658,-1.7677
0.0689,-1.7566
0.0720,-1.7466
0.0751,-1.7359
0.0781,-1.7192
0.0813,-1.7067
0.0843,-1.6953
0.0874,-1.6823
0.0905,-1.6731
0.0935,-1.6604
0.0966,-1.6455
0.0996,-1.6311
0.1028,-1.6159
0.1059,-1.6006
0.1089,-1.5858
0.1121,-1.5692
0.1151,-1.5493
0.1182,-1.5317
0.1213,-1.5140
0.1243,-1.4966
0.1275,-1.4738
0.1305,-1.4556
0.1335,-1.4377
0.1366,-1.4194
0.1397,-1.4009
0.1428,-1.3821
0.1459,-1.3633
0.1489,-1.3455
0.1521,-1.3274
0.1551,-1.3071
0.1582,-1.2888
0.1613,-1.2723
0.1644,-1.2564
0.1674,-1.2461
0.1705,-1.2295
0.1736,-1.2132
0.1766,-1.1968
0.1798,-1.1799
0.1829,-1.1643
0.1859,-1.1491
0.1890,-1.1345
0.1921,-1.1209
0.1952,-1.1079
0.1982,-1.0963
0.2013,-1.0858
0.2044,-1.0770
0.2074,-1.0709
0.2105,-1.0687
0.2136,-1.0733
0.2167,-1.0924
0.2198,-1.1485
0.2228,-1.4547
0.2246,-2.8749
0.2601,0.0000
0.5229,0.0000
