Potential (V vs. RHE),Current density (mA/cm²)
-0.0746,-9.6559
-0.0731,-6.5055
-0.0701,-5.3967
-0.0669,-4.9415
-0.0639,-4.6257
-0.0604,-4.3482
-0.0574,-4.1306
-0.0542,-3.9399
-0.0512,-3.7686
-0.0482,-3.6066
-0.0450,-3.4627
-0.0420,-3.3324
-0.0388,-3.2008
-0.0358,-3.0856
-0.0328,-2.9778
-0.0297,-2.8756
-0.0267,-2.7840
-0.0235,-2.6918
-0.0204,-2.6125
-0.0175,-2.5386
-0.0142,-2.4638
-0.0112,-2.3979
-0.0081,-2.3394
-0.0050,-2.2854
-0.0019,-2.2298
0.0012,-2.1778
0.0042,-2.1332
0.0072,-2.0877
0.0104,-2.0447
0.0134,-2.0023
0.0166,-1.9611
0.0196,-1.9230
0.0227,-1.8947
0.0258,-1.8573
0.0288,-1.8200
0.0320,-1.7863
0.0328,0.0000
0.0350,-1.7562
0.0381,-1.7224
0.0412,-1.6941
0.0442,-1.6644
0.0473,-1.6354
0.0503,-1.6079
0.0535,-1.5817
0.0565,-1.5589
0.0596,-1.5393
0.0627,-1.5127
0.0658,-1.4860
0.0689,-1.4615
0.0720,-1.4391
0.0750,-1.4179
0.0782,-1.3982
0.0811,-1.3826
0.0843,-1.3592
0.0873,-1.3378
0.0903,-1.3205
0.0935,-1.3065
0.0965,-1.2857
0.0997,-1.2653
0.1027,-1.2480
0.1058,-1.2281
0.1089,-1.2110
0.1119,-1.1912
0.1150,-1.1719
0.1181,-1.1544
0.1212,-1.1426
0.1244,-1.1228
0.1274,-1.1041
0.1305,-1.0857
0.1335,-1.0683
0.1366,-1.0509
0.1397,-1.0336
0.1427,-1.0162
0.1459,-0.9990
0.1489,-0.9816
0.1520,-0.9638
0.1551,-0.9472
0.1582,-0.9309
0.1613,-0.9140
0.1643,-0.8979
0.1674,-0.8819
0.1705,-0.8662
0.1735,-0.8509
0.1767,-0.8361
0.1797,-0.8211
0.1828,-0.8061
0.1859,-0.7916
0.1890,-0.7773
0.1921,-0.7630
0.1952,-0.7495
0.1982,-0.7365
0.2013,-0.7214
0.2043,-0.7086
0.2074,-0.6965
0.2104,-0.6898
0.2135,-0.6773
0.2166,-0.6648
0.2197,-0.6523
0.2230,-0.6421
0.2245,-0.6376
0.2250,-0.6245
0.4607,0.0000
