Potential (V vs. RHE),Current density (mA/cm²)
-0.4751,-267.8262
-0.4747,-266.9415
-0.4731,-260.5905
-0.4700,-251.7125
-0.4670,-244.2375
-0.4638,-233.8699
-0.4608,-206.0948
-0.4577,-194.6006
-0.4546,-186.6680
-0.4516,-168.2915
-0.4485,-160.4141
-0.4453,-153.7727
-0.4424,-146.0422
-0.4392,-126.0976
-0.4362,-119.6356
-0.4332,-114.2256
-0.4300,-108.7504
-0.4269,-103.2511
-0.4238,-98.7337
-0.4208,-93.8184
-0.4177,-89.3179
-0.4146,-85.1792
-0.4116,-80.7338
-0.4085,-76.1831
-0.4054,-72.4079
-0.4023,-68.4239
-0.3992,-64.8157
-0.3962,-61.2659
-0.3931,-57.9668
-0.3901,-55.0739
-0.3870,-52.1722
-0.3839,-49.2135
-0.3808,-46.5511
-0.3777,-44.0968
-0.3746,-41.8236
-0.3715,-39.5982
-0.3685,-37.3699
-0.3655,-35.3721
-0.3623,-33.4573
-0.3592,-31.5061
-0.3561,-29.6492
-0.3531,-28.0273
-0.3500,-26.3827
-0.3469,-25.0606
-0.3439,-23.6963
-0.3407,-22.5759
-0.3376,-21.2482
-0.3346,-20.1485
-0.3315,-19.2178
-0.3285,-18.3426
-0.3254,-17.6520
-0.3222,-17.0212
-0.3193,-16.2080
-0.3160,-15.3237
-0.3129,-14.8473
-0.3098,-14.2546
-0.3068,-13.8454
-0.3037,-13.3779
-0.3006,-12.8357
-0.2976,-12.3199
-0.2945,-12.0000
-0.2914,-11.4853
-0.2884,-11.0936
-0.2852,-10.8768
-0.2822,-10.7132
-0.2791,-10.4855
-0.2759,-10.0163
-0.2729,-9.7248
-0.2697,-9.5287
-0.2668,-9.2666
-0.2637,-9.1073
-0.2606,-9.0100
-0.2575,-8.7935
-0.2544,-8.4022
-0.2515,-8.2599
-0.2483,-8.0831
-0.2451,-7.9946
-0.2421,-7.8587
-0.2390,-7.7532
-0.2360,-7.6676
-0.2328,-7.5545
-0.2298,-7.4374
-0.2268,-7.2417
-0.2236,-7.1265
-0.2206,-6.9282
-0.2174,-6.8467
-0.2144,-6.7787
-0.2113,-6.7068
-0.2082,-6.6505
-0.2052,-6.5587
-0.2021,-6.4374
-0.1990,-6.3362
-0.1959,-6.2604
-0.1928,-6.1890
-0.1898,-6.0337
-0.1867,-5.9713
-0.1836,-5.8525
-0.1806,-5.7154
-0.1774,-5.6604
-0.1743,-5.6067
-0.1713,-5.5502
-0.1681,-5.4715
-0.1650,-5.4007
-0.1620,-5.3367
-0.1590,-5.2686
-0.1559,-5.1131
-0.1528,-5.0355
-0.1498,-4.9766
-0.1467,-4.9254
-0.1436,-4.8555
-0.1406,-4.7825
-0.1374,-4.7289
-0.1343,-4.6639
-0.1312,-4.6013
-0.1282,-4.5422
-0.1251,-4.4838
-0.1220,-4.4192
-0.1189,-4.3508
-0.1158,-4.2865
-0.1128,-4.2272
-0.1097,-4.1686
-0.1067,-4.0868
-0.1036,-4.0232
-0.1005,-3.9613
-0.0974,-3.9010
-0.0943,-3.8287
-0.0913,-3.7693
-0.0881,-3.6987
-0.0850,-3.6321
-0.0820,-3.5679
-0.0789,-3.5139
-0.0758,-3.4613
-0.0728,-3.4077
-0.0696,-3.3456
-0.0667,-3.2971
-0.0635,-3.2524
-0.0605,-3.2028
-0.0574,-3.1501
-0.0542,-3.1037
-0.0512,-3.0628
-0.0481,-3.0232
-0.0450,-2.9864
-0.0419,-2.9465
-0.0388,-2.9091
-0.0359,-2.8776
-0.0327,-2.8491
-0.0297,-2.8163
-0.0266,-2.7896
-0.0234,-2.7641
-0.0205,-2.7422
-0.0174,-2.7221
-0.0142,-2.7011
-0.0111,-2.6844
-0.0080,-2.6523
-0.0051,-2.6300
-0.0019,-2.6108
0.0012,-2.5906
0.0042,-2.5723
0.0073,-2.5552
0.0104,-2.5350
0.0135,-2.5177
0.0166,-2.5037
0.0196,-2.4872
0.0228,-2.4699
0.0258,-2.4488
0.0289,-2.4260
0.0320,-2.4020
0.0350,-2.3859
0.0382,-2.3689
0.0411,-2.3515
0.0443,-2.3340
0.0473,-2.3159
0.0504,-2.2981
0.0535,-2.2788
0.0565,-2.2603
0.0597,-2.2413
0.0628,-2.2232
0.0658,-2.2076
0.0689,-2.1868
0.0720,-2.1611
0.0751,-2.1450
0.0782,-2.1273
0.0812,-2.1078
0.0843,-2.0885
0.0873,-2.0696
0.0904,-2.0532
0.0936,-2.0344
0.0966,-2.0156
0.0997,-1.9964
0.1028,-1.9746
0.1059,-1.9561
0.1089,-1.9346
0.1120,-1.9083
0.1151,-1.8878
0.1181,-1.8666
0.1213,-1.8452
0.1244,-1.8248
0.1274,-1.8039
0.1306,-1.7827
0.1335,-1.7600
0.1367,-1.7369
0.1397,-1.7161
0.1428,-1.6930
0.1460,-1.6656
0.1489,-1.6445
0.1520,-1.6226
0.1551,-1.6007
0.1582,-1.5791
0.1613,-1.5577
0.1643,-1.5359
0.1674,-1.5139
0.1705,-1.4915
0.1735,-1.4703
0.1767,-1.4483
0.1797,-1.4265
0.1829,-1.4045
0.1860,-1.3769
0.1890,-1.3555
0.1922,-1.3352
0.1952,-1.3152
0.1983,-1.2962
0.2014,-1.2782
0.2044,-1.2619
0.2074,-1.2488
0.2106,-1.2406
0.2136,-1.2426
0.2167,-1.2654
0.2199,-1.3430
0.2229,-1.7835
0.2246,-3.5704
0.2421,0.0000
0.4046,0.0000
