Potential (V vs. RHE),Current density (mA/cm²)
-0.0750,-6.8480
-0.0734,-6.7736
-0.0703,-6.6177
-0.0672,-6.4786
-0.0642,-6.3316
-0.0612,-6.1970
-0.0581,-6.0530
-0.0549,-5.9332
-0.0519,-5.8177
-0.0488,-5.7103
-0.0457,-5.6084
-0.0426,-5.5267
-0.0395,-5.4256
-0.0365,-5.3525
-0.0335,-5.2833
-0.0303,-5.2139
-0.0272,-5.1659
-0.0242,-5.1116
-0.0211,-5.0767
-0.0180,-5.0444
-0.0150,-5.0221
-0.0118,-4.9980
-0.0087,-4.9775
-0.0056,-4.9605
-0.0025,-4.9526
0.0005,-4.9480
0.0037,-4.9437
0.0066,-4.9442
0.0097,-4.9452
0.0128,-4.9479
0.0158,-4.9399
0.0190,-4.9406
0.0220,-4.9409
0.0252,-4.9439
0.0283,-4.9494
0.0313,-4.9533
0.0344,-4.9542
0.0374,-4.9581
0.0406,-4.9618
0.0437,-4.9670
0.0467,-4.9699
0.0498,-4.9693
0.0528,-4.9655
0.0560,-4.9572
0.0590,-4.9511
0.0621,-4.9372
0.0652,-4.9271
0.0683,-4.9207
0.0713,-4.9119
0.0744,-4.9008
0.0775,-4.8904
0.0806,-4.8810
0.0837,-4.8717
0.0867,-4.8623
0.0898,-4.8516
0.0929,-4.8425
0.0960,-4.8332
0.0990,-4.8223
0.1021,-4.8148
0.1052,-4.8070
0.1082,-4.8003
0.1114,-4.7959
0.1144,-4.7951
0.1175,-4.7930
0.1206,-4.7916
0.1237,-4.7920
0.1268,-4.7894
0.1298,-4.7868
0.1329,-4.7885
0.1360,-4.7901
0.1391,-4.7894
0.1422,-4.7842
0.1453,-4.7870
0.1483,-4.8028
0.1514,-4.8081
0.1545,-4.8187
0.1576,-4.8347
0.1607,-4.8532
0.1637,-4.8766
0.1668,-4.9046
0.1698,-4.9427
0.1730,-4.9970
0.1760,-5.0535
0.1791,-5.1111
0.1822,-5.1708
0.1853,-5.2365
0.1884,-5.3110
0.1914,-5.3880
0.1944,-5.4783
0.1977,-5.5880
0.2007,-5.7360
0.2037,-5.9130
0.2068,-6.1645
0.2098,-6.5168
0.2130,-7.0172
0.2161,-7.8100
0.2191,-9.5945
0.2225,-19.2579
0.2243,-70.7436
1.3933,0.0000
1.5015,0.0000
