Potential (V vs. RHE),Current density (mA/cm²)
-0.0751,-9.1061
-0.0731,-6.2767
-0.0701,-5.1207
-0.0670,-4.6996
-0.0639,-4.4257
-0.0608,-4.2087
-0.0577,-4.0220
-0.0546,-3.8654
-0.0515,-3.7263
-0.0485,-3.6091
-0.0454,-3.4924
-0.0422,-3.3921
-0.0393,-3.2876
-0.0361,-3.1887
-0.0331,-3.1012
-0.0300,-3.0162
-0.0269,-2.9387
-0.0239,-2.8604
-0.0207,-2.7916
-0.0177,-2.7279
-0.0146,-2.6638
-0.0114,-2.5969
-0.0084,-2.5418
-0.0053,-2.4923
-0.0023,-2.4421
0.0008,-2.3946
0.0040,-2.3520
0.0069,-2.3112
0.0101,-2.2750
0.0131,-2.2400
0.0163,-2.2015
0.0194,-2.1662
0.0224,-2.1283
0.0255,-2.0969
0.0286,-2.0659
0.0316,-2.0341
0.0347,-2.0040
0.0378,-1.9716
0.0409,-1.9434
0.0439,-1.9156
0.0470,-1.8877
0.0501,-1.8603
0.0531,-1.8341
0.0563,-1.8062
0.0593,-1.7744
0.0624,-1.7430
0.0655,-1.7161
0.0686,-1.6906
0.0695,0.0000
0.0717,-1.6652
0.0748,-1.6405
0.0779,-1.6164
0.0809,-1.5933
0.0839,-1.5713
0.0871,-1.5471
0.0901,-1.5223
0.0932,-1.4999
0.0963,-1.4772
0.0993,-1.4550
0.1025,-1.4327
0.1055,-1.4106
0.1087,-1.3871
0.1118,-1.3664
0.1147,-1.3458
0.1178,-1.3244
0.1209,-1.3036
0.1240,-1.2849
0.1271,-1.2657
0.1300,-1.2465
0.1332,-1.2277
0.1363,-1.2084
0.1394,-1.1886
0.1425,-1.1694
0.1455,-1.1515
0.1487,-1.1343
0.1517,-1.1173
0.1548,-1.1000
0.1579,-1.0826
0.1609,-1.0663
0.1640,-1.0527
0.1670,-1.0372
0.1702,-1.0212
0.1733,-1.0060
0.1762,-0.9913
0.1794,-0.9777
0.1825,-0.9638
0.1856,-0.9496
0.1887,-0.9361
0.1917,-0.9237
0.1949,-0.9113
0.1979,-0.8988
0.2009,-0.8863
0.2041,-0.8731
0.2071,-0.8599
0.2102,-0.8485
0.2133,-0.8372
0.2163,-0.8265
0.2195,-0.8159
0.2225,-0.8058
0.2245,-0.7998
0.2247,-0.7896
0.5975,0.0000
