Potential (V vs. RHE),Current density (mA/cm²)
-0.4751,-243.3260
-0.4748,-241.4928
-0.4731,-228.7463
-0.4700,-215.5648
-0.4669,-205.7052
-0.4638,-198.8796
-0.4608,-186.4543
-0.4576,-174.6587
-0.4547,-163.9540
-0.4516,-154.8694
-0.4484,-145.0063
-0.4454,-140.1454
-0.4423,-132.2132
-0.4393,-123.5660
-0.4362,-118.1083
-0.4331,-112.1828
-0.4300,-105.5192
-0.4269,-98.6617
-0.4238,-94.4202
-0.4208,-90.1128
-0.4176,-85.6162
-0.4146,-81.8632
-0.4115,-77.8267
-0.4085,-73.7332
-0.4054,-69.6390
-0.4023,-66.0180
-0.3993,-62.3368
-0.3962,-58.9571
-0.3931,-55.3013
-0.3900,-52.1717
-0.3869,-49.3540
-0.3839,-46.8487
-0.3808,-44.4309
-0.3777,-41.4513
-0.3746,-35.2682
-0.3715,-32.4655
-0.3685,-30.9429
-0.3654,-29.4948
-0.3624,-27.5243
-0.3592,-26.1575
-0.3561,-24.7064
-0.3531,-23.4319
-0.3500,-22.2216
-0.3469,-21.0454
-0.3439,-19.5470
-0.3407,-18.5378
-0.3377,-17.8302
-0.3345,-16.5221
-0.3315,-15.4701
-0.3285,-14.9210
-0.3254,-14.1659
-0.3224,-12.8018
-0.3192,-12.4384
-0.3161,-11.5786
-0.3129,-11.0249
-0.3098,-10.7191
-0.3068,-10.4279
-0.3036,-10.2798
-0.3007,-10.0873
-0.2975,-9.7103
-0.2945,-9.4613
-0.2914,-9.2618
-0.2883,-9.1114
-0.2853,-8.8181
-0.2822,-8.6812
-0.2791,-8.5985
-0.2760,-8.3562
-0.2728,-8.1727
-0.2698,-7.9605
-0.2667,-7.8709
-0.2637,-7.8087
-0.2607,-7.6222
-0.2575,-7.4482
-0.2545,-7.3345
-0.2513,-7.2242
-0.2483,-6.9909
-0.2452,-6.9356
-0.2421,-6.8699
-0.2390,-6.7769
-0.2359,-6.7198
-0.2329,-6.6503
-0.2298,-6.5675
-0.2266,-6.4972
-0.2237,-6.4445
-0.2205,-6.3694
-0.2175,-6.0859
-0.2145,-5.9977
-0.2112,-5.7395
-0.2083,-5.6572
-0.2051,-5.4749
-0.2021,-5.3462
-0.1990,-5.2807
-0.1958,-5.1978
-0.1928,-5.1150
-0.1897,-5.0318
-0.1867,-4.9448
-0.1837,-4.8825
-0.1805,-4.8053
-0.1775,-4.7342
-0.1744,-4.6348
-0.1713,-4.5566
-0.1682,-4.4600
-0.1650,-4.3869
-0.1621,-4.3058
-0.1589,-4.2200
-0.1558,-4.1411
-0.1528,-4.0585
-0.1497,-3.9815
-0.1467,-3.9117
-0.1436,-3.8461
-0.1405,-3.7751
-0.1374,-3.6979
-0.1343,-3.6307
-0.1313,-3.5492
-0.1282,-3.4781
-0.1251,-3.3956
-0.1220,-3.3188
-0.1189,-3.2456
-0.1159,-3.1699
-0.1128,-3.1008
-0.1097,-3.0234
-0.1067,-2.9615
-0.1035,-2.8948
-0.1005,-2.8279
-0.0974,-2.7688
-0.0943,-2.7073
-0.0912,-2.6479
-0.0881,-2.5929
-0.0851,-2.5359
-0.0819,-2.4787
-0.0789,-2.4279
-0.0758,-2.3791
-0.0727,-2.3230
-0.0697,-2.2748
-0.0666,-2.2280
-0.0635,-2.1794
-0.0604,-2.1285
-0.0573,-2.0847
-0.0542,-2.0426
-0.0512,-2.0017
-0.0481,-1.9570
-0.0451,-1.9193
-0.0419,-1.8812
-0.0389,-1.8459
-0.0358,-1.8102
-0.0328,-1.7747
-0.0297,-1.7448
-0.0265,-1.7167
-0.0235,-1.6893
-0.0204,-1.6627
-0.0173,-1.6393
-0.0142,-1.6121
-0.0111,-1.5903
-0.0081,-1.5689
-0.0049,-1.5506
-0.0019,-1.5305
0.0012,-1.5127
0.0043,-1.4971
0.0072,-1.4804
0.0105,-1.4669
0.0135,-1.4521
0.0166,-1.4356
0.0197,-1.4219
0.0227,-1.4077
0.0258,-1.3961
0.0289,-1.3844
0.0319,-1.3725
0.0351,-1.3616
0.0380,-1.3504
0.0412,-1.3395
0.0443,-1.3289
0.0474,-1.3165
0.0505,-1.3050
0.0535,-1.2934
0.0566,-1.2822
0.0597,-1.2710
0.0628,-1.2581
0.0659,-1.2441
0.0689,-1.2320
0.0720,-1.2204
0.0751,-1.2092
0.0781,-1.1962
0.0813,-1.1840
0.0843,-1.1721
0.0874,-1.1600
0.0905,-1.1479
0.0935,-1.1355
0.0967,-1.1237
0.0997,-1.1110
0.1028,-1.0985
0.1059,-1.0862
0.1090,-1.0778
0.1120,-1.0717
0.1151,-1.0599
0.1182,-1.0476
0.1212,-1.0358
0.1243,-1.0226
0.1274,-1.0093
0.1304,-0.9970
0.1336,-0.9856
0.1366,-0.9740
0.1397,-0.9629
0.1429,-0.9520
0.1459,-0.9402
0.1490,-0.9232
0.1521,-0.9097
0.1552,-0.8982
0.1583,-0.8861
0.1612,-0.8756
0.1644,-0.8658
0.1674,-0.8549
0.1705,-0.8446
0.1737,-0.8346
0.1766,-0.8259
0.1798,-0.8172
0.1829,-0.8090
0.1860,-0.8014
0.1890,-0.7941
0.1921,-0.7850
0.1952,-0.7782
0.1982,-0.7726
0.2013,-0.7680
0.2044,-0.7642
0.2075,-0.7606
0.2106,-0.7616
0.2136,-0.7665
0.2167,-0.7801
0.2198,-0.8191
0.2229,-1.0662
0.2248,-2.9578
0.2777,0.0000
0.6282,0.0000
