Potential (V vs. RHE),Current density (mA/cm²)
-0.0753,-4.4899
-0.0735,-4.4591
-0.0707,-4.4234
-0.0676,-4.3794
-0.0644,-4.3439
-0.0614,-4.3141
-0.0583,-4.2777
-0.0552,-4.2339
-0.0521,-4.1914
-0.0490,-4.1677
-0.0460,-4.1367
-0.0429,-4.1017
-0.0398,-4.0733
-0.0367,-4.0431
-0.0337,-4.0140
-0.0307,-4.0032
-0.0275,-3.9823
-0.0245,-3.9531
-0.0213,-3.9211
-0.0182,-3.9060
-0.0152,-3.8979
-0.0120,-3.8816
-0.0090,-3.8672
-0.0059,-3.8568
-0.0028,-3.8524
0.0002,-3.8472
0.0034,-3.8419
0.0064,-3.8379
0.0095,-3.8320
0.0126,-3.8290
0.0156,-3.8280
0.0188,-3.8244
0.0218,-3.8218
0.0249,-3.8194
0.0280,-3.8195
0.0311,-3.8166
0.0342,-3.8145
0.0371,-3.8093
0.0403,-3.8058
0.0434,-3.8059
0.0463,-3.8053
0.0495,-3.8043
0.0525,-3.8030
0.0556,-3.8023
0.0588,-3.8010
0.0617,-3.7986
0.0650,-3.7960
0.0680,-3.7919
0.0711,-3.7848
0.0742,-3.7773
0.0772,-3.7709
0.0803,-3.7640
0.0834,-3.7678
0.0864,-3.7653
0.0896,-3.7577
0.0925,-3.7538
0.0957,-3.7518
0.0988,-3.7498
0.1018,-3.7461
0.1049,-3.7396
0.1081,-3.7374
0.1111,-3.7357
0.1142,-3.7372
0.1172,-3.7415
0.1203,-3.7464
0.1235,-3.7557
0.1265,-3.7654
0.1296,-3.7753
0.1326,-3.7862
0.1357,-3.7925
0.1388,-3.7984
0.1418,-3.8146
0.1450,-3.8332
0.1480,-3.8601
0.1511,-3.8878
0.1542,-3.9157
0.1573,-3.9584
0.1604,-4.0038
0.1635,-4.0432
0.1665,-4.0759
0.1696,-4.1076
0.1726,-4.1561
0.1757,-4.2085
0.1789,-4.2644
0.1819,-4.3291
0.1850,-4.3949
0.1883,-4.4782
0.1915,-4.5640
0.1945,-4.6602
0.1976,-4.7690
0.2008,-4.9194
0.2038,-5.0861
0.2068,-5.2656
0.2099,-5.5368
0.2130,-5.9152
0.2160,-6.5229
0.2192,-7.7668
0.2223,-17.8474
0.2243,-111.7493
1.4425,0.0000
1.5275,0.0000
