Potential (V vs. RHE),Current density (mA/cm²)
-0.0749,-16.6907
-0.0731,-9.7442
-0.0700,-7.1450
-0.0670,-6.3831
-0.0639,-5.9123
-0.0608,-5.5643
-0.0577,-5.2865
-0.0547,-5.0511
-0.0516,-4.8513
-0.0485,-4.6742
-0.0452,-4.5016
-0.0419,-4.3486
-0.0389,-4.2131
-0.0358,-4.0821
-0.0327,-3.9647
-0.0297,-3.8586
-0.0266,-3.7605
-0.0235,-3.6693
-0.0205,-3.5925
-0.0173,-3.5055
-0.0143,-3.4360
-0.0111,-3.3544
-0.0081,-3.2876
-0.0050,-3.2159
-0.0019,-3.1528
0.0012,-3.0941
0.0043,-3.0356
0.0073,-2.9829
0.0104,-2.9231
0.0135,-2.8619
0.0152,0.0000
0.0165,-2.8087
0.0196,-2.7555
0.0227,-2.7000
0.0258,-2.6510
0.0289,-2.6021
0.0319,-2.5537
0.0350,-2.5088
0.0381,-2.4661
0.0412,-2.4083
0.0443,-2.3588
0.0473,-2.3157
0.0505,-2.2738
0.0535,-2.2258
0.0566,-2.1871
0.0597,-2.1489
0.0627,-2.1120
0.0658,-2.0699
0.0689,-2.0325
0.0720,-1.9975
0.0751,-1.9629
0.0781,-1.9254
0.0813,-1.8902
0.0843,-1.8565
0.0874,-1.8233
0.0905,-1.7907
0.0935,-1.7598
0.0966,-1.7271
0.0997,-1.6975
0.1028,-1.6658
0.1058,-1.6294
0.1089,-1.5925
0.1121,-1.5607
0.1151,-1.5312
0.1182,-1.5029
0.1213,-1.4767
0.1243,-1.4512
0.1274,-1.4198
0.1305,-1.3961
0.1336,-1.3703
0.1366,-1.3467
0.1397,-1.3199
0.1429,-1.2929
0.1459,-1.2648
0.1490,-1.2403
0.1520,-1.2159
0.1551,-1.1908
0.1582,-1.1659
0.1613,-1.1426
0.1644,-1.1190
0.1675,-1.0950
0.1705,-1.0750
0.1736,-1.0553
0.1766,-1.0348
0.1798,-1.0134
0.1828,-0.9926
0.1858,-0.9730
0.1890,-0.9512
0.1921,-0.9335
0.1952,-0.9145
0.1982,-0.8962
0.2012,-0.8786
0.2044,-0.8606
0.2074,-0.8431
0.2105,-0.8264
0.2136,-0.8089
0.2166,-0.7922
0.2198,-0.7755
0.2228,-0.7612
0.2248,-0.7354
0.2249,-0.7535
0.3890,0.0000
