Potential (V vs. RHE),Current density (mA/cm²)
-0.4750,-215.1743
-0.4747,-211.9526
-0.4731,-204.2913
-0.4700,-189.7513
-0.4669,-168.0261
-0.4639,-161.7221
-0.4608,-156.6973
-0.4578,-149.9746
-0.4547,-144.1492
-0.4516,-138.8626
-0.4485,-130.1621
-0.4454,-121.6084
-0.4423,-116.2919
-0.4393,-111.0744
-0.4362,-105.0573
-0.4331,-100.7891
-0.4300,-96.5387
-0.4269,-91.4786
-0.4239,-86.9649
-0.4208,-83.0094
-0.4177,-78.9417
-0.4146,-75.1302
-0.4116,-69.6721
-0.4085,-64.9798
-0.4054,-61.4709
-0.4023,-58.0277
-0.3992,-55.3327
-0.3961,-52.3033
-0.3931,-49.0838
-0.3900,-46.6586
-0.3869,-43.8018
-0.3839,-41.1313
-0.3808,-38.8521
-0.3778,-35.1146
-0.3746,-33.0825
-0.3715,-31.3559
-0.3685,-29.9584
-0.3653,-28.2619
-0.3623,-26.6035
-0.3592,-25.2633
-0.3562,-24.1287
-0.3531,-23.1591
-0.3500,-21.9882
-0.3470,-20.6490
-0.3438,-19.6786
-0.3407,-18.8821
-0.3378,-18.0586
-0.3345,-17.4777
-0.3316,-16.7023
-0.3284,-15.7433
-0.3254,-14.9305
-0.3223,-14.3064
-0.3193,-13.8259
-0.3161,-13.0336
-0.3129,-12.4040
-0.3098,-11.9025
-0.3068,-11.3877
-0.3037,-11.0543
-0.3006,-10.5851
-0.2975,-10.1454
-0.2945,-9.8639
-0.2914,-9.6151
-0.2883,-9.3891
-0.2853,-9.1104
-0.2821,-8.7786
-0.2791,-8.5705
-0.2760,-8.4003
-0.2729,-8.2702
-0.2699,-8.1067
-0.2668,-7.9303
-0.2637,-7.7933
-0.2606,-7.6868
-0.2575,-7.5322
-0.2545,-7.4376
-0.2514,-7.2618
-0.2483,-7.1354
-0.2452,-7.0333
-0.2420,-6.8443
-0.2390,-6.6913
-0.2359,-6.5832
-0.2328,-6.5059
-0.2298,-6.4451
-0.2267,-6.3365
-0.2237,-6.1206
-0.2206,-6.0037
-0.2175,-5.9081
-0.2145,-5.8214
-0.2113,-5.7467
-0.2083,-5.6437
-0.2051,-5.5641
-0.2021,-5.4930
-0.1990,-5.4115
-0.1959,-5.3021
-0.1928,-5.2029
-0.1898,-5.1089
-0.1867,-5.0186
-0.1836,-4.9283
-0.1805,-4.8312
-0.1775,-4.7588
-0.1744,-4.6806
-0.1713,-4.6031
-0.1682,-4.5188
-0.1651,-4.4368
-0.1621,-4.3737
-0.1590,-4.3193
-0.1558,-4.2353
-0.1529,-4.1533
-0.1498,-4.0587
-0.1467,-3.9823
-0.1436,-3.9247
-0.1406,-3.8547
-0.1375,-3.7755
-0.1343,-3.7109
-0.1313,-3.6449
-0.1281,-3.5726
-0.1251,-3.5123
-0.1220,-3.4538
-0.1189,-3.3901
-0.1159,-3.3239
-0.1128,-3.2660
-0.1098,-3.2079
-0.1067,-3.1577
-0.1036,-3.1019
-0.1005,-3.0458
-0.0974,-2.9936
-0.0944,-2.9383
-0.0912,-2.8829
-0.0881,-2.8363
-0.0851,-2.7943
-0.0819,-2.7463
-0.0789,-2.6937
-0.0758,-2.6457
-0.0727,-2.6017
-0.0698,-2.5583
-0.0665,-2.5147
-0.0636,-2.4789
-0.0605,-2.4383
-0.0573,-2.3955
-0.0543,-2.3563
-0.0511,-2.3191
-0.0481,-2.2832
-0.0451,-2.2536
-0.0419,-2.2132
-0.0389,-2.1822
-0.0358,-2.1543
-0.0327,-2.1210
-0.0297,-2.0875
-0.0266,-2.0569
-0.0236,-2.0271
-0.0204,-1.9958
-0.0173,-1.9701
-0.0142,-1.9468
-0.0111,-1.9246
-0.0081,-1.9039
-0.0050,-1.8849
-0.0019,-1.8685
0.0011,-1.8527
0.0042,-1.8353
0.0073,-1.8067
0.0104,-1.7866
0.0134,-1.7709
0.0165,-1.7555
0.0196,-1.7403
0.0227,-1.7258
0.0259,-1.7125
0.0289,-1.6998
0.0320,-1.6878
0.0350,-1.6766
0.0381,-1.6654
0.0411,-1.6570
0.0442,-1.6500
0.0473,-1.6369
0.0504,-1.6240
0.0535,-1.6108
0.0566,-1.5974
0.0596,-1.5842
0.0628,-1.5698
0.0659,-1.5543
0.0689,-1.5405
0.0721,-1.5271
0.0750,-1.5136
0.0782,-1.5004
0.0812,-1.4873
0.0843,-1.4731
0.0874,-1.4587
0.0904,-1.4440
0.0936,-1.4300
0.0966,-1.4142
0.0997,-1.3974
0.1028,-1.3803
0.1059,-1.3648
0.1089,-1.3497
0.1120,-1.3321
0.1151,-1.3161
0.1182,-1.2976
0.1212,-1.2797
0.1243,-1.2630
0.1274,-1.2475
0.1304,-1.2315
0.1337,-1.2157
0.1366,-1.1998
0.1397,-1.1845
0.1428,-1.1696
0.1459,-1.1546
0.1490,-1.1395
0.1521,-1.1249
0.1551,-1.1102
0.1583,-1.0963
0.1612,-1.0830
0.1644,-1.0691
0.1674,-1.0558
0.1705,-1.0431
0.1736,-1.0308
0.1766,-1.0190
0.1798,-1.0074
0.1828,-0.9968
0.1859,-0.9807
0.1891,-0.9581
0.1921,-0.9475
0.1952,-0.9383
0.1982,-0.9303
0.2013,-0.9232
0.2044,-0.9184
0.2075,-0.9149
0.2104,-0.9147
0.2137,-0.9195
0.2167,-0.9351
0.2198,-0.9796
0.2230,-1.2494
0.2243,-2.7493
0.2793,0.0000
0.6373,0.0000
