Potential (V vs. RHE),Current density (mA/cm²)
-0.0746,-8.2242
-0.0732,-5.3620
-0.0699,-4.3341
-0.0666,-3.9634
-0.0636,-3.7350
-0.0604,-3.5551
-0.0575,-3.4034
-0.0543,-3.2713
-0.0512,-3.1464
-0.0482,-3.0336
-0.0450,-2.9311
-0.0420,-2.8363
-0.0389,-2.7577
-0.0359,-2.6729
-0.0328,-2.5928
-0.0296,-2.5212
-0.0267,-2.4481
-0.0235,-2.3867
-0.0204,-2.3285
-0.0174,-2.2675
-0.0142,-2.2188
-0.0112,-2.1749
-0.0080,-2.1229
-0.0050,-2.0795
-0.0020,-2.0413
0.0012,-2.0020
0.0042,-1.9643
0.0073,-1.9280
0.0104,-1.8967
0.0135,-1.8640
0.0166,-1.8357
0.0196,-1.8080
0.0227,-1.7781
0.0258,-1.7527
0.0289,-1.7255
0.0320,-1.7000
0.0350,-1.6765
0.0382,-1.6517
0.0412,-1.6257
0.0442,-1.5996
0.0474,-1.5777
0.0503,-1.5538
0.0535,-1.5310
0.0565,-1.5076
0.0596,-1.4850
0.0628,-1.4616
0.0658,-1.4413
0.0672,0.0000
0.0689,-1.4178
0.0720,-1.4000
0.0751,-1.3816
0.0782,-1.3601
0.0812,-1.3410
0.0843,-1.3232
0.0874,-1.3036
0.0904,-1.2837
0.0936,-1.2636
0.0966,-1.2424
0.0997,-1.2230
0.1028,-1.2066
0.1058,-1.1912
0.1090,-1.1735
0.1120,-1.1568
0.1151,-1.1399
0.1182,-1.1241
0.1212,-1.1098
0.1243,-1.0927
0.1273,-1.0766
0.1305,-1.0592
0.1335,-1.0433
0.1366,-1.0285
0.1398,-1.0196
0.1427,-1.0042
0.1459,-0.9898
0.1489,-0.9760
0.1520,-0.9628
0.1552,-0.9484
0.1581,-0.9347
0.1612,-0.9214
0.1643,-0.9076
0.1674,-0.8942
0.1705,-0.8806
0.1735,-0.8682
0.1767,-0.8577
0.1798,-0.8461
0.1828,-0.8342
0.1859,-0.8224
0.1889,-0.8113
0.1921,-0.8007
0.1952,-0.7899
0.1982,-0.7792
0.2013,-0.7688
0.2043,-0.7598
0.2074,-0.7516
0.2105,-0.7435
0.2136,-0.7339
0.2167,-0.7240
0.2197,-0.7145
0.2229,-0.7054
0.2244,-0.6995
0.2252,-0.6914
0.6448,0.0000
