Potential (V vs. RHE),Current density (mA/cm²)
-0.0746,-19.4485
-0.0732,-10.3747
-0.0701,-7.5370
-0.0670,-6.7959
-0.0639,-6.3202
-0.0608,-5.9535
-0.0578,-5.6404
-0.0546,-5.3615
-0.0516,-5.1150
-0.0484,-4.9059
-0.0454,-4.7024
-0.0422,-4.4972
-0.0389,-4.3088
-0.0358,-4.1508
-0.0328,-3.9919
-0.0296,-3.8589
-0.0266,-3.7269
-0.0236,-3.6049
-0.0204,-3.4987
-0.0175,-3.3991
-0.0142,-3.3016
-0.0112,-3.2257
-0.0081,-3.1428
-0.0050,-3.0723
-0.0020,-3.0092
0.0012,-2.9471
0.0042,-2.8850
0.0061,0.0000
0.0072,-2.8307
0.0104,-2.7779
0.0133,-2.7286
0.0165,-2.6766
0.0196,-2.6361
0.0227,-2.5975
0.0258,-2.5566
0.0288,-2.5173
0.0320,-2.4737
0.0350,-2.4397
0.0381,-2.4074
0.0412,-2.3772
0.0442,-2.3443
0.0473,-2.3116
0.0504,-2.2813
0.0534,-2.2447
0.0565,-2.2147
0.0596,-2.1850
0.0627,-2.1552
0.0658,-2.1281
0.0689,-2.1002
0.0719,-2.0721
0.0750,-2.0472
0.0782,-2.0144
0.0812,-1.9900
0.0842,-1.9694
0.0874,-1.9462
0.0904,-1.9210
0.0935,-1.9022
0.0966,-1.8748
0.0997,-1.8498
0.1028,-1.8233
0.1058,-1.7982
0.1090,-1.7726
0.1120,-1.7484
0.1150,-1.7247
0.1181,-1.7041
0.1212,-1.6791
0.1243,-1.6544
0.1273,-1.6300
0.1305,-1.6059
0.1335,-1.5820
0.1366,-1.5546
0.1397,-1.5348
0.1427,-1.5140
0.1459,-1.4936
0.1490,-1.4739
0.1520,-1.4531
0.1551,-1.4325
0.1582,-1.4126
0.1613,-1.3936
0.1643,-1.3731
0.1673,-1.3542
0.1704,-1.3321
0.1736,-1.3151
0.1767,-1.2980
0.1797,-1.2799
0.1828,-1.2631
0.1859,-1.2464
0.1889,-1.2299
0.1921,-1.2138
0.1951,-1.1972
0.1982,-1.1815
0.2013,-1.1662
0.2043,-1.1511
0.2073,-1.1365
0.2104,-1.1217
0.2135,-1.1036
0.2167,-1.0917
0.2197,-1.0768
0.2229,-1.0632
0.2244,-1.0556
0.2251,-1.0362
0.4441,0.0000
