Ewe/V;"I/mA"
2.015690952539444E-001;0.000000000000000E+000
2.134547531604767E-001;0.000000000000000E+000
1.998825967311859E-001;-2.166452432253275E+000
2.014729976654053E-001;-3.758129184861115E-001
2.046056240797043E-001;-2.206284476756282E-002
2.076181173324585E-001;8.880353544176911E-002
2.107222378253937E-001;1.420571600488691E-001
2.138507217168808E-001;1.880734109753444E-001
2.168064713478088E-001;2.264135088614081E-001
2.199455648660660E-001;2.773977297144707E-001
2.229928672313690E-001;3.113867604112424E-001
2.261076122522354E-001;3.421057771410185E-001
2.291608601808548E-001;3.766786460748233E-001
2.322946488857269E-001;4.125909198178361E-001
2.354464977979660E-001;4.464838751227216E-001
2.383820861577988E-001;4.839953797469316E-001
2.414857745170593E-001;5.280284541713893E-001
2.446384280920029E-001;5.691771383629876E-001
2.477023005485535E-001;5.937125742221978E-001
2.508286535739899E-001;6.238108806172313E-001
2.538628280162811E-001;6.551434436927699E-001
2.568683922290802E-001;6.851390166301865E-001
2.599449157714844E-001;7.183205375420094E-001
2.630596756935120E-001;7.530463566480403E-001
2.662078142166138E-001;8.247765853233826E-001
2.691951990127563E-001;8.328418123496891E-001
2.723205685615540E-001;8.658049437152062E-001
2.753557562828064E-001;8.985960139200451E-001
2.785033583641052E-001;9.344378264316084E-001
2.815534472465515E-001;9.703287425067493E-001
2.845659554004669E-001;1.023886915773512E+000
2.877356112003326E-001;1.081247590385747E+000
2.908174693584442E-001;1.108250956517296E+000
2.938654124736786E-001;1.144978767772124E+000
2.969589531421661E-001;1.183675957065617E+000
2.999666333198547E-001;1.230822850301390E+000
3.031159937381744E-001;1.313597603181314E+000
3.061869442462921E-001;1.354338525857318E+000
3.092264235019684E-001;1.389655921313446E+000
3.124036788940430E-001;1.435042310982283E+000
3.153827488422394E-001;1.491066433459260E+000
3.185777962207794E-001;1.593191064414917E+000
3.215829133987427E-001;1.615063153391301E+000
3.246997594833374E-001;1.657958787960737E+000
3.277975320816040E-001;1.704813869160944E+000
3.308630287647247E-001;1.781270056653995E+000
3.339712321758270E-001;1.859577469194434E+000
3.369587659835815E-001;1.891846155850851E+000
3.401168882846832E-001;1.946215088624847E+000
3.431425988674164E-001;1.997214607742059E+000
3.462312221527100E-001;2.122930712120493E+000
3.493745923042297E-001;2.148687332840076E+000
3.524203896522522E-001;2.195452382208266E+000
3.555055260658264E-001;2.252019981600206E+000
3.586364984512329E-001;2.385050684753516E+000
3.616144955158234E-001;2.404420449167695E+000
3.647875487804413E-001;2.455409300976930E+000
3.677562773227692E-001;2.546003552490872E+000
3.709071278572083E-001;2.628589862808639E+000
3.739497959613800E-001;2.664247760397087E+000
3.770030140876770E-001;2.720716694596350E+000
3.801182210445404E-001;2.842508821561674E+000
3.832180500030518E-001;2.897763428821747E+000
3.862320780754089E-001;2.946560846132019E+000
3.893590867519379E-001;3.029233697366829E+000
3.924301564693451E-001;3.146571305504857E+000
3.955968320369720E-001;3.184636553466028E+000
3.986257314682007E-001;3.245174831258446E+000
4.017143249511719E-001;3.394470295309027E+000
4.047930240631104E-001;3.424485701579874E+000
4.078314006328583E-001;3.486092353828905E+000
4.109628796577454E-001;3.623790779428134E+000
4.140358567237854E-001;3.664501523615137E+000
4.171251356601715E-001;3.728111266618436E+000
4.202297031879425E-001;3.883543115710893E+000
4.231938719749451E-001;3.924568151897319E+000
4.263487160205841E-001;4.002611187121532E+000
4.294343292713165E-001;4.144838344534088E+000
4.325108826160431E-001;4.192639432587065E+000
4.355685114860535E-001;4.381435499238535E+000
4.385853707790375E-001;4.596027048237033E+000
4.417806267738342E-001;4.686204635810242E+000
4.448275268077850E-001;4.671005732848215E+000
4.478616714477539E-001;4.574939823890986E+000
4.509324431419373E-001;4.452431365051893E+000
4.540109932422638E-001;4.338297979047610E+000
4.571308791637421E-001;4.075174231358950E+000
4.601597189903259E-001;4.048232132069952E+000
4.631928801536560E-001;3.997831163004278E+000
4.664093255996704E-001;3.946901620124223E+000
4.693381786346436E-001;3.895460469687578E+000
4.725390076637268E-001;3.827637727396219E+000
4.756121635437012E-001;3.694029712405097E+000
4.786234796047211E-001;3.589849624262321E+000
4.817413985729218E-001;3.575310135700718E+000
4.848370552062988E-001;3.550806556383712E+000
4.879243075847626E-001;3.526158728015474E+000
4.910764098167419E-001;3.504476248998465E+000
4.939888417720795E-001;3.498128483433419E+000
4.971865713596344E-001;3.493969228195118E+000
5.002055764198303E-001;3.490067945217408E+000
5.032681822776794E-001;3.487765596051950E+000
5.064626932144165E-001;3.491609064418409E+000
