Ewe/V;"I/mA"
6.250268816947937E-001;0.000000000000000E+000
5.481420755386353E-001;0.000000000000000E+000
-7.009885311126709E-001;-9.503377723693848E+001
-7.025120258331299E-001;-2.582471717773291E+001
-7.056829333305359E-001;-5.458983328016799E+000
-7.089415192604065E-001;-4.390042850545044E+000
-7.120593786239624E-001;-4.064943465923818E+000
-7.152704000473022E-001;-3.849577830021190E+000
-7.182601094245911E-001;-3.663299442022122E+000
-7.214001417160034E-001;-3.514525233299086E+000
-7.244281768798828E-001;-3.389559728190843E+000
-7.273755073547363E-001;-3.292255082762274E+000
-7.305592298507690E-001;-3.216786470869039E+000
-7.336217164993286E-001;-3.148677368106160E+000
-7.366757988929749E-001;-3.089236593291872E+000
-7.397919893264771E-001;-3.037252034787947E+000
-7.428054809570313E-001;-2.980220776249562E+000
-7.460215687751770E-001;-2.932785201497637E+000
-7.490716576576233E-001;-2.893501827517319E+000
-7.521758079528809E-001;-2.866159170584424E+000
-7.552332878112793E-001;-2.841370658018654E+000
-7.583108544349670E-001;-2.820577157903058E+000
-7.615136504173279E-001;-2.805482013106015E+000
-7.644757032394409E-001;-2.799088894891675E+000
-7.674823403358459E-001;-2.790669599176461E+000
-7.706277966499329E-001;-2.784396472687192E+000
-7.736428976058960E-001;-2.781967389559306E+000
-7.767936587333679E-001;-2.784092090627354E+000
-7.797716856002808E-001;-2.787641280438151E+000
-7.828482389450073E-001;-2.790830436715929E+000
-7.860192060470581E-001;-2.796084549255305E+000
-7.891094684600830E-001;-2.803297462756699E+000
-7.922146916389465E-001;-2.814475734120535E+000
-7.952213287353516E-001;-2.827842793085921E+000
-7.983201146125793E-001;-2.844097071799553E+000
-8.014560341835022E-001;-2.863480052862322E+000
-8.043969273567200E-001;-2.884835554347255E+000
-8.075360655784607E-001;-2.904283232313023E+000
-8.105956912040710E-001;-2.926982140576900E+000
-8.137284517288208E-001;-2.951736772116334E+000
-8.167997002601624E-001;-2.976413010201026E+000
-8.198499679565430E-001;-3.005206537432308E+000
-8.229755163192749E-001;-3.036516645727843E+000
-8.260256052017212E-001;-3.065454574886907E+000
-8.291583061218262E-001;-3.094120107871717E+000
-8.321532607078552E-001;-3.124988593788579E+000
-8.352181911468506E-001;-3.154347113306315E+000
-8.382735252380371E-001;-3.184918014136827E+000
-8.413925170898438E-001;-3.217371515928662E+000
-8.444764614105225E-001;-3.252699854858191E+000
-8.475471138954163E-001;-3.290311201849050E+000
-8.505951166152954E-001;-3.326106966025847E+000
-8.537364006042480E-001;-3.359335990617154E+000
-8.567959070205688E-001;-3.390493941978889E+000
-8.598459362983704E-001;-3.424142367858368E+000
-8.629925251007080E-001;-3.456458884082195E+000
-8.660436868667603E-001;-3.487270207479590E+000
-8.692101240158081E-001;-3.524565970196388E+000
-8.721844553947449E-001;-3.558326398630236E+000
-8.752896785736084E-001;-3.586024012401293E+000
-8.783895373344421E-001;-3.614288959359612E+000
-8.814830780029297E-001;-3.640773274033979E+000
-8.845458626747131E-001;-3.667246452661530E+000
-8.875991106033325E-001;-3.693864290975284E+000
-8.907318711280823E-001;-3.719618438909883E+000
-8.937956690788269E-001;-3.742114142337385E+000
-8.968448042869568E-001;-3.768648329183250E+000
-8.999407887458801E-001;-3.792380731849669E+000
-9.029601812362671E-001;-3.813146720827618E+000
-9.061108827590942E-001;-3.832460746648849E+000
-9.092160463333130E-001;-3.849652773846313E+000
-9.122258424758911E-001;-3.868573756376811E+000
-9.153279066085815E-001;-3.884798898788787E+000
-9.184033870697021E-001;-3.901983620091322E+000
-9.215307831764221E-001;-3.918331818757146E+000
-9.245533943176270E-001;-3.930371158774193E+000
-9.275579452514648E-001;-3.956604766938383E+000
-9.307245016098022E-001;-3.987818115925322E+000
-9.336929917335510E-001;-3.994658524872623E+000
-9.369260072708130E-001;-4.009861948369036E+000
-9.399398565292358E-001;-4.037862839108492E+000
-9.430535435676575E-001;-4.058779289410534E+000
-9.461587071418762E-001;-4.081391802358469E+000
-9.492533206939697E-001;-4.105711377841800E+000
-9.523234367370605E-001;-4.174454673264210E+000
-9.554107189178467E-001;-4.190781769875798E+000
-9.584109783172607E-001;-4.214672438643163E+000
-9.615812897682190E-001;-4.254240955839435E+000
-9.645569920539856E-001;-4.306505011269820E+000
-9.676420688629150E-001;-4.346919089956479E+000
-9.707949757575989E-001;-4.388261747531036E+000
-9.737560749053955E-001;-4.432773541731304E+000
-9.769534468650818E-001;-4.481656916735808E+000
-9.800106883049011E-001;-4.545519826602868E+000
-9.831038117408752E-001;-4.602576600151153E+000
-9.861624240875244E-001;-4.661941491536695E+000
-9.892388582229614E-001;-4.723163414883032E+000
-9.923452138900757E-001;-4.797723362583803E+000
-9.953320026397705E-001;-4.868789288310907E+000
-9.984890818595886E-001;-4.938375369560028E+000
-1.000081777572632E+000;-4.977290451146999E+000
-1.000310659408569E+000;-4.985102662673364E+000
