Ewe/V;"I/mA"
6.164798736572266E-001;0.000000000000000E+000
5.297316908836365E-001;0.000000000000000E+000
6.992101669311523E-001;8.164594411849976E+001
6.976679563522339E-001;2.619767089198476E+002
6.945410370826721E-001;4.170998837740316E+002
6.915510296821594E-001;4.502050188068627E+002
6.884577274322510E-001;4.377423678454145E+002
6.853088736534119E-001;4.007988293408200E+002
6.822490096092224E-001;3.571172453215488E+002
6.790556311607361E-001;3.280983713650894E+002
6.761626005172729E-001;3.119170884116884E+002
6.729592680931091E-001;2.929593591576731E+002
6.699267625808716E-001;2.798132903730098E+002
6.669058799743652E-001;2.569537259762583E+002
6.637508273124695E-001;2.741654589526775E+002
6.607351303100586E-001;2.873636536893214E+002
6.576136350631714E-001;2.529976955147215E+002
6.545351147651672E-001;2.076006261051389E+002
6.514847874641418E-001;1.720330219341038E+002
6.483464241027832E-001;1.459959096770873E+002
6.453281044960022E-001;1.268986145982958E+002
6.422368884086609E-001;1.106264210305490E+002
6.391609311103821E-001;9.602973957044935E+001
6.360568404197693E-001;8.330179761598470E+001
6.330280303955078E-001;7.295102552615060E+001
6.299519538879395E-001;6.338009133323931E+001
6.268395185470581E-001;5.511111774486750E+001
6.237584352493286E-001;4.775614379525473E+001
6.207522153854370E-001;4.124732635426201E+001
6.175950765609741E-001;3.582628641795068E+001
6.145772933959961E-001;3.097819210072430E+001
6.114452481269836E-001;2.669112032830782E+001
6.084456443786621E-001;2.298391890705513E+001
6.052857637405396E-001;1.974451044236011E+001
6.021372675895691E-001;1.692826281633681E+001
5.991193056106567E-001;1.448737187306284E+001
5.960466861724854E-001;1.229974374379662E+001
5.929253697395325E-001;1.051820070654961E+001
5.899206399917603E-001;8.969932761250718E+000
5.867480635643005E-001;7.690749300692403E+000
5.837897658348084E-001;6.534348521431724E+000
5.806681513786316E-001;5.553350832811581E+000
5.775835514068604E-001;4.745722273816074E+000
5.745404362678528E-001;4.040115297289887E+000
5.713245868682861E-001;3.443037946547523E+000
5.683436393737793E-001;2.952785599152676E+000
5.651878714561462E-001;2.557374820736484E+000
5.621960163116455E-001;2.191313784878517E+000
5.591587424278259E-001;1.918770458519155E+000
5.559362173080444E-001;1.697193552857936E+000
5.529934167861938E-001;1.505109653562329E+000
5.498378276824951E-001;1.288540209768076E+000
5.467262268066406E-001;1.161988851961646E+000
5.436728000640869E-001;1.041744117346785E+000
5.405945777893066E-001;9.323074237677601E-001
5.375235080718994E-001;8.174383619408685E-001
5.343738198280334E-001;7.630482929482613E-001
5.314495563507080E-001;6.694232216224787E-001
5.282933712005615E-001;5.979866763891817E-001
5.251649022102356E-001;5.560112375207282E-001
5.221392512321472E-001;4.918763943791640E-001
5.190435051918030E-001;3.955534353463368E-001
5.159569978713989E-001;3.503378883880801E-001
5.129218101501465E-001;3.263649686337873E-001
5.097445249557495E-001;2.871406707613466E-001
5.067421197891235E-001;2.346249550474231E-001
5.036118626594543E-001;1.356430205751380E-001
5.006119608879089E-001;1.033863201579221E-001
4.974389076232910E-001;6.846037702063290E-002
4.944227039813995E-001;2.808449898146875E-002
4.913673698902130E-001;-1.805062170964949E-002
4.882236123085022E-001;-1.275447859772032E-001
4.851999878883362E-001;-1.489124131806159E-001
4.821234941482544E-001;-1.868965517699865E-001
4.790161252021790E-001;-2.349563020232668E-001
4.758939743041992E-001;-2.805671461119039E-001
4.728465378284454E-001;-4.107901097314199E-001
4.698549211025238E-001;-4.137713380359687E-001
4.667062759399414E-001;-4.552692065353039E-001
4.636233150959015E-001;-5.058005872647087E-001
4.605457186698914E-001;-5.968017213911416E-001
4.574168026447296E-001;-6.468321754966935E-001
4.543699622154236E-001;-6.732345574104830E-001
4.513421058654785E-001;-7.174426263555498E-001
4.481733441352844E-001;-7.687556185788025E-001
4.452072083950043E-001;-8.798684852833620E-001
4.420484304428101E-001;-8.900882625906252E-001
4.390566349029541E-001;-9.300934123802085E-001
4.359058737754822E-001;-9.724876607497528E-001
4.328494369983673E-001;-1.023685469023058E+000
4.297794401645660E-001;-1.157245969288272E+000
4.266259670257568E-001;-1.180353060699041E+000
4.236257076263428E-001;-1.231973135515087E+000
4.204685986042023E-001;-1.341381504463637E+000
4.173491895198822E-001;-1.412599078468807E+000
4.143574237823486E-001;-1.462355927500777E+000
4.112271368503571E-001;-1.592915602240303E+000
4.082240164279938E-001;-1.667852165768829E+000
4.050902128219604E-001;-1.733823941339569E+000
4.020185172557831E-001;-1.884385251546441E+000
3.990416228771210E-001;-1.965472601679467E+000
3.958448767662048E-001;-2.120655107379534E+000
3.928191959857941E-001;-2.207982061556549E+000
3.897052407264709E-001;-2.332717643709818E+000
3.866391479969025E-001;-2.479308124545665E+000
3.835560679435730E-001;-2.661459152225419E+000
3.804185390472412E-001;-2.811459495783101E+000
3.774308860301971E-001;-2.974683505783894E+000
3.742813766002655E-001;-3.175012277428387E+000
3.711713552474976E-001;-3.203003023398239E+000
