Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.9000,-0.0012100,0.0000854,-0.00019300,0.00001360,-4.1090912819e+00,2.9010102153e-01,0.0673,1.9191923141e+00
-0.8990,-0.0011900,0.0000850,-0.00016700,0.00001330,-4.1333332062e+00,2.8969696164e-01,0.0683,1.9434342384e+00
-0.8980,-0.0011800,0.0000848,-0.00014800,0.00001320,-4.1696972847e+00,2.8929293156e-01,0.0693,1.9797983170e+00
-0.8970,-0.0011700,0.0000847,-0.00013100,0.00001300,-4.1979799271e+00,2.8969696164e-01,0.0703,2.0080809593e+00
-0.8960,-0.0011600,0.0000844,-0.00011800,0.00001290,-4.2101011276e+00,2.8888890147e-01,0.0713,2.0202021599e+00
-0.8950,-0.0011500,0.0000842,-0.00010700,0.00001270,-4.2141413689e+00,2.8888887167e-01,0.0723,2.0242424011e+00
-0.8940,-0.0011500,0.0000840,-0.00009710,0.00001260,-4.2541413307e+00,2.8848484159e-01,0.0733,2.0642423630e+00
-0.8930,-0.0011400,0.0000837,-0.00008830,0.00001240,-4.2492928505e+00,2.8808081150e-01,0.0743,2.0593938828e+00
-0.8920,-0.0011400,0.0000834,-0.00008040,0.00001230,-4.2812118530e+00,2.8727275133e-01,0.0753,2.0913128853e+00
-0.8910,-0.0011300,0.0000831,-0.00007310,0.00001220,-4.2703032494e+00,2.8646466136e-01,0.0763,2.0804042816e+00
-0.8900,-0.0011300,0.0000832,-0.00006670,0.00001210,-4.2961616516e+00,2.8727275133e-01,0.0773,2.1062626839e+00
-0.8890,-0.0011300,0.0000829,-0.00006070,0.00001190,-4.3204040527e+00,2.8686869144e-01,0.0783,2.1305050850e+00
-0.8880,-0.0011200,0.0000826,-0.00005500,0.00001180,-4.3030304909e+00,2.8606060147e-01,0.0793,2.1131315231e+00
-0.8870,-0.0011200,0.0000825,-0.00005070,0.00001170,-4.3204040527e+00,2.8606060147e-01,0.0803,2.1305050850e+00
-0.8860,-0.0011200,0.0000823,-0.00004590,0.00001160,-4.3397979736e+00,2.8565657139e-01,0.0813,2.1498990059e+00
-0.8850,-0.0011200,0.0000821,-0.00004170,0.00001150,-4.3567681313e+00,2.8525251150e-01,0.0823,2.1668691635e+00
-0.8840,-0.0011100,0.0000820,-0.00003790,0.00001140,-4.3317165375e+00,2.8525251150e-01,0.0833,2.1418175697e+00
-0.8830,-0.0011100,0.0000817,-0.00003410,0.00001130,-4.3470702171e+00,2.8444442153e-01,0.0843,2.1571712494e+00
-0.8820,-0.0011100,0.0000815,-0.00003100,0.00001120,-4.3595957756e+00,2.8404042125e-01,0.0853,2.1696968079e+00
-0.8810,-0.0011100,0.0000814,-0.00002790,0.00001110,-4.3721213341e+00,2.8404042125e-01,0.0863,2.1822223663e+00
