Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.9000,-0.0016000,0.0000587,-0.00082900,0.00000605,-3.1151511669e+00,2.1272727847e-01,0.0673,7.0767641068e-01
-0.8990,-0.0015300,0.0000587,-0.00075100,0.00000595,-3.1474747658e+00,2.1313132346e-01,0.0683,7.4000000954e-01
-0.8980,-0.0014900,0.0000587,-0.00068200,0.00000588,-3.2646465302e+00,2.1341414750e-01,0.0693,8.5717177391e-01
-0.8970,-0.0014500,0.0000588,-0.00062200,0.00000580,-3.3454544544e+00,2.1414141357e-01,0.0703,9.3797969818e-01
-0.8960,-0.0014300,0.0000587,-0.00056600,0.00000577,-3.4909088612e+00,2.1385858953e-01,0.0713,1.0834341049e+00
-0.8950,-0.0014000,0.0000589,-0.00051700,0.00000568,-3.5676767826e+00,2.1503029764e-01,0.0723,1.1602020264e+00
-0.8940,-0.0013900,0.0000588,-0.00047400,0.00000564,-3.7010099888e+00,2.1478788555e-01,0.0733,1.2935352325e+00
-0.8930,-0.0013600,0.0000587,-0.00043400,0.00000560,-3.7414140701e+00,2.1454545856e-01,0.0743,1.3339393139e+00
-0.8920,-0.0013600,0.0000589,-0.00039700,0.00000555,-3.8909091949e+00,2.1555556357e-01,0.0753,1.4834344387e+00
-0.8910,-0.0013400,0.0000589,-0.00036400,0.00000550,-3.9434342384e+00,2.1575757861e-01,0.0763,1.5359594822e+00
-0.8900,-0.0013300,0.0000588,-0.00033400,0.00000545,-4.0242424011e+00,2.1555554867e-01,0.0773,1.6167676449e+00
-0.8890,-0.0013100,0.0000588,-0.00030700,0.00000541,-4.0525250435e+00,2.1571718156e-01,0.0783,1.6450502872e+00
-0.8880,-0.0013000,0.0000587,-0.00028200,0.00000536,-4.1131315231e+00,2.1551513672e-01,0.0793,1.7056567669e+00
-0.8870,-0.0013000,0.0000588,-0.00025900,0.00000534,-4.2060608864e+00,2.1600000560e-01,0.0803,1.7985861301e+00
-0.8860,-0.0012900,0.0000587,-0.00023700,0.00000528,-4.2545456886e+00,2.1583838761e-01,0.0813,1.8470709324e+00
-0.8850,-0.0012700,0.0000587,-0.00021800,0.00000525,-4.2505049706e+00,2.1595959365e-01,0.0823,1.8430302143e+00
-0.8840,-0.0012700,0.0000588,-0.00020000,0.00000521,-4.3232321739e+00,2.1652525663e-01,0.0833,1.9157574177e+00
-0.8830,-0.0012600,0.0000587,-0.00018400,0.00000516,-4.3474750519e+00,2.1632322669e-01,0.0843,1.9400002956e+00
-0.8820,-0.0012500,0.0000587,-0.00016800,0.00000513,-4.3717169762e+00,2.1644443274e-01,0.0853,1.9642422199e+00
-0.8810,-0.0012500,0.0000587,-0.00015400,0.00000508,-4.4282827377e+00,2.1664646268e-01,0.0863,2.0208079815e+00
-0.8800,-0.0012400,0.0000587,-0.00014200,0.00000505,-4.4363636971e+00,2.1676768363e-01,0.0873,2.0288889408e+00
-0.8790,-0.0012400,0.0000587,-0.00012900,0.00000502,-4.4888892174e+00,2.1688888967e-01,0.0883,2.0814144611e+00
-0.8780,-0.0012300,0.0000587,-0.00011800,0.00000498,-4.4929294586e+00,2.1705050766e-01,0.0893,2.0854547024e+00
-0.8770,-0.0012300,0.0000587,-0.00010800,0.00000495,-4.5333333015e+00,2.1717171371e-01,0.0903,2.1258585453e+00
-0.8760,-0.0012200,0.0000585,-0.00009780,0.00000492,-4.5341410637e+00,2.1648485959e-01,0.0913,2.1266663074e+00
-0.8750,-0.0012300,0.0000590,-0.00008830,0.00000489,-4.6129298210e+00,2.1862627566e-01,0.0923,2.2054550648e+00
-0.8740,-0.0012100,0.0000586,-0.00008020,0.00000485,-4.5648484230e+00,2.1717171371e-01,0.0933,2.1573736668e+00
-0.8730,-0.0012100,0.0000587,-0.00007190,0.00000482,-4.5983839035e+00,2.1769697964e-01,0.0943,2.1909091473e+00
-0.8720,-0.0012100,0.0000588,-0.00006470,0.00000479,-4.6274747849e+00,2.1822223067e-01,0.0953,2.2200000286e+00
-0.8710,-0.0012100,0.0000587,-0.00005730,0.00000476,-4.6573739052e+00,2.1793939173e-01,0.0963,2.2498991489e+00
-0.8700,-0.0012000,0.0000587,-0.00005080,0.00000473,-4.6432323456e+00,2.1806059778e-01,0.0973,2.2357575893e+00
-0.8690,-0.0012000,0.0000589,-0.00004460,0.00000470,-4.6682829857e+00,2.1898990870e-01,0.0983,2.2608082294e+00
-0.8680,-0.0012000,0.0000589,-0.00003890,0.00000467,-4.6913137436e+00,2.1911111474e-01,0.0993,2.2838389874e+00
-0.8670,-0.0012000,0.0000587,-0.00003330,0.00000465,-4.7139396667e+00,2.1838383377e-01,0.1003,2.3064649105e+00
-0.8660,-0.0011900,0.0000588,-0.00002830,0.00000462,-4.6937375069e+00,2.1890908480e-01,0.1013,2.2862627506e+00
-0.8650,-0.0011900,0.0000588,-0.00002340,0.00000459,-4.7135353088e+00,2.1903030574e-01,0.1023,2.3060605526e+00
-0.8640,-0.0011900,0.0000588,-0.00001850,0.00000457,-4.7333331108e+00,2.1911111474e-01,0.1033,2.3258583546e+00
-0.8630,-0.0011900,0.0000588,-0.00001410,0.00000454,-4.7511110306e+00,2.1923232079e-01,0.1043,2.3436362743e+00
-0.8620,-0.0011900,0.0000589,-0.00000990,0.00000452,-4.7680807114e+00,2.1971717477e-01,0.1053,2.3606059551e+00
-0.8610,-0.0011800,0.0000589,-0.00000595,0.00000449,-4.7436366081e+00,2.1983838081e-01,0.1063,2.3361618519e+00
-0.8600,-0.0011800,0.0000589,-0.00000191,0.00000447,-4.7599596977e+00,2.1991920471e-01,0.1073,2.3524849415e+00
-0.8590,-0.0011800,0.0000589,0.00000155,0.00000445,-4.7739391327e+00,2.1999999881e-01,0.1083,2.3664643764e+00
-0.8580,-0.0011800,0.0000589,0.00000490,0.00000443,-4.7874751091e+00,2.2008080781e-01,0.1093,2.3800003529e+00
-0.8570,-0.0011700,0.0000589,0.00000824,0.00000441,-4.7605652809e+00,2.2016161680e-01,0.1103,2.3530905247e+00
-0.8560,-0.0011700,0.0000590,0.00001130,0.00000438,-4.7729291916e+00,2.2068688273e-01,0.1113,2.3654544353e+00
-0.8550,-0.0011700,0.0000590,0.00001430,0.00000436,-4.7850503922e+00,2.2076767683e-01,0.1123,2.3775756359e+00
-0.8540,-0.0011700,0.0000589,0.00001700,0.00000434,-4.7959594727e+00,2.2044445574e-01,0.1133,2.3884847164e+00
-0.8530,-0.0011700,0.0000589,0.00001960,0.00000432,-4.8064646721e+00,2.2052524984e-01,0.1143,2.3989899158e+00
-0.8520,-0.0011600,0.0000589,0.00002210,0.00000430,-4.7761616707e+00,2.2060605884e-01,0.1153,2.3686869144e+00
-0.8510,-0.0011600,0.0000589,0.00002470,0.00000428,-4.7866663933e+00,2.2068688273e-01,0.1163,2.3791916370e+00
-0.8500,-0.0011600,0.0000589,0.00002690,0.00000426,-4.7955555916e+00,2.2076767683e-01,0.1173,2.3880808353e+00
