Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.9000,-0.0016300,0.0000898,-0.00093000,0.00002690,-2.8282828331e+00,2.5414142013e-01,0.0673,5.2929306030e-01
-0.8990,-0.0015300,0.0000894,-0.00083200,0.00002660,-2.8202021122e+00,2.5373736024e-01,0.0683,5.2121233940e-01
-0.8980,-0.0014800,0.0000896,-0.00074700,0.00002640,-2.9616160393e+00,2.5535354018e-01,0.0693,6.6262626648e-01
-0.8970,-0.0014400,0.0000891,-0.00067200,0.00002620,-3.1030304432e+00,2.5414142013e-01,0.0703,8.0404067039e-01
-0.8960,-0.0014100,0.0000891,-0.00060500,0.00002610,-3.2525253296e+00,2.5454545021e-01,0.0713,9.5353555679e-01
-0.8950,-0.0013900,0.0000888,-0.00054600,0.00002590,-3.4101009369e+00,2.5414142013e-01,0.0723,1.1111111641e+00
-0.8940,-0.0013600,0.0000887,-0.00049200,0.00002580,-3.5070705414e+00,2.5414142013e-01,0.0733,1.2080807686e+00
-0.8930,-0.0013400,0.0000884,-0.00044600,0.00002560,-3.6121208668e+00,2.5373736024e-01,0.0743,1.3131310940e+00
-0.8920,-0.0013200,0.0000883,-0.00040400,0.00002550,-3.7010102272e+00,2.5373739004e-01,0.0753,1.4020204544e+00
-0.8910,-0.0013000,0.0000881,-0.00036500,0.00002530,-3.7777779102e+00,2.5373736024e-01,0.0763,1.4787881374e+00
-0.8900,-0.0012900,0.0000879,-0.00033000,0.00002520,-3.8787879944e+00,2.5333333015e-01,0.0773,1.5797982216e+00
-0.8890,-0.0012800,0.0000878,-0.00029900,0.00002510,-3.9636363983e+00,2.5333333015e-01,0.0783,1.6646466255e+00
-0.8880,-0.0012600,0.0000876,-0.00027100,0.00002500,-3.9959599972e+00,2.5292927027e-01,0.0793,1.6969702244e+00
-0.8870,-0.0012600,0.0000878,-0.00024300,0.00002490,-4.1090912819e+00,2.5414142013e-01,0.0803,1.8101015091e+00
-0.8860,-0.0012400,0.0000872,-0.00022000,0.00002470,-4.1212120056e+00,2.5252526999e-01,0.0813,1.8222222328e+00
-0.8850,-0.0012300,0.0000873,-0.00020000,0.00002460,-4.1616163254e+00,2.5333335996e-01,0.0823,1.8626265526e+00
-0.8840,-0.0012200,0.0000871,-0.00018100,0.00002450,-4.1979799271e+00,2.5292930007e-01,0.0833,1.8989901543e+00
-0.8830,-0.0012100,0.0000869,-0.00016300,0.00002440,-4.2303032875e+00,2.5252524018e-01,0.0843,1.9313135147e+00
-0.8820,-0.0012100,0.0000869,-0.00014700,0.00002430,-4.2949495316e+00,2.5292927027e-01,0.0853,1.9959597588e+00
-0.8810,-0.0012000,0.0000867,-0.00013200,0.00002420,-4.3151521683e+00,2.5252524018e-01,0.0863,2.0161623955e+00
-0.8800,-0.0011900,0.0000866,-0.00011800,0.00002410,-4.3313131332e+00,2.5252524018e-01,0.0873,2.0323233604e+00
-0.8790,-0.0011900,0.0000865,-0.00010600,0.00002400,-4.3797979355e+00,2.5252524018e-01,0.0883,2.0808081627e+00
-0.8780,-0.0011900,0.0000865,-0.00009430,0.00002390,-4.4270706177e+00,2.5292927027e-01,0.0893,2.1280808449e+00
-0.8770,-0.0011700,0.0000863,-0.00008300,0.00002390,-4.3919186592e+00,2.5212121010e-01,0.0903,2.0929288864e+00
-0.8760,-0.0011700,0.0000863,-0.00007260,0.00002380,-4.4339394569e+00,2.5252526999e-01,0.0913,2.1349496841e+00
-0.8750,-0.0011700,0.0000861,-0.00006330,0.00002370,-4.4715147018e+00,2.5212121010e-01,0.0923,2.1725249290e+00
-0.8740,-0.0011600,0.0000860,-0.00005440,0.00002360,-4.4670710564e+00,2.5212121010e-01,0.0933,2.1680812836e+00
-0.8730,-0.0011600,0.0000859,-0.00004600,0.00002350,-4.5010099411e+00,2.5212118030e-01,0.0943,2.2020201683e+00
-0.8720,-0.0011600,0.0000858,-0.00003870,0.00002350,-4.5305051804e+00,2.5171715021e-01,0.0953,2.2315154076e+00
-0.8710,-0.0011500,0.0000856,-0.00003120,0.00002340,-4.5204043388e+00,2.5131312013e-01,0.0963,2.2214145660e+00
-0.8700,-0.0011400,0.0000855,-0.00002460,0.00002330,-4.5066666603e+00,2.5131314993e-01,0.0973,2.2076768875e+00
-0.8690,-0.0011400,0.0000855,-0.00001830,0.00002320,-4.5321207047e+00,2.5171718001e-01,0.0983,2.2331309319e+00
-0.8680,-0.0011400,0.0000855,-0.00001250,0.00002320,-4.5555553436e+00,2.5171718001e-01,0.0993,2.2565655708e+00
-0.8670,-0.0011300,0.0000855,-0.00000700,0.00002310,-4.5373735428e+00,2.5212121010e-01,0.1003,2.2383837700e+00
