Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.9000,-0.0015400,0.0000820,-0.00086600,0.00001270,-2.7232320309e+00,2.8000000119e-01,0.0673,4.7272706032e-01
-0.8990,-0.0014500,0.0000819,-0.00077200,0.00001250,-2.7393939495e+00,2.8040403128e-01,0.0683,4.8888897896e-01
-0.8980,-0.0013900,0.0000819,-0.00068800,0.00001240,-2.8363635540e+00,2.8080806136e-01,0.0693,5.8585858345e-01
-0.8970,-0.0013700,0.0000817,-0.00061700,0.00001230,-3.0424242020e+00,2.8040403128e-01,0.0703,7.9191923141e-01
-0.8960,-0.0013400,0.0000819,-0.00055300,0.00001210,-3.1797976494e+00,2.8202021122e-01,0.0713,9.2929267883e-01
-0.8950,-0.0013000,0.0000816,-0.00049500,0.00001200,-3.2525253296e+00,2.8121215105e-01,0.0723,1.0020203590e+00
-0.8940,-0.0012900,0.0000813,-0.00044400,0.00001190,-3.4181818962e+00,2.8040406108e-01,0.0733,1.1676769257e+00
-0.8930,-0.0012700,0.0000814,-0.00039800,0.00001180,-3.5232324600e+00,2.8121212125e-01,0.0743,1.2727274895e+00
-0.8920,-0.0012500,0.0000813,-0.00035700,0.00001170,-3.6080806255e+00,2.8121212125e-01,0.0753,1.3575756550e+00
-0.8910,-0.0012400,0.0000812,-0.00031900,0.00001160,-3.7212121487e+00,2.8121212125e-01,0.0763,1.4707071781e+00
-0.8900,-0.0012300,0.0000811,-0.00028400,0.00001150,-3.8222224712e+00,2.8121212125e-01,0.0773,1.5717175007e+00
-0.8890,-0.0012200,0.0000810,-0.00025500,0.00001140,-3.8989899158e+00,2.8121212125e-01,0.0783,1.6484849453e+00
-0.8880,-0.0012000,0.0000810,-0.00022700,0.00001140,-3.9313135147e+00,2.8121212125e-01,0.0793,1.6808085442e+00
-0.8870,-0.0012000,0.0000808,-0.00020200,0.00001130,-4.0323233604e+00,2.8080806136e-01,0.0803,1.7818183899e+00
-0.8860,-0.0011900,0.0000810,-0.00018000,0.00001120,-4.0808081627e+00,2.8202021122e-01,0.0813,1.8303031921e+00
-0.8850,-0.0011800,0.0000805,-0.00016000,0.00001110,-4.1212124825e+00,2.8040406108e-01,0.0823,1.8707075119e+00
-0.8840,-0.0011700,0.0000805,-0.00014000,0.00001110,-4.1616158485e+00,2.8040406108e-01,0.0833,1.9111108780e+00
-0.8830,-0.0011600,0.0000806,-0.00012400,0.00001100,-4.1858582497e+00,2.8121215105e-01,0.0843,1.9353532791e+00
-0.8820,-0.0011600,0.0000803,-0.00010800,0.00001090,-4.2505049706e+00,2.8040403128e-01,0.0853,2.0000000000e+00
-0.8810,-0.0011600,0.0000803,-0.00009290,0.00001090,-4.3115148544e+00,2.8040403128e-01,0.0863,2.0610098839e+00
-0.8800,-0.0011500,0.0000803,-0.00008050,0.00001080,-4.3212122917e+00,2.8080806136e-01,0.0873,2.0707073212e+00
-0.8790,-0.0011400,0.0000801,-0.00006780,0.00001070,-4.3321208954e+00,2.8040403128e-01,0.0883,2.0816159248e+00
-0.8780,-0.0011400,0.0000799,-0.00005720,0.00001070,-4.3749494553e+00,2.7959594131e-01,0.0893,2.1244444847e+00
-0.8770,-0.0011300,0.0000802,-0.00004710,0.00001060,-4.3753533363e+00,2.8121212125e-01,0.0903,2.1248483658e+00
-0.8760,-0.0011300,0.0000800,-0.00003770,0.00001050,-4.4133329391e+00,2.8080806136e-01,0.0913,2.1628279686e+00
-0.8750,-0.0011300,0.0000798,-0.00002860,0.00001050,-4.4501008987e+00,2.8000000119e-01,0.0923,2.1995959282e+00
-0.8740,-0.0011300,0.0000799,-0.00002040,0.00001040,-4.4832320213e+00,2.8080806136e-01,0.0933,2.2327270508e+00
-0.8730,-0.0011200,0.0000799,-0.00001320,0.00001040,-4.4719195366e+00,2.8080806136e-01,0.0943,2.2214145660e+00
-0.8720,-0.0011200,0.0000798,-0.00000624,0.00001030,-4.5000405312e+00,2.8080806136e-01,0.0953,2.2495355606e+00
-0.8710,-0.0011100,0.0000797,-0.00000011,0.00001030,-4.4843878746e+00,2.8040406108e-01,0.0963,2.2338829041e+00
-0.8700,-0.0011100,0.0000798,0.00000555,0.00001020,-4.5072727203e+00,2.8121212125e-01,0.0973,2.2567677498e+00
-0.8690,-0.0011200,0.0000797,0.00001110,0.00001020,-4.5701007843e+00,2.8080809116e-01,0.0983,2.3195958138e+00
-0.8680,-0.0011000,0.0000796,0.00001620,0.00001010,-4.5098991394e+00,2.8080809116e-01,0.0993,2.2593941689e+00
-0.8670,-0.0011000,0.0000795,0.00002130,0.00001010,-4.5305051804e+00,2.8040406108e-01,0.1003,2.2800002098e+00
-0.8660,-0.0011000,0.0000795,0.00002570,0.00001000,-4.5482826233e+00,2.8080809116e-01,0.1013,2.2977776527e+00
-0.8650,-0.0010900,0.0000795,0.00002980,0.00000997,-4.5244445801e+00,2.8092929721e-01,0.1023,2.2739396095e+00
-0.8640,-0.0011000,0.0000794,0.00003370,0.00000993,-4.5806059837e+00,2.8068685532e-01,0.1033,2.3301010132e+00
-0.8630,-0.0010900,0.0000794,0.00003730,0.00000989,-4.5547480583e+00,2.8084850311e-01,0.1043,2.3042430878e+00
-0.8620,-0.0010900,0.0000793,0.00004070,0.00000985,-4.5684847832e+00,2.8060606122e-01,0.1053,2.3179798126e+00
-0.8610,-0.0010900,0.0000793,0.00004420,0.00000981,-4.5826263428e+00,2.8076767921e-01,0.1063,2.3321213722e+00
-0.8600,-0.0010900,0.0000792,0.00004720,0.00000977,-4.5947475433e+00,2.8052523732e-01,0.1073,2.3442425728e+00
-0.8590,-0.0010900,0.0000794,0.00005020,0.00000973,-4.6068687439e+00,2.8149494529e-01,0.1083,2.3563637733e+00
-0.8580,-0.0010800,0.0000792,0.00005300,0.00000969,-4.5777778625e+00,2.8084850311e-01,0.1093,2.3272728920e+00
-0.8570,-0.0010800,0.0000793,0.00005550,0.00000965,-4.5878782272e+00,2.8141415119e-01,0.1103,2.3373732567e+00
