Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.9000,-0.0017400,0.0000524,-0.00129000,0.00001930,-1.8181815147e+00,1.3373737037e-01,0.0673,5.8686900139e-01
-0.8990,-0.0016700,0.0000527,-0.00121000,0.00001910,-1.8585859537e+00,1.3575758040e-01,0.0683,5.4646456242e-01
-0.8980,-0.0016200,0.0000530,-0.00113000,0.00001900,-1.9797979593e+00,1.3737374544e-01,0.0693,4.2525255680e-01
-0.8970,-0.0015900,0.0000526,-0.00106000,0.00001880,-2.1414139271e+00,1.3656567037e-01,0.0703,2.6363658905e-01
-0.8960,-0.0015600,0.0000529,-0.00099400,0.00001870,-2.2868688107e+00,1.3818180561e-01,0.0713,1.1818170547e-01
-0.8950,-0.0015400,0.0000527,-0.00093400,0.00001860,-2.4484846592e+00,1.3777779043e-01,0.0723,4.3434143066e-02
-0.8940,-0.0015100,0.0000528,-0.00087900,0.00001850,-2.5494947433e+00,1.3858585060e-01,0.0733,1.4444422722e-01
-0.8930,-0.0015000,0.0000522,-0.00082700,0.00001840,-2.7191920280e+00,1.3656567037e-01,0.0743,3.1414151192e-01
-0.8920,-0.0014800,0.0000525,-0.00078000,0.00001830,-2.8282828331e+00,1.3818180561e-01,0.0753,4.2323231697e-01
-0.8910,-0.0014600,0.0000524,-0.00073500,0.00001820,-2.9292931557e+00,1.3818180561e-01,0.0763,5.2424263954e-01
-0.8900,-0.0014500,0.0000522,-0.00069400,0.00001810,-3.0545454025e+00,1.3777779043e-01,0.0773,6.4949488640e-01
-0.8890,-0.0014400,0.0000524,-0.00065500,0.00001800,-3.1717174053e+00,1.3898989558e-01,0.0783,7.6666688919e-01
-0.8880,-0.0014200,0.0000520,-0.00062000,0.00001800,-3.2323231697e+00,1.3737373054e-01,0.0793,8.2727265358e-01
-0.8870,-0.0014200,0.0000522,-0.00058700,0.00001790,-3.3656566143e+00,1.3858585060e-01,0.0803,9.6060609818e-01
-0.8860,-0.0014000,0.0000521,-0.00055600,0.00001780,-3.4101009369e+00,1.3858585060e-01,0.0813,1.0050504208e+00
-0.8850,-0.0014000,0.0000518,-0.00052600,0.00001780,-3.5313129425e+00,1.3737376034e-01,0.0823,1.1262624264e+00
-0.8840,-0.0013800,0.0000520,-0.00049900,0.00001770,-3.5595960617e+00,1.3858585060e-01,0.0833,1.1545455456e+00
-0.8830,-0.0013800,0.0000519,-0.00047400,0.00001760,-3.6606061459e+00,1.3858585060e-01,0.0843,1.2555556297e+00
-0.8820,-0.0013700,0.0000520,-0.00045000,0.00001760,-3.7171716690e+00,1.3898989558e-01,0.0853,1.3121211529e+00
-0.8810,-0.0013600,0.0000516,-0.00042800,0.00001750,-3.7656564713e+00,1.3777777553e-01,0.0863,1.3606059551e+00
-0.8800,-0.0013600,0.0000518,-0.00040700,0.00001740,-3.8505048752e+00,1.3898989558e-01,0.0873,1.4454543591e+00
-0.8790,-0.0013500,0.0000515,-0.00038800,0.00001740,-3.8868689537e+00,1.3777777553e-01,0.0883,1.4818184376e+00
-0.8780,-0.0013500,0.0000513,-0.00037000,0.00001730,-3.9595959187e+00,1.3737374544e-01,0.0893,1.5545454025e+00
-0.8770,-0.0013400,0.0000517,-0.00035200,0.00001730,-3.9919190407e+00,1.3898989558e-01,0.0903,1.5868685246e+00
-0.8760,-0.0013300,0.0000511,-0.00033600,0.00001720,-4.0161614418e+00,1.3696970046e-01,0.0913,1.6111109257e+00
-0.8750,-0.0013300,0.0000513,-0.00032100,0.00001720,-4.0767679214e+00,1.3777779043e-01,0.0923,1.6717174053e+00
-0.8740,-0.0013200,0.0000511,-0.00030600,0.00001710,-4.0969700813e+00,1.3737374544e-01,0.0933,1.6919195652e+00
-0.8730,-0.0013200,0.0000510,-0.00029200,0.00001710,-4.1535353661e+00,1.3696970046e-01,0.0943,1.7484848499e+00
-0.8720,-0.0013100,0.0000509,-0.00028000,0.00001710,-4.1616158485e+00,1.3656565547e-01,0.0953,1.7565653324e+00
-0.8710,-0.0013100,0.0000507,-0.00026800,0.00001700,-4.2101011276e+00,1.3616162539e-01,0.0963,1.8050506115e+00
-0.8700,-0.0013100,0.0000510,-0.00025700,0.00001700,-4.2545452118e+00,1.3737373054e-01,0.0973,1.8494946957e+00
-0.8690,-0.0013000,0.0000510,-0.00024600,0.00001690,-4.2585859299e+00,1.3777777553e-01,0.0983,1.8535354137e+00
-0.8680,-0.0013000,0.0000506,-0.00023500,0.00001690,-4.3030300140e+00,1.3616162539e-01,0.0993,1.8979794979e+00
-0.8670,-0.0013000,0.0000509,-0.00022600,0.00001680,-4.3393940926e+00,1.3777777553e-01,0.1003,1.9343435764e+00
-0.8660,-0.0012900,0.0000505,-0.00021600,0.00001680,-4.3393940926e+00,1.3616161048e-01,0.1013,1.9343435764e+00
-0.8650,-0.0012900,0.0000507,-0.00020800,0.00001680,-4.3717174530e+00,1.3696970046e-01,0.1023,1.9666669369e+00
-0.8640,-0.0012800,0.0000504,-0.00019900,0.00001670,-4.3676767349e+00,1.3616162539e-01,0.1033,1.9626262188e+00
-0.8630,-0.0012800,0.0000502,-0.00019100,0.00001670,-4.3999996185e+00,1.3535353541e-01,0.1043,1.9949491024e+00
-0.8620,-0.0012800,0.0000504,-0.00018400,0.00001660,-4.4282827377e+00,1.3656567037e-01,0.1053,2.0232322216e+00
-0.8610,-0.0012700,0.0000504,-0.00017700,0.00001660,-4.4161620140e+00,1.3656567037e-01,0.1063,2.0111114979e+00
