Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.8540,-0.0010600,0.0000455,0.00005590,0.00001190,-4.5086870193e+00,1.3575758040e-01,0.1133,2.2678790092e+00
-0.8530,-0.0010600,0.0000455,0.00005710,0.00001190,-4.5135354996e+00,1.3575758040e-01,0.1143,2.2727274895e+00
-0.8520,-0.0010600,0.0000454,0.00005810,0.00001180,-4.5175757408e+00,1.3575758040e-01,0.1153,2.2767677307e+00
-0.8510,-0.0010600,0.0000454,0.00005920,0.00001180,-4.5220203400e+00,1.3575758040e-01,0.1163,2.2812123299e+00
-0.8500,-0.0010600,0.0000454,0.00006010,0.00001180,-4.5256567001e+00,1.3575758040e-01,0.1173,2.2848486900e+00
-0.8490,-0.0010600,0.0000451,0.00006100,0.00001170,-4.5292930603e+00,1.3494949043e-01,0.1183,2.2884850502e+00
-0.8480,-0.0010600,0.0000452,0.00006190,0.00001170,-4.5329294205e+00,1.3535353541e-01,0.1193,2.2921214104e+00
-0.8470,-0.0010600,0.0000452,0.00006280,0.00001170,-4.5365657806e+00,1.3535353541e-01,0.1203,2.2957577705e+00
-0.8460,-0.0010600,0.0000451,0.00006360,0.00001160,-4.5397982597e+00,1.3535353541e-01,0.1213,2.2989902496e+00
-0.8450,-0.0010600,0.0000451,0.00006440,0.00001160,-4.5430307388e+00,1.3535353541e-01,0.1223,2.3022227287e+00
-0.8440,-0.0010500,0.0000450,0.00006520,0.00001160,-4.5058584213e+00,1.3494949043e-01,0.1233,2.2650504112e+00
-0.8430,-0.0010600,0.0000450,0.00006580,0.00001150,-4.5486869812e+00,1.3535353541e-01,0.1243,2.3078789711e+00
-0.8420,-0.0010500,0.0000448,0.00006650,0.00001150,-4.5111112595e+00,1.3454544544e-01,0.1253,2.2703032494e+00
-0.8410,-0.0010500,0.0000450,0.00006720,0.00001150,-4.5139393806e+00,1.3535353541e-01,0.1263,2.2731313705e+00
