"Ewe/V";"I/mA"
-1.862126141786575E-001;0.000000000000000E+000
3.957683220505714E-002;0.000000000000000E+000
9.982551634311676E-002;5.137594342231750E-001
1.013370975852013E-001;8.961272237766270E-002
1.044572293758392E-001;2.914172871539555E-002
1.074493154883385E-001;1.815905838777887E-002
1.106162816286087E-001;1.364228771354359E-002
1.137117594480515E-001;1.157678029619440E-002
1.167138591408730E-001;1.058773418261639E-002
1.198680996894836E-001;1.031118508531967E-002
1.228865757584572E-001;1.018135987682583E-002
1.259709745645523E-001;1.041916969948814E-002
1.291072070598602E-001;1.072777425132095E-002
1.321248710155487E-001;1.114124802399984E-002
1.352927386760712E-001;1.172835042580975E-002
1.384003758430481E-001;1.234212233035732E-002
1.413621157407761E-001;1.289973878266090E-002
1.444724947214127E-001;1.344733504873098E-002
1.475684493780136E-001;1.400868860578011E-002
1.506866663694382E-001;1.475623906250609E-002
1.536561697721481E-001;1.552621651986164E-002
1.567630469799042E-001;1.624622084427824E-002
1.599586158990860E-001;1.703867834163195E-002
1.629814058542252E-001;1.769320120383758E-002
1.659936755895615E-001;1.836058366876520E-002
1.691383719444275E-001;1.919352248388004E-002
1.722006797790527E-001;1.994206605046023E-002
1.752306669950485E-001;2.084614743463947E-002
1.784336417913437E-001;2.165192317942405E-002
1.813610792160034E-001;2.245651356222059E-002
1.845212280750275E-001;2.328197595241871E-002
1.875943094491959E-001;2.408695657355625E-002
1.906754374504089E-001;2.511186370334770E-002
1.938220560550690E-001;2.615350411980955E-002
1.968005746603012E-001;2.708782832514289E-002
1.999378502368927E-001;2.808901134506658E-002
2.030296027660370E-001;2.907469238951149E-002
2.060481607913971E-001;3.009102968363075E-002
2.091578990221024E-001;3.117152316216815E-002
2.122140228748322E-001;3.229818480540383E-002
2.153286039829254E-001;3.336256450053393E-002
2.184510529041290E-001;3.450880275832685E-002
2.214441895484924E-001;3.568021660363907E-002
2.246129512786865E-001;3.687114415035819E-002
2.276424467563629E-001;3.798895019478360E-002
2.305942475795746E-001;3.924014702052375E-002
2.338618040084839E-001;4.062396962989662E-002
2.368550747632980E-001;4.199571291934578E-002
2.399298101663589E-001;4.315778244779792E-002
2.430685311555862E-001;4.458691910990134E-002
2.460782527923584E-001;4.575670896319173E-002
2.492017745971680E-001;4.705209635062668E-002
