"Ewe/V";"I/mA"
-7.632269710302353E-002;0.000000000000000E+000
1.975436061620712E-001;0.000000000000000E+000
9.984458982944489E-002;-8.633903801441193E+000
1.018087789416313E-001;-2.691919168207576E+000
1.050104945898056E-001;-1.281494287193693E+000
1.081032752990723E-001;-9.683149157243243E-001
1.112589687108994E-001;-7.979419837811901E-001
1.142835095524788E-001;-6.815481763448927E-001
1.174324601888657E-001;-5.927915563120132E-001
1.204902604222298E-001;-5.189967113738816E-001
1.235073953866959E-001;-4.554613022890415E-001
1.266312897205353E-001;-3.967788305418356E-001
1.296668201684952E-001;-3.420709405902467E-001
1.327235996723175E-001;-2.910874985486238E-001
1.359276324510574E-001;-2.419500397167580E-001
1.388921588659287E-001;-1.961813537295178E-001
1.420148462057114E-001;-1.519681381825204E-001
1.450978368520737E-001;-1.097000348381059E-001
1.481556147336960E-001;-7.071340069420543E-002
1.512240320444107E-001;-3.384573067783087E-002
1.543644964694977E-001;9.471455385672567E-004
1.574625670909882E-001;3.159865402341819E-002
1.605648845434189E-001;6.264901726598182E-002
1.635365933179855E-001;9.040308499404848E-002
1.666879057884216E-001;1.155632398391457E-001
1.697796136140823E-001;1.405252344611050E-001
1.727453172206879E-001;1.626632941111411E-001
1.759704500436783E-001;1.823667223900731E-001
1.789487451314926E-001;1.996318000873032E-001
1.820493787527084E-001;2.162244595470362E-001
1.851735264062881E-001;2.309322921230292E-001
1.882599294185638E-001;2.437031995607990E-001
1.913283318281174E-001;2.539873826049952E-001
1.943157762289047E-001;2.649513206590219E-001
1.974375694990158E-001;2.733511261247825E-001
2.006098330020905E-001;2.813957600161612E-001
2.036346942186356E-001;2.901043914372119E-001
2.066819816827774E-001;2.976003969945138E-001
2.098235040903091E-001;3.058608935796485E-001
2.127956598997116E-001;3.161011463649572E-001
2.159687727689743E-001;3.255610965159308E-001
2.190583497285843E-001;3.357052934371270E-001
2.220748215913773E-001;3.490101472712599E-001
2.252036333084106E-001;3.616712382498811E-001
2.282391637563705E-001;3.759793172166752E-001
2.313563376665115E-001;3.895054943101499E-001
2.344722300767899E-001;4.042803862135544E-001
2.375386804342270E-001;4.204927657610238E-001
2.406272292137146E-001;4.333290767349102E-001
2.436850816011429E-001;4.486333913087766E-001
2.467491626739502E-001;4.612536934049443E-001
2.498896420001984E-001;4.750877255575157E-001
2.529255747795105E-001;4.897123510406507E-001
2.559851109981537E-001;5.013059585117414E-001
2.590471208095551E-001;5.133273132468492E-001
2.620339095592499E-001;5.287712603053336E-001
2.652037143707275E-001;5.413230827201652E-001
2.682671546936035E-001;5.566624599522889E-001
2.713440358638763E-001;5.713251661010883E-001
2.744589149951935E-001;5.858684121951088E-001
2.774797677993774E-001;6.035730892174183E-001
2.806467413902283E-001;6.195493900770095E-001
2.836836576461792E-001;6.382801050187465E-001
2.867517173290253E-001;6.566617865605657E-001
2.899080514907837E-001;6.758773215175662E-001
2.929330170154572E-001;6.981627986180534E-001
2.960459291934967E-001;7.169604726883918E-001
2.991694808006287E-001;7.389412404203446E-001
3.021074831485748E-001;7.640133925987040E-001
3.052561283111572E-001;7.865594727362968E-001
3.083544969558716E-001;8.117446406753093E-001
3.114101588726044E-001;8.386220735483807E-001
3.145422637462616E-001;8.634671382876569E-001
3.176211416721344E-001;8.974593432798219E-001
3.207234740257263E-001;9.217305437302592E-001
3.238018751144409E-001;9.499486870516058E-001
3.267924189567566E-001;9.779235871824827E-001
3.299466967582703E-001;1.009465246078681E+000
3.330436944961548E-001;1.043632721698465E+000
3.360003530979156E-001;1.075547535300117E+000
3.391613960266113E-001;1.110915069662761E+000
3.422562777996063E-001;1.150992853728084E+000
3.453267514705658E-001;1.188562141092603E+000
3.484863638877869E-001;1.228546152575512E+000
3.514572381973267E-001;1.273136505233590E+000
3.545386493206024E-001;1.313995456758873E+000
3.576989769935608E-001;1.362005781141857E+000
3.607037663459778E-001;1.409803600693655E+000
3.638612031936646E-001;1.459056172450858E+000
3.668871819972992E-001;1.512568663277765E+000
3.699343800544739E-001;1.568251269789497E+000
3.731013536453247E-001;1.625609166176710E+000
3.761112391948700E-001;1.683108827287771E+000
3.792222440242767E-001;1.748423306224744E+000
3.822843432426453E-001;1.818442516859314E+000
3.852871656417847E-001;1.890432849892314E+000
3.884952366352081E-001;1.964980890799040E+000
3.915138542652130E-001;2.049821913763338E+000
3.946112692356110E-001;2.137436912201469E+000
3.977471292018890E-001;2.232645596142042E+000
4.007211923599243E-001;2.336433805750936E+000
4.038489460945129E-001;2.444860197127026E+000
4.069296419620514E-001;2.568793264670937E+000
4.099973440170288E-001;2.707691242636052E+000
4.131494760513306E-001;2.858299885690180E+000
4.161065518856049E-001;3.020336648807984E+000
4.192311763763428E-001;3.202126763681953E+000
4.223228991031647E-001;3.388731763938516E+000
4.253660738468170E-001;3.565450889977592E+000
4.284882843494415E-001;3.723104850571339E+000
4.315778911113739E-001;3.884747316029603E+000
4.347151815891266E-001;4.079922709053584E+000
4.378047883510590E-001;4.306767587820303E+000
4.407502114772797E-001;4.443914123123250E+000
4.439850747585297E-001;4.441480637003729E+000
4.469673335552216E-001;4.331298498705053E+000
4.500592648983002E-001;4.173761392194454E+000
4.531075060367584E-001;4.006642461423226E+000
4.560848176479340E-001;3.855511008976052E+000
4.592326283454895E-001;3.732954427620044E+000
4.623636007308960E-001;3.620511596156788E+000
