"Ewe/V";"I/mA"
1.939950734376907E-001;0.000000000000000E+000
1.009702011942863E-001;0.000000000000000E+000
1.995277255773544E-001;9.965488910675049E-001
2.011321634054184E-001;2.529589401748362E-001
2.041646093130112E-001;1.960226091988897E-001
2.073520720005035E-001;1.908896239194930E-001
2.103833407163620E-001;1.908249262233259E-001
2.135154604911804E-001;1.925629979940724E-001
2.165360450744629E-001;1.950540278682360E-001
2.195588648319244E-001;1.981007370924490E-001
2.227283716201782E-001;2.019680301759257E-001
2.258302569389343E-001;2.055303057571347E-001
2.288308292627335E-001;2.093272375126780E-001
2.319522053003311E-001;2.129923792677837E-001
2.350414693355560E-001;2.171040655886112E-001
2.381769865751266E-001;2.208403039786220E-001
2.412262707948685E-001;2.243344200000583E-001
2.442627698183060E-001;2.278800780461054E-001
2.473832368850708E-001;2.312880639990578E-001
2.503911852836609E-001;2.350491846243910E-001
2.534902095794678E-001;2.390470329074352E-001
2.566335499286652E-001;2.423550801635006E-001
2.596496343612671E-001;2.452640877474996E-001
2.627304494380951E-001;2.486493833365087E-001
2.657455503940582E-001;2.521959735704042E-001
2.688899636268616E-001;2.565605468965035E-001
2.720163464546204E-001;2.630306961117626E-001
2.750611007213593E-001;2.656263835610950E-001
2.781567573547363E-001;2.676516854479107E-001
2.812598347663879E-001;2.728263141833891E-001
2.843120098114014E-001;2.721603185150647E-001
2.874945998191834E-001;2.756702235171531E-001
2.904323339462280E-001;2.792541860441258E-001
2.935565710067749E-001;2.823256223129673E-001
2.966416180133820E-001;2.852949369446911E-001
2.996174693107605E-001;2.889417739935705E-001
3.027640283107758E-001;2.929554106846979E-001
3.058671057224274E-001;2.963310746336310E-001
3.089479207992554E-001;2.999964652485436E-001
3.120403885841370E-001;3.038588957783253E-001
3.151031434535980E-001;3.075368226053117E-001
3.182157874107361E-001;3.111196538611427E-001
3.212457299232483E-001;3.142803402798204E-001
3.243933320045471E-001;3.172996316977790E-001
3.274974226951599E-001;3.202998891083930E-001
3.305750787258148E-001;3.237800115756411E-001
3.336272239685059E-001;3.288716051905478E-001
3.366699218750000E-001;3.341303961360662E-001
3.398121595382690E-001;3.377629994780493E-001
3.428134918212891E-001;3.397225078294177E-001
3.459080755710602E-001;3.410758688654432E-001
3.489963412284851E-001;3.444972691113666E-001
3.520654439926147E-001;3.483128267573039E-001
3.552480638027191E-001;3.529682423787570E-001
3.582546412944794E-001;3.590366754904899E-001
3.613418340682983E-001;3.625620992402139E-001
3.644469976425171E-001;3.662602939528936E-001
3.674292564392090E-001;3.686773822056968E-001
3.706722259521484E-001;3.726036033367075E-001
3.736300766468048E-001;3.766393168186797E-001
3.767087757587433E-001;3.815864317336614E-001
3.797938525676727E-001;3.864540472446110E-001
3.828174173831940E-001;3.922632635905234E-001
3.859967887401581E-001;4.006503306859210E-001
3.890277743339539E-001;4.111200853730084E-001
3.921213150024414E-001;4.160477254820514E-001
3.952360749244690E-001;4.167109335054855E-001
3.982744216918945E-001;4.214157964166789E-001
4.014347493648529E-001;4.277057059462489E-001
4.044106602668762E-001;4.353495276023598E-001
4.074161946773529E-001;4.451747796382861E-001
4.105913639068604E-001;4.608352393654007E-001
4.136710762977600E-001;4.758229261203547E-001
4.168186783790588E-001;4.777185096669787E-001
4.198093712329865E-001;4.863303665996952E-001
4.228659272193909E-001;5.124052827059984E-001
4.260614812374115E-001;5.917978411009228E-001
4.290663003921509E-001;7.239301917909762E-001
4.321948885917664E-001;8.396508550533603E-001
4.352459907531738E-001;9.171486432683178E-001
4.383119940757751E-001;9.552062436579583E-001
4.414384067058563E-001;9.685314995148779E-001
4.444639980792999E-001;9.882044699533097E-001
4.475548565387726E-001;1.012820629299132E+000
4.505656957626343E-001;1.035992746460618E+000
4.537248909473419E-001;1.059175051961791E+000
4.568067789077759E-001;1.079355663195027E+000
4.597964882850647E-001;1.098470383175471E+000
4.629726409912109E-001;1.115367106730059E+000
4.659676551818848E-001;1.130680036268988E+000
4.691184163093567E-001;1.145558736404787E+000
4.721642136573792E-001;1.161795023562464E+000
4.752460718154907E-001;1.181130030310417E+000
4.783746004104614E-001;1.205852768357708E+000
4.814144968986511E-001;1.242451471768423E+000
4.844571053981781E-001;1.273963344163591E+000
4.875792562961578E-001;1.308659091985731E+000
4.907289743423462E-001;1.345774319848649E+000
4.937303364276886E-001;1.388669817194437E+000
4.967676401138306E-001;1.439009326961109E+000
4.999167323112488E-001;1.515414071911415E+000
5.029699206352234E-001;1.574677588056679E+000
5.060740709304810E-001;1.642433691208829E+000
5.091485977172852E-001;1.736482724870605E+000
5.121957659721375E-001;1.829078442242674E+000
5.152382850646973E-001;1.933171840577829E+000
5.183821916580200E-001;2.070355165486655E+000
5.214647650718689E-001;2.231576844489830E+000
5.245635509490967E-001;2.439600889244456E+000
5.276123881340027E-001;2.725564151241933E+000
5.306889414787292E-001;3.097546402676656E+000
5.337571501731873E-001;3.560703888994169E+000
5.368434786796570E-001;4.101142796473269E+000
5.399922728538513E-001;4.636412324548203E+000
5.429974198341370E-001;5.038774542792169E+000
5.460065603256226E-001;5.249982461668694E+000
5.492558479309082E-001;5.317939369740145E+000
5.522385239601135E-001;5.492145156617909E+000
5.553211569786072E-001;5.743392955571434E+000
5.583938360214233E-001;6.179474415307979E+000
5.615206360816956E-001;6.803244790428636E+000
5.645833611488342E-001;7.643990795804825E+000
5.676345825195313E-001;8.749244946334358E+000
5.707454085350037E-001;1.012158813479235E+001
5.737763643264771E-001;1.185829160519292E+001
5.768749713897705E-001;1.392714579711540E+001
5.799661278724670E-001;1.637762630562020E+001
5.829768180847168E-001;1.917424958790764E+001
5.861358642578125E-001;2.258739655448949E+001
5.891623497009277E-001;2.657083649903581E+001
5.923256874084473E-001;3.118074186498791E+001
5.954508781433105E-001;3.644009614613344E+001
5.983855128288269E-001;4.268061454297811E+001
6.015757918357849E-001;4.976612004514914E+001
6.045382022857666E-001;5.743970161160962E+001
6.077229380607605E-001;6.653000499841016E+001
6.108332872390747E-001;7.647181054157227E+001
6.138207316398621E-001;8.803008429212980E+001
6.169723272323608E-001;1.001139064434826E+002
6.199665069580078E-001;1.126458989422806E+002
6.230772137641907E-001;1.274615378637302E+002
6.261725425720215E-001;1.428709988594715E+002
6.292309165000916E-001;1.605062373687738E+002
6.323268413543701E-001;1.777376656838674E+002
6.353640556335449E-001;1.947447259197020E+002
6.385201811790466E-001;2.132201830681042E+002
6.415594220161438E-001;2.301406427996949E+002
6.446150541305542E-001;2.491821471302728E+002
6.477940082550049E-001;3.043168755442948E+002
6.507778763771057E-001;3.392608622581297E+002
6.538832187652588E-001;3.525666131542621E+002
6.569468975067139E-001;3.696639143091388E+002
6.599603295326233E-001;4.076994304229077E+002
6.630972027778625E-001;4.325920448879629E+002
6.661383509635925E-001;4.373932589041679E+002
6.692622900009155E-001;4.521573411104605E+002
6.724030375480652E-001;4.805020828516326E+002
6.755205392837524E-001;4.960897439474429E+002
6.785695552825928E-001;5.099438703105707E+002
6.816729307174683E-001;5.377140970265182E+002
6.847737431526184E-001;5.908408831500811E+002
6.878308057785034E-001;6.046525843873587E+002
6.909387111663818E-001;5.921429985995878E+002
6.939609646797180E-001;5.941234992973023E+002
6.970396637916565E-001;6.015571990953868E+002
6.991356611251831E-001;6.021194835071292E+002
6.999121308326721E-001;6.055145331488716E+002
