"Ewe/V";"I/mA"
1.974672973155975E-001;0.000000000000000E+000
1.492378264665604E-001;0.000000000000000E+000
1.994895786046982E-001;4.695583395659924E-001
2.011715322732925E-001;1.279160741738732E-001
2.042935490608215E-001;1.038525873671581E-001
2.072460949420929E-001;1.041470947622039E-001
2.103989869356155E-001;1.068566716406600E-001
2.134840488433838E-001;1.103544584748641E-001
2.165923714637756E-001;1.140777812777043E-001
2.196011394262314E-001;1.172778025675197E-001
2.226384729146957E-001;1.209247898828179E-001
2.257468700408936E-001;1.243412523720866E-001
2.288679480552673E-001;1.282914755776310E-001
2.319667935371399E-001;1.318112446940374E-001
2.350020259618759E-001;1.350939321910412E-001
2.381305098533630E-001;1.382090180205355E-001
2.412548065185547E-001;1.414486135826727E-001
2.442200779914856E-001;1.441277240989585E-001
2.473983615636826E-001;1.463375221392795E-001
2.504251599311829E-001;1.492683048395671E-001
2.535313963890076E-001;1.522651312362615E-001
2.566132545471191E-001;1.551233740345537E-001
2.596082091331482E-001;1.579475004326190E-001
2.627568542957306E-001;1.607242861908320E-001
2.658648788928986E-001;1.642812389465851E-001
2.689083218574524E-001;1.668649250506302E-001
2.720961570739746E-001;1.695351663223583E-001
2.750211358070374E-001;1.721922272499912E-001
2.781475186347961E-001;1.748237510267812E-001
2.812029123306274E-001;1.774561956548539E-001
2.843504846096039E-001;1.800595024548519E-001
2.874058485031128E-001;1.827130041240093E-001
2.904188334941864E-001;1.853051804433206E-001
2.935484051704407E-001;1.877951705798599E-001
2.965995669364929E-001;1.902590545361014E-001
2.996930778026581E-001;1.927398535804588E-001
3.028575778007507E-001;1.953696969248675E-001
3.058451414108276E-001;1.980777518100038E-001
3.089153170585632E-001;2.002379657017186E-001
3.120851814746857E-001;2.026968551893211E-001
3.150843977928162E-001;2.051854440667546E-001
3.182998001575470E-001;2.077392640651476E-001
3.212566375732422E-001;2.102690294461373E-001
3.244010508060455E-001;2.125831701804008E-001
3.275104463100433E-001;2.150592192428105E-001
3.305234313011169E-001;2.177778876386549E-001
3.336710035800934E-001;2.199352730398463E-001
3.366309702396393E-001;2.224450701046186E-001
3.397520482540131E-001;2.254395430551668E-001
3.429091870784760E-001;2.286617042757744E-001
3.459137082099915E-001;2.302352060388551E-001
3.490591645240784E-001;2.325696582714114E-001
3.520922362804413E-001;2.348806664613243E-001
3.551699221134186E-001;2.376558963837558E-001
3.582496643066406E-001;2.402789716550162E-001
3.612785339355469E-001;2.430373481476726E-001
3.643953502178192E-001;2.464400995661737E-001
3.674528300762177E-001;2.494147957158352E-001
3.705866932868958E-001;2.525745963352168E-001
3.736844360828400E-001;2.555924435780907E-001
3.766815364360809E-001;2.588780890622986E-001
3.797962367534637E-001;2.619735999172645E-001
3.828441798686981E-001;2.653236511527979E-001
3.859282135963440E-001;2.692269198132555E-001
3.890344202518463E-001;2.737111752010457E-001
3.920739293098450E-001;2.778939490530119E-001
3.952278494834900E-001;2.812856925905773E-001
3.983150124549866E-001;2.856869802494630E-001
4.014159739017487E-001;2.902241627417470E-001
4.044904410839081E-001;2.948520263456640E-001
4.074514210224152E-001;2.994337585705198E-001
4.106637239456177E-001;3.050423249150148E-001
4.136618375778198E-001;3.107815602597794E-001
4.167416095733643E-001;3.185588404989712E-001
4.198171198368073E-001;3.296753440546589E-001
4.228909015655518E-001;3.541633227911274E-001
4.260383248329163E-001;4.509620055649926E-001
4.290289878845215E-001;6.999912245300588E-001
4.322260022163391E-001;8.359079491344525E-001
4.352588057518005E-001;8.720446434573415E-001
4.383257925510406E-001;8.914590227128212E-001
4.413875639438629E-001;9.082324845741265E-001
4.444927573204041E-001;9.034355746151270E-001
4.475756287574768E-001;8.871727971184651E-001
4.505526125431061E-001;8.722032544331757E-001
4.537108242511749E-001;8.678509441535844E-001
4.568445682525635E-001;8.771160846137078E-001
4.598098695278168E-001;8.931008934265350E-001
4.629755020141602E-001;8.983363568780192E-001
4.659608900547028E-001;8.938903746001907E-001
4.690363705158234E-001;8.921505716623299E-001
4.722422659397125E-001;8.968952112819828E-001
4.751789569854736E-001;9.049160726500389E-001
4.783477187156677E-001;9.230074946266669E-001
4.814370274543762E-001;9.472396121209279E-001
4.844466149806976E-001;9.816097770549526E-001
4.876043498516083E-001;1.035350629428923E+000
4.906564950942993E-001;1.078643356697619E+000
4.937297999858856E-001;1.133982129599548E+000
4.968472123146057E-001;1.209848174901522E+000
4.999173581600189E-001;1.282451159803904E+000
5.029699802398682E-001;1.391483221531068E+000
5.060302615165710E-001;1.500694177593457E+000
5.092042684555054E-001;1.628948310581768E+000
5.122222900390625E-001;1.778228503664955E+000
5.152882933616638E-001;1.952897393945520E+000
5.184494853019714E-001;2.152559754532949E+000
5.214246511459351E-001;2.380618502787009E+000
