"Ewe/V";"I/mA"
2.006914913654327E-001;0.000000000000000E+000
2.094864994287491E-001;0.000000000000000E+000
1.999450027942657E-001;-8.519947740686966E-001
2.016086578369141E-001;-8.138682017775178E-002
2.048744559288025E-001;5.225496435920585E-002
2.079561799764633E-001;7.510884178661320E-002
2.109638452529907E-001;9.048859993456104E-002
2.140817791223526E-001;1.032291627382245E-001
2.171328961849213E-001;1.113675041383593E-001
2.202296108007431E-001;1.198006954288641E-001
2.233358472585678E-001;1.281777422030497E-001
2.263403385877609E-001;1.345054004419763E-001
2.295292615890503E-001;1.409724447264522E-001
2.325623780488968E-001;1.478669762981792E-001
2.356771081686020E-001;1.538692251744855E-001
2.387367188930511E-001;1.607960428181761E-001
2.418154329061508E-001;1.660039017922803E-001
2.449703961610794E-001;1.712467100578701E-001
2.479759752750397E-001;1.767925169458646E-001
2.510090768337250E-001;1.825148763096197E-001
2.541958987712860E-001;1.881450963607967E-001
2.571431398391724E-001;1.930608604785514E-001
2.603097856044769E-001;1.985997984501515E-001
2.633566856384277E-001;2.056287827164002E-001
2.664671838283539E-001;2.114750229526114E-001
2.695776522159576E-001;2.174073295093003E-001
2.725991308689117E-001;2.243839897444047E-001
2.756968736648560E-001;2.305049220523809E-001
2.787225842475891E-001;2.482652626095874E-001
2.817794382572174E-001;2.513983925908017E-001
2.849301695823669E-001;2.551737261609244E-001
2.879993319511414E-001;2.627978132994278E-001
2.910886108875275E-001;2.709723685061973E-001
2.941482365131378E-001;2.788460072686334E-001
2.971929907798767E-001;2.864727878374893E-001
3.003384470939636E-001;2.963782211378065E-001
3.033312857151031E-001;3.055086709069890E-001
3.064693808555603E-001;3.157100200542420E-001
3.095363974571228E-001;3.246543393054461E-001
3.126098215579987E-001;3.357202995038587E-001
3.157372176647186E-001;3.484293143359150E-001
3.188063800334930E-001;3.580247803918821E-001
3.219359815120697E-001;3.696700020136318E-001
3.249765038490295E-001;3.811443161854747E-001
3.281113207340240E-001;3.930575722621477E-001
3.312122523784637E-001;4.065305667843067E-001
3.342072665691376E-001;4.188353618960150E-001
3.373400270938873E-001;4.312634657189109E-001
3.403540253639221E-001;4.469459755591423E-001
3.434454500675201E-001;4.610375262737403E-001
3.465796411037445E-001;4.959149185106799E-001
3.496244251728058E-001;5.006563927368113E-001
3.528059124946594E-001;5.129186904657548E-001
3.557330667972565E-001;5.288256175689430E-001
3.587968945503235E-001;5.441547241130600E-001
3.619815409183502E-001;5.621478692944279E-001
3.650072515010834E-001;5.795745082386699E-001
3.681824207305908E-001;5.971382272257774E-001
3.712261021137238E-001;6.168243043290591E-001
3.743090331554413E-001;6.335105287505645E-001
3.773272931575775E-001;6.512792311482301E-001
3.803710639476776E-001;6.726948965261652E-001
3.834709823131561E-001;6.913217090420787E-001
3.865133821964264E-001;7.394999879521101E-001
3.896795809268951E-001;7.432787048829024E-001
3.927434682846069E-001;7.581562198998899E-001
3.957892954349518E-001;7.804309038897523E-001
3.989432156085968E-001;7.990150197309376E-001
4.019339382648468E-001;8.201735476402279E-001
4.050380885601044E-001;8.431616832667572E-001
4.081930816173553E-001;8.666372173997656E-001
4.111541211605072E-001;8.931673113454415E-001
4.143271446228027E-001;9.196961115681681E-001
4.173299074172974E-001;9.815241729446564E-001
4.204944372177124E-001;1.002872733193650E+000
4.235445261001587E-001;1.042486630500878E+000
4.265606701374054E-001;1.092688278316043E+000
4.298051595687866E-001;1.200122234734104E+000
4.327206015586853E-001;1.297395037927732E+000
4.358582794666290E-001;1.413778293326826E+000
4.389504492282867E-001;1.473875329303421E+000
4.419909715652466E-001;1.488806686171767E+000
4.451788365840912E-001;1.486072630354006E+000
4.481621086597443E-001;1.473755017418604E+000
4.512227773666382E-001;1.456695932853826E+000
4.543682634830475E-001;1.445401920912358E+000
4.574077129364014E-001;1.442570773128253E+000
4.604991674423218E-001;1.439634342928759E+000
4.634845554828644E-001;1.439083740477979E+000
4.666353166103363E-001;1.435686208607745E+000
4.697150886058807E-001;1.430503684514832E+000
4.727492630481720E-001;1.426323496502857E+000
4.759996533393860E-001;1.413478022404105E+000
4.789310395717621E-001;1.402344196324023E+000
4.820150136947632E-001;1.389434537380080E+000
4.851361811161041E-001;1.377190547242929E+000
4.881398677825928E-001;1.370963841202162E+000
4.913119971752167E-001;1.363329687348134E+000
4.943200349807739E-001;1.363134729314353E+000
4.974034726619720E-001;1.369982317265020E+000
5.005136728286743E-001;1.377269103827285E+000
5.035561919212341E-001;1.389726164470377E+000
5.067556500434875E-001;1.404193332930568E+000
5.097262859344482E-001;1.417902040387727E+000
5.127922296524048E-001;1.434382411250688E+000
5.159525275230408E-001;1.449673411994649E+000
5.189464092254639E-001;1.464791749980913E+000
5.221257805824280E-001;1.483515219544870E+000
5.251525640487671E-001;1.500019616975298E+000
5.281962752342224E-001;1.520336862413580E+000
5.313703417778015E-001;1.539214350548365E+000
5.343367457389832E-001;1.562518190724312E+000
5.374842286109924E-001;1.590498249316632E+000
5.405669808387756E-001;1.652693362677976E+000
5.435774326324463E-001;1.668279519878568E+000
5.467535853385925E-001;1.711851721989368E+000
5.497760772705078E-001;1.764399220725910E+000
5.529477596282959E-001;1.856564591743833E+000
5.559954047203064E-001;1.928172804583483E+000
5.589951872825623E-001;2.037223151465415E+000
5.621213912963867E-001;2.168253636564724E+000
5.651920437812805E-001;2.345775677626563E+000
5.682618618011475E-001;2.546573970876601E+000
5.713214874267578E-001;2.803927490814395E+000
5.744003057479858E-001;3.139195446452802E+000
5.775252580642700E-001;3.534755443093475E+000
5.805500149726868E-001;4.031824727468290E+000
5.836964249610901E-001;4.651172069113656E+000
5.866755247116089E-001;5.408457674276960E+000
5.898456573486328E-001;6.326995764876230E+000
5.929828286170959E-001;7.432081251387395E+000
5.959879159927368E-001;8.766412860859560E+000
5.990519523620605E-001;1.036185637521515E+001
6.021105051040649E-001;1.226071106544325E+001
6.052145361900330E-001;1.450183834264803E+001
6.082637906074524E-001;1.706671121980965E+001
6.113845109939575E-001;2.023867986926939E+001
6.145179867744446E-001;2.393141214188705E+001
6.175432801246643E-001;2.805178599026013E+001
6.206042170524597E-001;3.290108763729484E+001
6.237083673477173E-001;3.879374078796593E+001
6.267679929733276E-001;4.550549200024875E+001
6.299108266830444E-001;5.332609564910413E+001
6.329195499420166E-001;6.247662300640241E+001
6.359812021255493E-001;7.337217705764377E+001
6.391717791557312E-001;8.674978594611179E+001
6.421660184860229E-001;1.025273355563649E+002
6.452305912971497E-001;1.216055729839356E+002
6.483254432678223E-001;1.428903156625374E+002
6.513906717300415E-001;1.652965746414566E+002
6.544748544692993E-001;1.897564739368381E+002
6.575337648391724E-001;2.183491054871717E+002
6.606466770172119E-001;2.482188940085289E+002
6.637051701545715E-001;2.810000816590855E+002
6.667427420616150E-001;3.215096962061425E+002
6.697922945022583E-001;3.580031302013967E+002
6.729434728622437E-001;4.063722162239728E+002
6.761181354522705E-001;4.634554774547958E+002
6.791911721229553E-001;5.110679152795765E+002
6.823393106460571E-001;5.733580257190874E+002
6.852599978446960E-001;5.816530560479168E+002
6.884450316429138E-001;5.890771023676107E+002
6.915727257728577E-001;5.965906513993996E+002
6.945275068283081E-001;6.046744929002061E+002
6.976481676101685E-001;6.240838978919091E+002
6.993558406829834E-001;6.437243279135146E+002
6.996603608131409E-001;6.468533224587909E+002
