"Ewe/V";"I/mA"
5.780756473541260E-001;0.000000000000000E+000
4.927392303943634E-001;0.000000000000000E+000
-7.012829184532166E-001;-7.119293331277788E+001
-7.028703093528748E-001;-2.063086441777017E+001
-7.059670686721802E-001;-1.180514543915332E+001
-7.090123295783997E-001;-1.058285905989197E+001
-7.121927738189697E-001;-9.755036730456084E+000
-7.151821851730347E-001;-9.134351527808860E+000
-7.182011604309082E-001;-8.670966812586329E+000
-7.213750481605530E-001;-8.304416926921476E+000
-7.243215441703796E-001;-8.007951152586458E+000
-7.274712920188904E-001;-7.766381810644276E+000
-7.305681109428406E-001;-7.551185558247198E+000
-7.336414456367493E-001;-7.373974730879269E+000
-7.366873621940613E-001;-7.208080611230486E+000
-7.397583723068237E-001;-7.040752294503434E+000
-7.429137229919434E-001;-6.905725520802829E+000
-7.460339665412903E-001;-6.787155109346724E+000
-7.490302324295044E-001;-6.671337239247116E+000
-7.521839141845703E-001;-6.551459843369578E+000
-7.551990747451782E-001;-6.448768145972252E+000
-7.582629323005676E-001;-6.353305728036403E+000
-7.613829970359802E-001;-6.275434212936972E+000
-7.644400000572205E-001;-6.211357864292339E+000
-7.675189971923828E-001;-6.151451148199246E+000
-7.706148624420166E-001;-6.092289354713834E+000
-7.736256718635559E-001;-6.049157556172162E+000
-7.767987847328186E-001;-6.014208413992712E+000
-7.797873616218567E-001;-5.979569546780340E+000
-7.829285860061646E-001;-5.950854381024641E+000
-7.860274910926819E-001;-5.937132506826657E+000
-7.891051173210144E-001;-5.912863404510034E+000
-7.922495603561401E-001;-5.895555705770761E+000
-7.952285408973694E-001;-5.882773034752361E+000
-7.983804941177368E-001;-5.871515544531491E+000
-8.013463616371155E-001;-5.860402059656280E+000
-8.044252991676331E-001;-5.854620618201864E+000
-8.075849413871765E-001;-5.848445916618928E+000
-8.105938434600830E-001;-5.840251970556949E+000
-8.136855959892273E-001;-5.834360425088718E+000
-8.168493509292603E-001;-5.832368650026254E+000
-8.198701739311218E-001;-5.829249823983240E+000
-8.229565620422363E-001;-5.830614957050940E+000
-8.259782195091248E-001;-5.830153416507383E+000
-8.291426301002502E-001;-5.828211882399501E+000
-8.322316408157349E-001;-5.830562191081675E+000
-8.352618217468262E-001;-5.837017379014469E+000
-8.383238315582275E-001;-5.839380421225400E+000
-8.414432406425476E-001;-5.838939378682227E+000
-8.444353342056274E-001;-5.840388000519852E+000
-8.476374149322510E-001;-5.841479978390637E+000
-8.506844639778137E-001;-5.845145121724997E+000
-8.537495732307434E-001;-5.851025748196008E+000
-8.569018244743347E-001;-5.855497226057835E+000
-8.598594665527344E-001;-5.870428206296069E+000
-8.630300760269165E-001;-5.867193642357737E+000
-8.660793900489807E-001;-5.865045252769420E+000
-8.691435456275940E-001;-5.874860703579849E+000
-8.722999095916748E-001;-5.880472036976713E+000
-8.752973079681396E-001;-5.878581488967679E+000
-8.784031271934509E-001;-5.874844186568033E+000
-8.815104365348816E-001;-5.875373094763674E+000
-8.845152258872986E-001;-5.878673636750939E+000
-8.875784277915955E-001;-5.886700130135363E+000
-8.906565308570862E-001;-5.897816543329277E+000
-8.937237858772278E-001;-5.901377130520657E+000
-8.968947529792786E-001;-5.886035760543763E+000
-8.999357819557190E-001;-5.883466209491257E+000
-9.029884338378906E-001;-5.885938014304003E+000
-9.061563611030579E-001;-5.885094777555338E+000
-9.091123938560486E-001;-5.878461872183358E+000
-9.122995138168335E-001;-5.875719210134449E+000
-9.154081344604492E-001;-5.882561419310619E+000
-9.184085130691528E-001;-5.886038852359057E+000
-9.215164184570313E-001;-5.875801173352428E+000
-9.245773553848267E-001;-5.853222575385217E+000
-9.276700019836426E-001;-5.858620482710450E+000
-9.307586550712585E-001;-5.866313629724587E+000
-9.337677359580994E-001;-5.868392389544482E+000
-9.368937611579895E-001;-5.871327495231789E+000
-9.400423169136047E-001;-5.898881140747889E+000
-9.430970549583435E-001;-5.925454641181512E+000
-9.462097287178040E-001;-5.949299199789479E+000
-9.492756724357605E-001;-5.957693311485784E+000
-9.523448348045349E-001;-5.967095580635984E+000
-9.554255604743958E-001;-5.982188366050906E+000
-9.584555625915527E-001;-5.995687210848899E+000
-9.615702033042908E-001;-6.015069987899654E+000
-9.646542072296143E-001;-6.046024500918861E+000
-9.677446484565735E-001;-6.092449093037871E+000
-9.707766771316528E-001;-6.102735369446236E+000
-9.738432168960571E-001;-6.136804246727493E+000
-9.770001173019409E-001;-6.195974859745071E+000
-9.799887537956238E-001;-6.220231465190579E+000
-9.831882715225220E-001;-6.263869742609398E+000
-9.862330555915833E-001;-6.291611828934080E+000
-9.893233776092529E-001;-6.326980878886104E+000
-9.923850893974304E-001;-6.369456204946964E+000
-9.954425096511841E-001;-6.411780883060761E+000
-9.985491633415222E-001;-6.469815760140095E+000
-1.000078201293945E+000;-6.499336816702680E+000
-1.000268936157227E+000;-6.504639029502869E+000
