"Ewe/V";"I/mA"
-2.199236452579498E-001;0.000000000000000E+000
3.999655321240425E-002;0.000000000000000E+000
9.961565583944321E-002;8.014226853847504E-001
1.013775765895844E-001;2.093832364453716E-001
1.043798550963402E-001;8.538578780590966E-002
1.075415313243866E-001;5.939810351909879E-002
1.106088533997536E-001;4.844113404993455E-002
1.136249378323555E-001;4.294532323256373E-002
1.167975738644600E-001;4.002250124105888E-002
1.198087409138680E-001;3.856236532787635E-002
1.228738278150558E-001;3.784048283437857E-002
1.260451674461365E-001;3.768433738277210E-002
1.290372461080551E-001;3.786732005116955E-002
1.321928203105927E-001;3.823192020109020E-002
1.352037191390991E-001;3.882906884221882E-002
1.383229941129684E-001;3.939110187626549E-002
1.414257287979126E-001;4.019765518571713E-002
1.443548351526260E-001;4.112678508398615E-002
1.475186198949814E-001;4.194799673452476E-002
1.506718099117279E-001;4.291180219873425E-002
1.536105126142502E-001;4.391983013557343E-002
1.568170934915543E-001;4.493886262377164E-002
1.598717123270035E-001;4.602110741077679E-002
1.629528701305389E-001;4.693920636234683E-002
1.661325097084045E-001;4.796006952113235E-002
1.690609902143478E-001;4.901415507946205E-002
1.722155362367630E-001;4.995153108646531E-002
1.753016561269760E-001;5.089417376360372E-002
1.782651394605637E-001;5.186443295168586E-002
1.814183294773102E-001;5.289925568004111E-002
1.845466047525406E-001;5.401969013781338E-002
1.875773668289185E-001;5.515021934168785E-002
1.906478852033615E-001;5.628894926126243E-002
1.936663836240768E-001;5.743549338617582E-002
1.968525052070618E-001;5.840159072348072E-002
1.999018192291260E-001;5.958678747553103E-002
2.029089331626892E-001;6.060747590430415E-002
2.060948014259338E-001;6.167669712594703E-002
2.091186642646790E-001;6.269176987387720E-002
2.121937721967697E-001;6.383102114649009E-002
2.153635770082474E-001;6.486784758439190E-002
2.183206826448441E-001;6.595792934784406E-002
2.214727848768234E-001;6.706939616879341E-002
2.245217561721802E-001;6.815723554219022E-002
2.275682687759399E-001;6.926747307590619E-002
2.307288795709610E-001;7.027198201011053E-002
2.337696850299835E-001;7.136154635993286E-002
2.368317693471909E-001;7.253927777175986E-002
2.399796098470688E-001;7.418198934308062E-002
2.430154383182526E-001;7.531170853785429E-002
2.461333870887756E-001;7.636996072796665E-002
2.491837590932846E-001;7.740425811183993E-002
2.522309720516205E-001;7.863310510589061E-002
2.554027438163757E-001;7.971219135917351E-002
2.583868205547333E-001;8.077744365276282E-002
2.615092694759369E-001;8.189919582249790E-002
2.645955085754395E-001;8.344953752543383E-002
2.676248550415039E-001;8.489641446444784E-002
2.707801759243011E-001;8.622347649080780E-002
2.738699018955231E-001;8.779380268133652E-002
2.769052982330322E-001;8.913257494361138E-002
2.800807356834412E-001;9.038669898966512E-002
2.830812931060791E-001;9.105557210783624E-002
2.861486673355103E-001;9.239752870251761E-002
2.892445921897888E-001;9.387184544739879E-002
2.922822535037994E-001;9.552992007636385E-002
2.954011857509613E-001;9.689931276623542E-002
2.984190583229065E-001;9.850656375683220E-002
3.014895617961884E-001;1.001639631529374E-001
3.046447634696960E-001;1.016591289633950E-001
3.076655864715576E-001;1.032369997293345E-001
3.107986152172089E-001;1.049838080722448E-001
3.138587772846222E-001;1.068784120584205E-001
3.169396519660950E-001;1.089093001463797E-001
3.201012909412384E-001;1.104794985068662E-001
3.231188058853149E-001;1.122846675816571E-001
3.261475861072540E-001;1.140468994344042E-001
3.293457031250000E-001;1.158174714098621E-001
3.323452174663544E-001;1.176864039274506E-001
