"Ewe/V";"I/mA"
6.271827220916748E-001;0.000000000000000E+000
5.479131340980530E-001;0.000000000000000E+000
6.995535492897034E-001;2.376296806335449E+001
6.976667642593384E-001;4.779480829925780E+001
6.945585012435913E-001;4.840682214654598E+001
6.914767622947693E-001;4.366944432916671E+001
6.884700059890747E-001;3.936846862790890E+001
6.852990388870239E-001;3.534230954864836E+001
6.822739243507385E-001;3.158681179817302E+001
6.792302131652832E-001;2.816343664532420E+001
6.761310696601868E-001;2.500119951064069E+001
6.730511784553528E-001;2.216641052136241E+001
6.698799729347229E-001;1.961396587639931E+001
6.668831706047058E-001;1.721829765493439E+001
6.637600064277649E-001;1.508337323275846E+001
6.606161594390869E-001;1.317991096997895E+001
6.576343774795532E-001;1.151415384302570E+001
6.545330286026001E-001;1.002983365744369E+001
6.515548825263977E-001;8.712063082240661E+000
6.483781337738037E-001;7.540807571266825E+000
6.452441215515137E-001;6.516336553375687E+000
6.423146128654480E-001;5.615057586725165E+000
6.391725540161133E-001;4.826907953003996E+000
6.360923051834106E-001;4.128594113466690E+000
6.329523921012878E-001;3.533999267959757E+000
6.299707889556885E-001;3.016277923422791E+000
6.268252730369568E-001;2.560145696996635E+000
6.236701607704163E-001;2.181149951127596E+000
6.206376552581787E-001;1.853542224894651E+000
6.175610423088074E-001;1.572637354844638E+000
6.145042777061462E-001;1.332451809026296E+000
6.114133000373840E-001;1.127580431117435E+000
6.083245277404785E-001;9.592178369469799E-001
6.052674055099487E-001;8.148093727411290E-001
6.021758317947388E-001;6.861721847973583E-001
5.991276502609253E-001;5.853812601709878E-001
5.959855318069458E-001;4.989964474215105E-001
5.929126143455505E-001;4.177991826080714E-001
5.898805260658264E-001;3.582722502363103E-001
5.867922902107239E-001;3.061537096413960E-001
5.837147235870361E-001;2.619639020373616E-001
5.806723833084106E-001;2.193853515624755E-001
5.775272846221924E-001;1.878196394896814E-001
5.744644403457642E-001;1.612610652683587E-001
5.714238882064819E-001;1.391695619572653E-001
5.682731866836548E-001;1.191822646023617E-001
5.652050971984863E-001;1.020606364905221E-001
5.621401667594910E-001;8.737687176454145E-002
5.591229796409607E-001;7.422701838022172E-002
5.559764504432678E-001;6.299490512143457E-002
5.528659224510193E-001;5.307470360730970E-002
5.498169064521790E-001;4.402419197749141E-002
