Potential (V vs. RHE),Current density (mA/cm²)
1.1255,-106.1586
1.1268,0.0000
1.1270,-36.0611
1.1302,-16.2207
1.1331,-10.4699
1.1363,-7.1711
1.1394,-4.8399
1.1424,-3.0250
1.1455,-1.4642
1.1485,-0.0428
1.1516,1.1638
1.1547,2.2579
1.1563,0.0000
1.1578,3.2071
1.1610,4.1691
1.1640,4.9994
1.1670,5.7733
1.1702,6.4776
1.1732,7.2387
1.1764,7.9696
1.1793,8.6952
1.1825,9.2500
1.1856,9.9118
1.1885,10.6105
1.1917,11.2222
1.1948,11.8047
1.1978,12.3526
1.2010,12.9039
1.2040,13.5553
1.2071,14.1866
1.2102,14.7700
1.2133,15.4525
1.2163,15.9660
1.2194,16.5379
1.2225,17.1403
1.2255,17.7505
1.2286,18.3738
1.2317,18.9967
1.2347,19.6626
1.2380,20.3227
1.2410,20.9990
1.2441,21.7087
1.2472,22.4029
1.2502,23.0698
1.2534,23.7929
1.2564,24.5251
1.2595,25.2697
1.2625,25.9812
1.2656,26.8010
1.2688,27.6030
1.2717,28.4592
1.2750,29.4142
1.2780,30.1822
1.2810,31.0811
1.2841,31.9945
1.2871,32.9517
1.2904,33.8802
1.2933,34.8800
1.2964,36.0361
1.2996,37.0720
1.3025,38.1651
1.3057,39.3447
1.3088,40.5187
1.3118,41.8286
1.3148,43.1401
1.3179,44.5904
1.3211,46.0168
1.3242,47.5613
1.3271,49.2348
1.3303,50.9386
1.3334,52.8050
1.3365,55.0719
1.3395,57.7602
1.3426,62.2627
1.3457,72.5086
1.3488,98.2623
1.3519,180.6451
1.3549,429.4948
1.3580,904.9272
1.3611,1586.6370
1.3642,2315.2756
1.3672,2931.9682
1.3703,3474.4569
1.3734,3975.8788
1.3765,4477.2470
1.3795,4995.9720
1.3827,5529.1075
1.3857,6060.2651
1.3888,6587.7710
1.3919,7110.9206
1.3949,7630.4258
1.3980,8146.0835
1.4011,8657.7942
1.4042,9162.3339
1.4073,9658.5230
1.4103,10155.1566
1.4135,10636.1610
1.4165,11135.9461
1.4196,11614.5362
1.4227,12087.5636
1.4257,12549.1779
1.4289,13004.9045
1.4319,13464.1468
1.4350,13918.4702
1.4380,14367.3964
1.4411,14816.7901
1.4443,15257.7316
1.4473,15698.3808
1.4504,16131.8338
1.4534,16562.8563
1.4565,16977.6422
1.4597,17409.5557
1.4627,17831.3162
1.4658,18252.2826
1.4688,18641.4483
1.4719,19036.3353
1.4751,19417.3703
1.4780,19774.3818
1.4812,20123.6901
1.4842,20441.5657
1.4874,20746.8677
1.4905,21023.9642
1.4934,21286.3734
1.4966,21517.1597
1.4996,21722.3022
1.5027,21912.9618
1.5058,22092.7893
1.5088,22242.6611
1.5121,22380.4035
1.5151,22553.0928
1.5182,22718.0062
1.5213,22726.1026
1.5243,22694.8178
1.5274,22615.8585
1.5305,22499.2812
1.5335,22369.8712
1.5367,22199.1220
1.5397,22007.2650
1.5428,21780.1747
1.5459,21503.9794
1.5489,21184.5452
1.5521,20836.4902
1.5551,20454.0732
1.5582,20050.0780
1.5613,19635.3672
1.5643,19166.4944
1.5675,18683.5227
1.5706,18129.9370
1.5736,17477.8672
1.5766,16970.4792
1.5797,16488.7160
1.5829,16052.1216
1.5859,15618.5325
1.5890,15208.6480
1.5920,14842.5566
1.5951,14526.1883
1.5982,14337.8738
1.6012,14224.7192
1.6044,14339.5565
1.6075,14302.0988
1.6106,14314.7672
1.6137,14380.6838
1.6167,14516.6903
1.6198,14693.6479
1.6229,14938.7687
1.6259,15248.3905
1.6290,15602.6437
1.6321,15997.6181
1.6352,16452.9909
1.6383,16977.3815
1.6413,17498.7347
1.6444,18049.1916
1.6475,18615.6972
1.6506,19165.9543
1.6537,19769.2697
1.6567,20414.6905
1.6599,21040.1781
1.6629,21618.2381
1.6660,22273.1242
1.6691,23064.2697
1.6721,23672.3007
1.6753,24242.5764
1.6783,24824.0301
1.6815,25419.2425
1.6845,25933.4095
1.6874,26487.0492
1.6907,27183.0707
1.6937,27630.1993
1.6968,28095.0757
1.6999,28565.2150
1.7030,29010.8389
1.7061,29441.9818
1.7091,29866.3164
1.7122,30276.5151
1.7152,30744.0985
1.7184,31129.1900
1.7215,31483.7926
1.7245,31878.2795
1.7276,32309.7053
1.7307,33145.6999
1.7338,33465.4554
1.7369,35320.8703
1.7399,35421.5971
1.7430,35519.1454
1.7461,35691.9122
1.7491,35888.1516
1.7522,36016.6663
1.7553,36129.2062
1.7585,36462.4207
1.7615,36724.6890
1.7645,36891.6290
1.7676,37117.6877
1.7707,37435.7766
1.7738,37579.8216
1.7768,37662.5744
1.7798,37921.6832
1.7830,38275.6806
1.7861,38454.3880
1.7893,38461.9992
1.7923,38570.7648
1.7953,38733.1393
1.7984,39354.4746
1.8015,39862.2867
1.8047,40226.2293
1.8077,40285.8795
1.8107,40319.8562
1.8139,40432.0996
1.8168,41266.3720
1.8200,41844.4817
1.8230,41815.2512
1.8250,41874.8917
1.8252,41868.5902
