Potential (V vs. RHE),Current density (mA/cm²)
0.9473,0.0000
0.9721,0.0000
0.9918,0.0000
1.0083,0.0000
1.0228,0.0000
1.0354,0.0000
1.0467,0.0000
1.0574,0.0000
1.0665,0.0000
1.0755,0.0000
1.0831,0.0000
1.0909,0.0000
1.0975,0.0000
1.1038,0.0000
1.1101,0.0000
1.1156,0.0000
1.1212,0.0000
1.1254,-831.2731
1.1260,0.0000
1.1272,-291.3444
1.1305,-193.4076
1.1307,0.0000
1.1334,-157.0136
1.1352,0.0000
1.1366,-134.1641
1.1390,0.0000
1.1396,-115.7670
1.1428,-100.5366
1.1434,0.0000
1.1457,-87.2812
1.1472,0.0000
1.1489,-75.6097
1.1503,0.0000
1.1520,-65.3121
1.1542,0.0000
1.1550,-55.8972
1.1572,0.0000
1.1582,-47.4570
1.1607,0.0000
1.1612,-39.6633
1.1637,0.0000
1.1643,-32.4383
1.1661,0.0000
1.1674,-25.8061
1.1690,0.0000
1.1705,-19.7767
1.1715,0.0000
1.1736,-14.1208
1.1743,0.0000
1.1766,0.0000
1.1767,-8.7145
1.1785,0.0000
1.1797,-3.5852
1.1811,0.0000
1.1828,1.0586
1.1828,0.0000
1.1854,0.0000
1.1857,6.0940
1.1872,0.0000
1.1889,0.0000
1.1889,9.8573
1.1910,0.0000
1.1920,13.8716
1.1925,0.0000
1.1945,0.0000
1.1951,17.6726
1.1960,0.0000
1.1973,0.0000
1.1982,21.2377
1.1992,0.0000
1.2001,0.0000
1.2012,24.5699
1.2021,0.0000
1.2031,0.0000
1.2043,28.0509
1.2043,0.0000
1.2061,0.0000
1.2067,0.0000
1.2074,31.2720
1.2104,34.4708
1.2136,37.6048
1.2166,40.4572
1.2198,43.3304
1.2228,46.0820
1.2259,48.8700
1.2289,51.6138
1.2319,54.3084
1.2351,56.9824
1.2382,59.5872
1.2413,62.3500
1.2445,64.8688
1.2474,67.5230
1.2506,70.0317
1.2536,72.7157
1.2567,75.3897
1.2598,78.1138
1.2628,80.5266
1.2659,83.4168
1.2690,86.1700
1.2720,88.9197
1.2753,91.7603
1.2783,94.8381
1.2814,97.9605
1.2844,100.8895
1.2874,104.0841
1.2906,107.2249
1.2936,110.5916
1.2968,113.9277
1.2998,117.3592
1.3029,121.0376
1.3060,124.6847
1.3090,128.6609
1.3122,132.6032
1.3151,136.5694
1.3183,140.6175
1.3214,145.3455
1.3244,149.6759
1.3276,154.4551
1.3306,158.9345
1.3337,163.7851
1.3368,168.9423
1.3398,173.9130
1.3430,179.1759
1.3460,184.9094
1.3490,191.6393
1.3521,197.6965
1.3552,203.3423
1.3584,209.3677
1.3614,215.9877
1.3645,222.2914
1.3677,229.0952
1.3706,236.0890
1.3738,242.9969
1.3768,250.4693
1.3799,258.1035
1.3829,265.9727
1.3860,274.3285
1.3891,282.8144
1.3922,291.7787
1.3953,301.2407
1.3984,311.2397
1.4014,321.4830
1.4046,332.9807
1.4076,345.1083
1.4107,358.6024
1.4137,375.5624
1.4168,393.2233
1.4200,411.2112
1.4230,431.9757
1.4261,455.2631
1.4292,481.2436
1.4322,509.8237
1.4354,541.5979
1.4384,581.9826
1.4415,619.7605
1.4446,661.3501
1.4476,705.2156
1.4508,755.0183
1.4538,803.7282
1.4569,851.1651
1.4600,898.0987
1.4630,952.5930
1.4661,998.5427
1.4692,1043.8378
1.4724,1091.0253
1.4754,1140.4877
1.4784,1184.8848
1.4816,1228.9093
1.4845,1272.9121
1.4878,1322.8714
1.4907,1365.7429
1.4939,1408.9245
1.4969,1452.9769
1.5000,1504.1441
1.5031,1548.7747
1.5062,1594.4454
1.5092,1645.1450
1.5124,1697.8227
1.5154,1748.9761
1.5185,1803.4651
1.5215,1869.0669
1.5246,1930.8217
1.5278,2002.8021
1.5308,2083.7319
1.5339,2168.0971
1.5369,2273.8970
1.5401,2390.6086
1.5432,2521.6491
1.5462,2676.0732
1.5492,2858.5337
1.5524,3067.0218
1.5555,3306.8258
1.5586,3587.3131
1.5615,3900.7083
1.5647,4256.4842
1.5677,4666.0220
1.5709,5120.6712
1.5739,5636.8270
1.5769,6205.7476
1.5801,6840.1366
1.5831,7538.7609
1.5863,8307.8248
1.5894,9152.5363
1.5924,10080.5260
1.5955,11070.6378
1.5985,12160.2455
1.6016,13320.1029
1.6047,14581.4134
1.6078,16009.7287
1.6109,17406.6298
1.6139,18920.3992
1.6170,20474.1901
1.6200,22120.6882
1.6231,23917.2323
1.6250,24909.4299
1.6254,25103.9132
