Potential (V vs. RHE),Current density (mA/cm²)
0.7495,0.0000
1.0252,-227.3719
1.0269,-94.2088
1.0300,-58.2766
1.0331,-47.7191
1.0361,-40.8554
1.0392,-35.3735
1.0423,-30.8308
1.0454,-26.6739
1.0486,-23.0687
1.0515,-19.6995
1.0546,-16.5280
1.0578,-13.7241
1.0608,-10.9742
1.0633,0.0000
1.0639,-8.5327
1.0669,-6.2676
1.0700,-4.0483
1.0731,-2.0402
1.0762,-0.1594
1.0793,1.8556
1.0823,3.4858
1.0854,5.2413
1.0886,6.8258
1.0916,8.2334
1.0947,9.7030
1.0978,10.9984
1.1009,12.3024
1.1039,13.4465
1.1069,14.5923
1.1101,15.7312
1.1132,16.8216
1.1161,17.9245
1.1194,19.0306
1.1224,20.0177
1.1255,20.9611
1.1286,21.9481
1.1317,22.9071
1.1348,23.8638
1.1378,24.8460
1.1409,25.7981
1.1440,26.7118
1.1470,27.7460
1.1500,28.8060
1.1532,29.9177
1.1563,31.0931
1.1593,32.3941
1.1624,33.5536
1.1655,34.8299
1.1686,36.1144
1.1717,37.1116
1.1748,37.9486
1.1778,38.5616
1.1809,39.0249
1.1840,39.4204
1.1871,39.7718
1.1901,40.2160
1.1933,40.3569
1.1963,40.6392
1.1993,40.9968
1.2025,41.0916
1.2055,41.0774
1.2087,41.0478
1.2117,40.9943
1.2147,41.1763
1.2179,41.5314
1.2209,41.7728
1.2240,42.2012
1.2271,42.7178
1.2301,43.2176
1.2333,43.7263
1.2364,44.2861
1.2394,44.9682
1.2425,45.8051
1.2456,46.4486
1.2488,47.2828
1.2519,48.0701
1.2548,48.8215
1.2580,49.6648
1.2610,50.5474
1.2641,51.4294
1.2672,52.3184
1.2702,53.2736
1.2734,54.1950
1.2764,55.2599
1.2794,56.1956
1.2826,57.2870
1.2857,58.3510
1.2887,59.3994
1.2919,60.6130
1.2948,61.7585
1.2980,62.9252
1.3012,64.1392
1.3041,65.3545
1.3072,66.5768
1.3103,67.8358
1.3134,69.3114
1.3165,70.7788
1.3195,72.1715
1.3227,73.8022
1.3257,75.3901
1.3287,77.0881
1.3319,78.9467
1.3348,80.9868
1.3381,82.8726
1.3411,85.5508
1.3441,90.0976
1.3473,100.6950
1.3502,129.9673
1.3533,221.9643
1.3565,466.5519
1.3596,839.6981
1.3627,1290.6558
1.3658,1770.5043
1.3688,2234.6205
1.3719,2671.2729
1.3749,3083.7691
1.3780,3479.7952
1.3812,3863.7317
1.3841,4245.9803
1.3872,4628.1294
1.3904,5009.5713
1.3935,5388.3232
1.3966,5766.4766
1.3996,6141.4591
1.4027,6513.1132
1.4058,6881.4788
1.4089,7244.4084
1.4120,7606.3884
1.4150,7967.0380
1.4181,8322.6634
1.4212,8673.9517
1.4242,9025.3611
1.4273,9373.9626
1.4304,9729.2500
1.4334,10074.3025
1.4367,10417.2858
1.4397,10757.5179
1.4427,11103.5872
1.4459,11438.4335
1.4488,11770.8953
1.4519,12102.8551
1.4550,12435.0258
1.4581,12760.1781
1.4612,13082.4028
1.4643,13404.9237
1.4674,13730.2580
1.4704,14056.7486
1.4735,14376.3094
1.4766,14696.3229
1.4797,15020.2368
1.4828,15336.8998
1.4858,15646.4534
1.4889,15959.4233
1.4920,16267.9038
1.4951,16572.5887
1.4982,16872.7378
1.5013,17170.4097
1.5043,17475.7742
1.5073,17779.9932
1.5105,18102.6247
1.5135,18392.8147
1.5167,18661.3918
1.5198,18930.7392
1.5228,19186.8483
1.5259,19431.6809
1.5289,19662.7688
1.5321,19900.0086
1.5352,20125.0680
1.5382,20334.7949
1.5414,20527.4726
1.5443,20719.5632
1.5474,20889.7610
1.5506,21119.9495
1.5535,21319.8658
1.5568,21443.5788
1.5598,21543.3957
1.5628,21620.0182
1.5660,21665.9733
1.5691,21684.6542
1.5721,21669.0722
1.5752,21625.3158
1.5782,21560.6217
1.5814,21448.6543
1.5845,21295.3651
1.5875,21109.7788
1.5906,20876.9298
1.5937,20589.0929
1.5968,20248.7913
1.5999,19848.5774
1.6029,19393.1485
1.6060,18850.3686
1.6090,18262.9047
1.6122,17648.6011
1.6153,16977.1234
1.6182,16282.2035
1.6214,15588.2399
1.6245,14925.4217
1.6275,14332.7421
1.6307,13845.3650
1.6337,13449.6380
1.6368,13159.6992
1.6399,12959.8955
1.6430,12836.9715
1.6461,12788.2235
1.6491,12787.2684
1.6522,12851.3829
