Potential (V vs. RHE),Current density (mA/cm²)
1.1254,-51.5235
1.1256,-29.8502
1.1270,-29.8588
1.1302,-29.7658
1.1332,-29.8389
1.1363,-29.7087
1.1395,-29.6330
1.1424,-29.6113
1.1455,-29.6777
1.1486,-29.8619
1.1516,-29.9106
1.1548,-29.9555
1.1578,-30.0871
1.1610,-30.3438
1.1641,-30.5559
1.1672,-30.8924
1.1702,-31.0685
1.1732,-31.3210
1.1763,-31.4642
1.1794,-31.7757
1.1824,-32.1298
1.1856,-32.4182
1.1886,-32.7152
1.1918,-33.0546
1.1948,-33.3219
1.1979,-33.7067
1.2009,-34.0989
1.2040,-34.0976
1.2072,-34.4121
1.2102,-34.7000
1.2133,-35.1072
1.2164,-35.6578
1.2195,-36.2642
1.2226,-36.8661
1.2255,-37.5654
1.2287,-38.3234
1.2318,-39.1331
1.2348,-40.1070
1.2380,-41.1699
1.2409,-42.2750
1.2442,-43.4275
1.2472,-44.7512
1.2502,-46.2784
1.2535,-47.9829
1.2565,-49.9375
1.2596,-52.1791
1.2626,-54.6777
1.2656,-57.5800
1.2688,-61.0157
1.2718,-65.1496
1.2749,-70.1590
1.2780,-76.2346
1.2811,-84.1013
1.2843,-94.3594
1.2872,-108.3926
1.2904,-127.7799
1.2934,-157.8842
1.2965,-220.5629
1.2996,-341.1747
1.3026,-613.8701
1.3057,-751.1217
1.3087,-703.1909
1.3118,-558.0712
1.3150,-417.4780
1.3179,-282.3982
1.3212,-175.5262
1.3232,0.0000
1.3243,-82.1463
1.3272,20.2009
1.3304,107.2574
1.3334,208.4570
1.3365,321.2685
1.3396,436.7865
1.3426,561.2071
1.3458,706.3065
1.3488,865.0436
1.3519,1036.4634
1.3550,1221.6058
1.3580,1426.4511
1.3611,1644.4137
1.3642,1877.4286
1.3673,2126.1537
1.3704,2391.6859
1.3735,2663.7457
1.3765,2951.9351
1.3796,3256.6514
1.3828,3570.3045
1.3857,3895.2752
1.3887,4231.0490
1.3921,4606.3700
1.3953,4993.3277
1.3984,5361.0663
1.4015,5749.8371
1.4045,6142.1927
1.4076,6531.2882
1.4107,6937.4950
1.4110,0.0000
1.4138,7354.0980
1.4168,7781.3328
1.4199,8213.9409
1.4231,8636.3045
1.4261,9064.9226
1.4291,9488.9022
1.4323,9922.9592
1.4353,10378.6315
1.4385,10832.9795
1.4415,11296.1109
1.4446,11751.6853
1.4477,12212.3563
1.4507,12662.4206
1.4539,13124.2715
1.4568,13589.0053
1.4600,14037.9857
1.4631,14464.2488
1.4662,14917.4418
1.4693,15375.2014
1.4722,15816.5544
1.4755,16248.3920
1.4784,16670.5099
1.4815,17085.2104
1.4846,17486.2277
1.4876,17871.0188
1.4908,18242.2332
1.4939,18585.6442
1.4970,18927.3954
1.5000,19227.3859
1.5030,19512.6591
1.5062,19770.4902
1.5093,19995.6626
1.5124,20206.6634
1.5155,20394.2086
1.5185,20559.9010
1.5216,20691.1921
1.5247,20796.4492
1.5277,20875.7005
1.5309,20910.7631
1.5339,20911.7148
1.5369,20865.8386
1.5401,20781.8591
1.5432,20663.3562
1.5463,20526.5408
1.5493,20311.6269
1.5524,20029.1439
1.5555,19771.2319
1.5585,19471.9577
1.5617,19144.1407
1.5647,18791.5874
1.5678,18412.8794
1.5709,18027.7902
1.5739,17635.9182
1.5770,17245.2136
1.5801,16873.3921
1.5832,16564.0818
1.5863,16301.7870
1.5894,16043.6636
1.5924,15876.7714
1.5955,15780.3553
1.5986,15689.7100
1.6017,15774.5753
1.6047,15954.2930
1.6078,16246.5892
1.6108,16747.1363
1.6140,17513.9928
1.6171,18732.9800
1.6201,20968.9200
1.6233,29210.2754
1.6249,49401.5399
