Potential (V vs. RHE),Current density (mA/cm²)
-0.0750,-3017.3679
-0.0743,-3013.9866
-0.0727,-3005.9837
-0.0695,-2991.5445
-0.0664,-2980.1435
-0.0634,-2969.6092
-0.0604,-2958.5284
-0.0573,-2946.7646
-0.0541,-2936.9275
-0.0510,-2924.9531
-0.0480,-2913.9548
-0.0448,-2907.6708
-0.0418,-2902.4367
-0.0387,-2898.6306
-0.0356,-2896.1518
-0.0326,-2896.6930
-0.0295,-2898.4424
-0.0264,-2900.8890
-0.0235,-2904.8059
-0.0203,-2911.1110
-0.0172,-2918.3908
-0.0141,-2926.9710
-0.0109,-2935.4379
-0.0079,-2945.4428
-0.0048,-2956.9867
-0.0017,-2969.2232
0.0013,-2979.9704
0.0044,-2991.2578
0.0074,-3002.6362
0.0106,-3013.4994
0.0136,-3022.4587
0.0166,-3029.6043
0.0198,-3037.6784
0.0228,-3044.2030
0.0260,-3049.9746
0.0290,-3055.0123
0.0322,-3058.7609
0.0352,-3060.7254
0.0381,-3061.5048
0.0414,-3061.6547
0.0444,-3059.8496
0.0474,-3057.4389
0.0506,-3053.8953
0.0536,-3051.1684
0.0568,-3044.4019
0.0598,-3038.2308
0.0628,-3031.6338
0.0660,-3024.3072
0.0690,-3017.0331
0.0723,-3008.9716
0.0752,-3000.5004
0.0783,-2992.4233
0.0814,-2983.8178
0.0845,-2975.7536
0.0876,-2967.3186
0.0906,-2959.5618
0.0937,-2952.7482
0.0968,-2946.4421
0.0998,-2939.4178
0.1030,-2933.0418
0.1059,-2926.5062
0.1091,-2920.9849
0.1122,-2917.1592
0.1153,-2914.5773
0.1184,-2912.3619
0.1214,-2911.0108
0.1245,-2912.1437
0.1276,-2915.3665
0.1306,-2925.0612
0.1337,-2933.0627
0.1368,-2943.1618
0.1399,-2956.1526
0.1430,-2969.6697
0.1461,-2986.9562
0.1491,-3007.6520
0.1522,-3032.7571
0.1553,-3059.6311
0.1584,-3101.3172
0.1614,-3147.9501
0.1645,-3194.3143
0.1676,-3247.7281
0.1707,-3306.4611
0.1738,-3371.5851
0.1768,-3461.6959
0.1799,-3551.1455
0.1832,-3650.4691
0.1860,-3782.2479
0.1892,-3923.4332
0.1922,-4105.8234
0.1954,-4352.7318
0.1984,-4661.6164
0.2015,-5144.2798
0.2046,-6248.3903
0.2076,-10257.1553
0.2107,-21521.0083
0.2138,-63795.1792
0.2168,-88637.8664
0.2200,-72831.7017
0.2231,-55191.3178
0.2248,-56064.1162
1.3224,0.0000
1.4157,0.0000
