Potential (V vs. RHE),Current density (mA/cm²)
1.1253,-101.3653
1.1257,-42.9740
1.1273,-42.7636
1.1305,-42.2385
1.1336,-41.8083
1.1366,-41.3220
1.1398,-41.0406
1.1428,-40.5704
1.1458,-40.2525
1.1489,-40.1165
1.1519,-39.4991
1.1551,-39.3705
1.1581,-38.8824
1.1613,-38.7651
1.1643,-38.2268
1.1674,-37.8331
1.1706,-37.4043
1.1736,-37.2134
1.1767,-36.9606
1.1798,-36.6237
1.1828,-36.1802
1.1859,-36.0899
1.1889,-35.9217
1.1920,-35.6180
1.1952,-35.4445
1.1982,-35.0581
1.2013,-34.8862
1.2043,-34.4878
1.2075,-34.2651
1.2106,-33.9653
1.2136,-33.8468
1.2167,-33.7127
1.2198,-33.3053
1.2229,-33.1783
1.2259,-32.9968
1.2289,-32.8029
1.2320,-32.5538
1.2351,-32.4942
1.2383,-32.1743
1.2413,-32.2681
1.2444,-31.8180
1.2475,-31.6426
1.2506,-31.3157
1.2537,-31.3342
1.2568,-30.9881
1.2599,-30.7525
1.2630,-30.5143
1.2659,-30.2634
1.2691,-30.0712
1.2721,-29.6533
1.2752,-29.2617
1.2783,-28.7867
1.2814,-28.3793
1.2845,-27.6790
1.2875,-26.9862
1.2906,-26.2801
1.2937,-25.6597
1.2968,-24.8216
1.2999,-23.9500
1.3029,-23.2531
1.3060,-22.4026
1.3092,-21.3200
1.3121,-20.4652
1.3153,-19.4675
1.3182,-18.5107
1.3214,-17.4966
1.3245,-16.9647
1.3276,-13.6202
1.3307,-12.2545
1.3337,-10.5667
1.3369,-8.6944
1.3400,-6.7400
1.3429,-4.4355
1.3462,-1.8811
1.3491,0.9609
1.3522,4.4110
1.3553,8.6194
1.3584,13.1639
1.3615,18.3459
1.3645,24.0856
1.3676,30.4249
1.3707,37.5637
1.3738,45.1261
1.3769,53.4850
1.3799,62.5155
1.3818,0.0000
1.3830,71.8238
1.3860,82.1789
1.3892,93.1687
1.3923,104.6125
1.3954,117.0632
1.3984,129.5904
1.4016,143.3402
1.4046,156.4529
1.4076,174.6191
1.4107,190.5534
1.4138,206.8325
1.4169,224.0109
1.4200,241.6023
1.4231,259.9647
1.4261,279.6394
1.4293,300.0349
1.4323,320.5894
1.4353,344.5999
1.4385,369.5024
1.4415,394.0747
1.4446,419.6912
1.4476,445.9724
1.4508,473.8635
1.4539,501.5163
1.4570,532.8792
1.4600,564.9273
1.4631,596.4221
1.4662,628.8552
1.4693,662.3465
1.4723,696.7043
1.4754,736.3929
1.4785,774.2671
1.4816,812.1872
1.4847,851.3074
1.4877,893.9249
1.4909,938.4166
1.4938,982.6745
1.4969,1027.3589
1.5000,1077.5595
1.5031,1128.6104
1.5062,1179.8688
1.5093,1233.9212
1.5123,1295.1814
1.5155,1354.3175
1.5184,1418.7774
1.5216,1491.5069
1.5246,1563.9359
1.5278,1650.2960
1.5309,1738.2468
1.5339,1844.2499
1.5370,1950.3398
1.5400,2074.6311
1.5431,2220.3226
1.5463,2383.4501
1.5492,2568.2740
1.5525,2780.6942
1.5540,0.0000
1.5555,3020.6718
1.5586,3295.5658
1.5616,3541.6897
1.5647,3877.1914
1.5679,4255.8895
1.5708,4687.0497
1.5740,5163.5097
1.5771,5684.3703
1.5801,6261.9030
1.5833,6898.2922
1.5863,7596.5910
1.5894,8365.4703
1.5924,9190.4032
1.5954,10080.7931
1.5986,11028.2151
1.6016,12079.9366
1.6048,13132.6465
1.6078,14252.6817
1.6109,15496.7956
1.6140,16787.2987
1.6171,18185.7057
1.6202,19504.1643
1.6232,20075.6375
1.6250,14030.7861
