Potential (V vs. RHE),Current density (mA/cm²)
1.0882,0.0000
1.1145,0.0000
1.1254,-703.5944
1.1272,-267.7249
1.1304,-144.1082
1.1318,0.0000
1.1335,-109.8905
1.1366,-89.3758
1.1396,-74.8581
1.1428,-63.6809
1.1453,0.0000
1.1458,-54.5801
1.1489,-46.8772
1.1519,-40.5783
1.1550,-35.0681
1.1565,0.0000
1.1582,-30.3669
1.1612,-26.1672
1.1643,-22.4205
1.1654,0.0000
1.1674,-19.1928
1.1705,-16.1780
1.1736,-13.5038
1.1737,0.0000
1.1766,-11.0250
1.1797,-8.8322
1.1806,0.0000
1.1828,-6.7770
1.1858,-4.8663
1.1870,0.0000
1.1889,-2.9600
1.1920,-1.3060
1.1928,0.0000
1.1951,0.2879
1.1978,0.0000
1.1982,1.9364
1.2012,3.7007
1.2028,0.0000
1.2044,4.8604
1.2068,0.0000
1.2074,6.1399
1.2105,7.4055
1.2109,0.0000
1.2136,8.6055
1.2147,0.0000
1.2166,9.8100
1.2179,0.0000
1.2198,10.8949
1.2211,0.0000
1.2228,11.9088
1.2239,0.0000
1.2258,13.0568
1.2268,0.0000
1.2290,14.0921
1.2297,0.0000
1.2318,0.0000
1.2320,15.1250
1.2345,0.0000
1.2351,16.1259
1.2362,0.0000
1.2381,17.2165
1.2386,0.0000
1.2404,0.0000
1.2414,18.2601
1.2422,0.0000
1.2442,0.0000
1.2444,19.2682
1.2455,0.0000
1.2475,0.0000
1.2475,20.1913
1.2488,0.0000
1.2499,0.0000
1.2506,21.1296
1.2516,0.0000
1.2526,0.0000
1.2536,22.1236
1.2542,0.0000
1.2554,0.0000
1.2562,0.0000
1.2567,23.0907
1.2576,0.0000
1.2584,0.0000
1.2597,0.0000
1.2598,24.0234
1.2605,0.0000
1.2613,0.0000
1.2624,0.0000
1.2629,24.9193
1.2629,0.0000
1.2640,0.0000
1.2648,0.0000
1.2653,0.0000
1.2660,25.9749
1.2663,0.0000
1.2666,0.0000
1.2679,0.0000
1.2681,0.0000
1.2682,0.0000
1.2690,27.0473
1.2721,28.0077
1.2752,28.9881
1.2783,29.9790
1.2813,31.0234
1.2844,32.0420
1.2875,33.1316
1.2906,34.1261
1.2937,35.2498
1.2968,36.3590
1.2998,37.5272
1.3029,38.6528
1.3060,39.8087
1.3090,41.1958
1.3121,42.3692
1.3152,43.6709
1.3184,45.0522
1.3214,46.6010
1.3244,48.0448
1.3276,49.7068
1.3306,51.3811
1.3338,53.2719
1.3368,55.4438
1.3399,57.9151
1.3429,61.8857
1.3460,70.5530
1.3491,93.0745
1.3522,167.1962
1.3552,417.0364
1.3584,926.6344
1.3615,1659.1205
1.3646,2460.2326
1.3675,3134.7872
1.3707,3730.8022
1.3737,4281.5265
1.3768,4839.1470
1.3798,5385.7539
1.3829,5936.2484
1.3861,6485.5131
1.3891,7039.1524
1.3921,7571.1145
1.3953,8103.2282
1.3983,8626.5799
1.4014,9142.1941
1.4045,9662.6070
1.4075,10174.7885
1.4107,10675.4030
1.4136,11187.9169
1.4169,11674.1904
1.4199,12151.8363
1.4230,12636.4633
1.4261,13107.7990
1.4291,13582.9166
1.4322,14036.6743
1.4353,14502.3283
1.4383,14947.5397
1.4414,15404.0943
1.4445,15844.4607
1.4476,16303.4499
1.4507,16739.9672
1.4538,17179.0518
1.4569,17597.1457
1.4598,18028.6692
1.4630,18456.5867
1.4661,18876.7525
1.4692,19297.6882
1.4722,19688.6357
1.4753,20069.8113
1.4784,20452.4811
1.4815,20817.2602
1.4845,21141.4002
1.4877,21469.0471
1.4908,21775.0484
1.4939,22048.6564
1.4968,22300.1582
1.5000,22525.5704
1.5030,22731.4416
1.5061,22911.1008
1.5092,23055.1549
1.5123,23194.0988
1.5155,23306.2532
1.5185,23355.5199
1.5215,23359.1296
1.5246,23390.8604
1.5278,23374.6228
1.5308,23280.9427
1.5338,23138.6062
1.5370,22964.3833
1.5401,22744.4553
1.5431,22482.8108
1.5462,22187.3335
1.5493,21907.7112
1.5524,21543.3942
1.5554,21143.1839
1.5586,20717.5128
1.5616,20150.1130
1.5647,19610.0967
1.5677,19156.3326
1.5708,18575.0393
1.5739,17976.8964
1.5770,17628.7302
1.5801,17160.0072
1.5830,16580.2703
1.5862,16016.6861
1.5893,15483.8815
1.5924,15014.3067
1.5954,14572.0489
1.5986,14177.2145
1.6016,13883.3609
1.6047,13662.1082
1.6077,13527.1567
1.6109,13485.3948
1.6140,13455.0628
1.6170,13468.4368
1.6202,13532.6698
1.6231,13697.2491
1.6252,13841.3930
1.6254,13934.6723
