Apr. 21, 2024   16:43:04
Linear Sweep Voltammetry
File: 2 cd-900-lsv-80ug-ir.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.9
Final E (V) = 0.2
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.234
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 36.8

Results:

Channel 1:
Ep = 0.199V
ip = 4.950e-5A
Ah = 5.596e-3C

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Current 2:

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Ep = 0.001V
ip = 1.695e-8A
Ah = 2.988e-9C

Potential/V, i1/A, i2/A
-0.767, -1.004e-3, 7.006e-5
-0.766, -1.004e-3, 7.012e-5
-0.765, -1.003e-3, 7.009e-5
-0.764, -1.003e-3, 7.002e-5
-0.763, -1.004e-3, 7.001e-5
-0.762, -1.002e-3, 7.009e-5
-0.761, -9.981e-4, 6.997e-5
-0.760, -1.005e-3, 7.000e-5
-0.759, -1.002e-3, 7.006e-5
-0.758, -1.002e-3, 7.002e-5
-0.757, -1.002e-3, 7.002e-5
-0.756, -1.002e-3, 6.997e-5
-0.755, -1.002e-3, 7.000e-5
-0.754, -1.002e-3, 7.001e-5
-0.753, -1.002e-3, 6.995e-5
-0.752, -1.002e-3, 6.997e-5
-0.751, -1.003e-3, 6.997e-5
-0.750, -1.001e-3, 6.996e-5
-0.749, -1.000e-3, 6.991e-5
-0.748, -1.002e-3, 6.996e-5
-0.747, -9.992e-4, 6.987e-5
-0.746, -9.956e-4, 6.981e-5
-0.745, -1.004e-3, 6.985e-5
-0.744, -9.989e-4, 6.991e-5
-0.743, -9.988e-4, 6.979e-5
-0.742, -9.990e-4, 6.990e-5
-0.741, -9.989e-4, 6.989e-5
-0.740, -9.993e-4, 6.987e-5
-0.739, -9.992e-4, 6.987e-5
-0.738, -9.982e-4, 6.979e-5
-0.737, -9.969e-4, 6.983e-5
-0.736, -9.978e-4, 6.981e-5
-0.735, -9.969e-4, 6.979e-5
-0.734, -9.970e-4, 6.976e-5
-0.733, -9.968e-4, 6.974e-5
-0.732, -9.952e-4, 6.968e-5
-0.731, -9.957e-4, 6.966e-5
-0.730, -9.947e-4, 6.974e-5
-0.729, -9.950e-4, 6.966e-5
-0.728, -9.956e-4, 6.974e-5
-0.727, -9.934e-4, 6.964e-5
-0.726, -9.955e-4, 6.963e-5
-0.725, -9.932e-4, 6.967e-5
-0.724, -9.928e-4, 6.957e-5
-0.723, -9.943e-4, 6.968e-5
-0.722, -9.926e-4, 6.967e-5
-0.721, -9.936e-4, 6.955e-5
-0.720, -9.908e-4, 6.956e-5
-0.719, -9.923e-4, 6.963e-5
-0.718, -9.897e-4, 6.965e-5
-0.717, -9.910e-4, 6.962e-5
-0.716, -9.917e-4, 6.962e-5
-0.715, -9.897e-4, 6.964e-5
-0.714, -9.926e-4, 6.964e-5
-0.713, -9.904e-4, 6.968e-5
-0.712, -9.906e-4, 6.961e-5
-0.711, -9.905e-4, 6.970e-5
-0.710, -9.898e-4, 6.962e-5
-0.709, -9.899e-4, 6.963e-5
-0.708, -9.900e-4, 6.974e-5
-0.707, -9.903e-4, 6.974e-5
-0.706, -9.898e-4, 6.970e-5
-0.705, -9.883e-4, 6.960e-5
-0.704, -9.888e-4, 6.968e-5
-0.703, -9.881e-4, 6.968e-5
-0.702, -9.867e-4, 6.962e-5
-0.701, -9.887e-4, 6.966e-5
-0.700, -9.873e-4, 6.972e-5
-0.699, -9.880e-4, 6.971e-5
-0.698, -9.870e-4, 6.972e-5
-0.697, -9.861e-4, 6.970e-5
-0.696, -9.866e-4, 6.973e-5
-0.695, -9.861e-4, 6.971e-5
-0.694, -9.853e-4, 6.971e-5
-0.693, -9.851e-4, 6.965e-5
-0.692, -9.858e-4, 6.980e-5
-0.691, -9.842e-4, 6.970e-5
-0.690, -9.848e-4, 6.970e-5
-0.689, -9.838e-4, 6.969e-5
-0.688, -9.833e-4, 6.974e-5
-0.687, -9.813e-4, 6.966e-5
-0.686, -9.832e-4, 6.974e-5
-0.685, -9.820e-4, 6.980e-5
-0.684, -9.829e-4, 6.973e-5
-0.683, -9.836e-4, 6.988e-5
-0.682, -9.827e-4, 6.987e-5
-0.681, -9.823e-4, 6.984e-5
-0.680, -9.801e-4, 6.979e-5
-0.679, -9.849e-4, 6.998e-5
-0.678, -9.794e-4, 6.987e-5
-0.677, -9.814e-4, 6.986e-5
-0.676, -9.805e-4, 6.990e-5
-0.675, -9.796e-4, 6.988e-5
-0.674, -9.796e-4, 6.987e-5
-0.673, -9.797e-4, 6.984e-5
-0.672, -9.784e-4, 6.993e-5
-0.671, -9.789e-4, 6.989e-5
-0.670, -9.794e-4, 6.997e-5
-0.669, -9.781e-4, 6.993e-5
-0.668, -9.775e-4, 6.998e-5
-0.667, -9.792e-4, 6.992e-5
-0.666, -9.748e-4, 6.992e-5
-0.665, -9.753e-4, 6.980e-5
-0.664, -9.747e-4, 7.002e-5
-0.663, -9.750e-4, 6.999e-5
-0.662, -9.757e-4, 7.000e-5
-0.661, -9.753e-4, 6.999e-5
