-0.9,-1.54E-03,8.20E-05
-0.899,-1.45E-03,8.19E-05
-0.898,-1.39E-03,8.19E-05
-0.897,-1.37E-03,8.17E-05
-0.896,-1.34E-03,8.19E-05
-0.895,-1.30E-03,8.16E-05
-0.894,-1.29E-03,8.13E-05
-0.893,-1.27E-03,8.14E-05
-0.892,-1.25E-03,8.13E-05
-0.891,-1.24E-03,8.12E-05
-0.89,-1.23E-03,8.11E-05
-0.889,-1.22E-03,8.10E-05
-0.888,-1.20E-03,8.10E-05
-0.887,-1.20E-03,8.08E-05
-0.886,-1.19E-03,8.10E-05
-0.885,-1.18E-03,8.05E-05
-0.884,-1.17E-03,8.05E-05
-0.883,-1.16E-03,8.06E-05
-0.882,-1.16E-03,8.03E-05
-0.881,-1.16E-03,8.03E-05
-0.88,-1.15E-03,8.03E-05
-0.879,-1.14E-03,8.01E-05
-0.878,-1.14E-03,7.99E-05
-0.877,-1.13E-03,8.02E-05
-0.876,-1.13E-03,8.00E-05
-0.875,-1.13E-03,7.98E-05
-0.874,-1.13E-03,7.99E-05
-0.873,-1.12E-03,7.99E-05
-0.872,-1.12E-03,7.98E-05
-0.871,-1.11E-03,7.97E-05
-0.87,-1.11E-03,7.98E-05
-0.869,-1.12E-03,7.97E-05
-0.868,-1.10E-03,7.96E-05
-0.867,-1.10E-03,7.95E-05
-0.866,-1.10E-03,7.95E-05
-0.865,-1.09E-03,7.95E-05
-0.864,-1.10E-03,7.94E-05
-0.863,-1.09E-03,7.94E-05
-0.862,-1.09E-03,7.93E-05
-0.861,-1.09E-03,7.93E-05
-0.86,-1.09E-03,7.92E-05
-0.859,-1.09E-03,7.94E-05
-0.858,-1.08E-03,7.92E-05
-0.857,-1.08E-03,7.93E-05
-0.856,-1.08E-03,7.92E-05
-0.855,-1.08E-03,7.92E-05
-0.854,-1.08E-03,7.94E-05
-0.853,-1.07E-03,7.92E-05
-0.852,-1.07E-03,7.92E-05
-0.851,-1.07E-03,7.92E-05
-0.85,-1.08E-03,7.92E-05
-0.849,-1.07E-03,7.92E-05
-0.848,-1.07E-03,7.92E-05
-0.847,-1.07E-03,7.89E-05
-0.846,-1.06E-03,7.90E-05
-0.845,-1.06E-03,7.89E-05
-0.844,-1.06E-03,7.90E-05
-0.843,-1.06E-03,7.91E-05
-0.842,-1.06E-03,7.89E-05
-0.841,-1.06E-03,7.90E-05
-0.84,-1.06E-03,7.91E-05
-0.839,-1.06E-03,7.90E-05
-0.838,-1.06E-03,7.93E-05
-0.837,-1.05E-03,7.91E-05
-0.836,-1.05E-03,7.91E-05
-0.835,-1.06E-03,7.95E-05
-0.834,-1.05E-03,7.94E-05
-0.833,-1.05E-03,7.93E-05
-0.832,-1.06E-03,7.93E-05
-0.831,-1.05E-03,7.94E-05
-0.83,-1.05E-03,7.95E-05
-0.829,-1.05E-03,7.93E-05
-0.828,-1.05E-03,7.95E-05
-0.827,-1.04E-03,7.94E-05
-0.826,-1.05E-03,7.95E-05
-0.825,-1.04E-03,7.94E-05
-0.824,-1.04E-03,7.94E-05
-0.823,-1.04E-03,7.94E-05
-0.822,-1.04E-03,7.97E-05
-0.821,-1.04E-03,7.96E-05
-0.82,-1.04E-03,7.95E-05
-0.819,-1.03E-03,7.98E-05
-0.818,-1.04E-03,7.98E-05
-0.817,-1.03E-03,7.97E-05
-0.816,-1.04E-03,7.98E-05
-0.815,-1.04E-03,7.99E-05
-0.814,-1.03E-03,7.98E-05
-0.813,-1.02E-03,7.99E-05
-0.812,-1.04E-03,8.00E-05
-0.811,-1.03E-03,8.02E-05
-0.81,-1.03E-03,8.00E-05
-0.809,-1.03E-03,8.01E-05
-0.808,-1.03E-03,8.03E-05
-0.807,-1.03E-03,8.02E-05
-0.806,-1.03E-03,8.03E-05
-0.805,-1.02E-03,8.04E-05
-0.804,-1.03E-03,8.03E-05
-0.803,-1.02E-03,8.04E-05
-0.802,-1.02E-03,8.05E-05
-0.801,-1.02E-03,8.04E-05
-0.8,-1.02E-03,8.06E-05
-0.799,-1.02E-03,8.07E-05
-0.798,-1.02E-03,8.06E-05
-0.797,-1.02E-03,8.08E-05
-0.796,-1.02E-03,8.07E-05
-0.795,-1.02E-03,8.07E-05
-0.794,-1.02E-03,8.09E-05
-0.793,-1.01E-03,8.08E-05
-0.792,-1.02E-03,8.08E-05
-0.791,-1.01E-03,8.10E-05
-0.79,-1.01E-03,8.10E-05
-0.789,-1.02E-03,8.09E-05
-0.788,-1.01E-03,8.11E-05
-0.787,-1.01E-03,8.10E-05
-0.786,-1.01E-03,8.11E-05
-0.785,-1.01E-03,8.13E-05
-0.784,-1.01E-03,8.13E-05
-0.783,-1.01E-03,8.14E-05
-0.782,-1.01E-03,8.15E-05
-0.781,-1.01E-03,8.15E-05
-0.78,-9.95E-04,8.15E-05
-0.779,-1.02E-03,8.17E-05
-0.778,-1.00E-03,8.17E-05
-0.777,-1.00E-03,8.18E-05
-0.776,-1.01E-03,8.18E-05
-0.775,-1.00E-03,8.19E-05
-0.774,-1.00E-03,8.19E-05
-0.773,-1.00E-03,8.19E-05
-0.772,-1.00E-03,8.19E-05
-0.771,-9.98E-04,8.19E-05
-0.77,-1.00E-03,8.20E-05
-0.769,-9.98E-04,8.22E-05
-0.768,-9.97E-04,8.22E-05
-0.767,-9.98E-04,8.23E-05
-0.766,-9.96E-04,8.24E-05
-0.765,-1.00E-03,8.25E-05
-0.764,-9.88E-04,8.26E-05
-0.763,-9.94E-04,8.25E-05
-0.762,-9.97E-04,8.27E-05
-0.761,-9.92E-04,8.27E-05
-0.76,-9.92E-04,8.25E-05
-0.759,-9.93E-04,8.28E-05
-0.758,-9.88E-04,8.28E-05
-0.757,-9.86E-04,8.28E-05
-0.756,-9.95E-04,8.30E-05
-0.755,-9.86E-04,8.31E-05
-0.754,-9.90E-04,8.31E-05
-0.753,-9.88E-04,8.31E-05
-0.752,-9.89E-04,8.32E-05
-0.751,-9.86E-04,8.32E-05
-0.75,-9.87E-04,8.33E-05
-0.749,-9.80E-04,8.33E-05
-0.748,-9.91E-04,8.36E-05
-0.747,-9.88E-04,8.35E-05
-0.746,-9.85E-04,8.33E-05
-0.745,-9.85E-04,8.35E-05
-0.744,-9.84E-04,8.35E-05
-0.743,-9.80E-04,8.34E-05
-0.742,-9.87E-04,8.38E-05
-0.741,-9.81E-04,8.37E-05
-0.74,-9.80E-04,8.37E-05
-0.739,-9.83E-04,8.40E-05
-0.738,-9.81E-04,8.40E-05
-0.737,-9.85E-04,8.39E-05
-0.736,-9.78E-04,8.43E-05
-0.735,-9.80E-04,8.41E-05
-0.734,-9.84E-04,8.42E-05
-0.733,-9.79E-04,8.44E-05
-0.732,-9.80E-04,8.43E-05
-0.731,-9.77E-04,8.43E-05
-0.73,-9.79E-04,8.45E-05
-0.729,-9.74E-04,8.45E-05
-0.728,-9.77E-04,8.46E-05
-0.727,-9.74E-04,8.45E-05
-0.726,-9.77E-04,8.46E-05
-0.725,-9.70E-04,8.48E-05
-0.724,-9.68E-04,8.47E-05
-0.723,-9.77E-04,8.49E-05
-0.722,-9.70E-04,8.49E-05
-0.721,-9.76E-04,8.50E-05
-0.72,-9.70E-04,8.50E-05
-0.719,-9.72E-04,8.50E-05
-0.718,-9.73E-04,8.51E-05
-0.717,-9.68E-04,8.50E-05
-0.716,-9.65E-04,8.50E-05
-0.715,-9.68E-04,8.52E-05
-0.714,-9.63E-04,8.52E-05
